# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.048798757059088566e-01,0.000000000000000000e+00
9.333128892950863786e-01,9.333128892950863786e-01,-9.333128892950863786e-01,2.536119245263739747e-02,0.000000000000000000e+00
1.866625778590172757e+00,1.866625778590172757e+00,-1.866625778590172757e+00,3.064318385926379732e-03,0.000000000000000000e+00
2.799938667885259136e+00,2.799938667885259136e+00,-2.799938667885259136e+00,9.423709809773707239e-04,0.000000000000000000e+00
3.733251557180345515e+00,3.733251557180345515e+00,-3.733251557180345515e+00,1.781208767412447444e-04,0.000000000000000000e+00
4.666564446475431893e+00,4.666564446475431893e+00,-4.666564446475431893e+00,1.349995542191902513e-05,0.000000000000000000e+00
5.599877335770518272e+00,5.599877335770518272e+00,-5.599877335770518272e+00,-7.636822708850949242e-08,0.000000000000000000e+00
6.533190225065603762e+00,6.533190225065603762e+00,-6.533190225065603762e+00,9.503003667477801513e-07,0.000000000000000000e+00
7.466503114360691029e+00,7.466503114360691029e+00,-7.466503114360691029e+00,-7.464892969960518739e-07,0.000000000000000000e+00
8.399816003655777408e+00,8.399816003655777408e+00,-8.399816003655777408e+00,1.015547188585225997e-07,0.000000000000000000e+00
-8.399816003655777408e+00,-8.399816003655777408e+00,8.399816003655777408e+00,1.015547188584525607e-07,0.000000000000000000e+00
-7.466503114360691029e+00,-7.466503114360691029e+00,7.466503114360691029e+00,-7.464892969960518739e-07,0.000000000000000000e+00
-6.533190225065603762e+00,-6.533190225065603762e+00,6.533190225065603762e+00,9.503003667482448548e-07,0.000000000000000000e+00
-5.599877335770518272e+00,-5.599877335770518272e+00,5.599877335770518272e+00,-7.636822708878313700e-08,0.000000000000000000e+00
-4.666564446475431893e+00,-4.666564446475431893e+00,4.666564446475431893e+00,1.349995542191767496e-05,0.000000000000000000e+00
-3.733251557180345515e+00,-3.733251557180345515e+00,3.733251557180345515e+00,1.781208767412447444e-04,0.000000000000000000e+00
-2.799938667885259136e+00,-2.799938667885259136e+00,2.799938667885259136e+00,9.423709809773697481e-04,0.000000000000000000e+00
-1.866625778590172757e+00,-1.866625778590172757e+00,1.866625778590172757e+00,3.064318385926379732e-03,0.000000000000000000e+00
-9.333128892950863786e-01,-9.333128892950863786e-01,9.333128892950863786e-01,2.536119245263738706e-02,0.000000000000000000e+00
9.333128892950863786e-01,-9.333128892950863786e-01,9.333128892950863786e-01,2.536119245263738706e-02,0.000000000000000000e+00
1.866625778590172757e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.306634272533870477e-15,0.000000000000000000e+00
