# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000,0.000000000000000000,0.000000000000000000
0.001841148405593937,-0.000002667280888968,-0.000058481307873992
0.003682296811187875,-0.000004795948113241,-0.000116974662297544
0.005523445216781813,-0.000008343399695458,-0.000175492049698194
0.007364593622375750,-0.000013309172115290,-0.000234045391025624
0.009205742027969688,-0.000019692511416847,-0.000292646541872652
0.011046890433563626,-0.000027492301082224,-0.000351307292596441
0.012888038839157562,-0.000036707814022943,-0.000410039368439933
0.014729187244751500,-0.000047338116870064,-0.000468854429653510
0.016570335650345436,-0.000059381236331082,-0.000527764071616855
0.018411484055939377,-0.000072836297137251,-0.000586779824961055
0.020252632461533311,-0.000087701867337898,-0.000645913155690891
0.022093780867127252,-0.000103975632567254,-0.000705175465307368
0.023934929272721187,-0.000121655908105497,-0.000764578090930437
0.025776077678315124,-0.000140741852783024,-0.000824132305421938
0.027617226083909062,-0.000161197550683037,-0.000883849317508750
0.029458374489503000,-0.000183086613319958,-0.000943740271906144
0.031299522895096937,-0.000206375736682027,-0.001003816249441347
0.033140671300690872,-0.000231060262415429,-0.001064088267177308
0.034981819706284813,-0.000257136623179340,-0.001124567278536663
0.036822968111878754,-0.000284605720400973,-0.001185264173425906
0.038664116517472688,-0.000313464314355971,-0.001246189778359760
0.040505264923066622,-0.000343708846610934,-0.001307354856585736
0.042346413328660557,-0.000375336873746271,-0.001368770108208901
0.044187561734254505,-0.000408345412489777,-0.001430446170316832
0.046028710139848439,-0.000442731180078881,-0.001492393617104765
0.047869858545442373,-0.000478492014307987,-0.001554622960000935
0.049711006951036314,-0.000515623474359663,-0.001617144647792111
0.051552155356630248,-0.000554123605493182,-0.001679969066749308
0.053393303762224190,-0.000593992155502014,-0.001743106540753700
0.055234452167818124,-0.000635219114397374,-0.001806567331422702
0.057075600573412065,-0.000677800453471271,-0.001870361638236251
0.058916748979005999,-0.000721740953686382,-0.001934499598663262
0.060757897384599933,-0.000767033672215383,-0.001998991288288257
0.062599045790193875,-0.000813674363589446,-0.002063846720938191
0.064440194195787809,-0.000861657968136050,-0.002129075848809436
0.066281342601381743,-0.000910981479162150,-0.002194688562594951
0.068122491006975691,-0.000961647390401333,-0.002260694691611631
0.069963639412569625,-0.001013634531003772,-0.002327104003927812
0.071804787818163560,-0.001066962198306602,-0.002393926206490969
0.073645936223757508,-0.001121601712152974,-0.002461170945255558
0.075487084629351428,-0.001177542403027243,-0.002528847805311049
0.077328233034945376,-0.001234823441999121,-0.002596966311010121
0.079169381440539324,-0.001293421050448589,-0.002665535926097003
0.081010529846133245,-0.001353320595498466,-0.002734566053836002
0.082851678251727193,-0.001414531013802161,-0.002804066037140184
0.084692826657321113,-0.001477033719608999,-0.002874045158700209
0.086533975062915061,-0.001540838702944127,-0.002944512641113338
0.088375123468509009,-0.001605924501824555,-0.003015477647012579
0.090216271874102930,-0.001672307938332151,-0.003086949279196006
0.092057420279696878,-0.001739959786695452,-0.003158936580756232
0.093898568685290812,-0.001808892833310516,-0.003231448535210015
0.095739717090884746,-0.001879100546075230,-0.003304494066628032
0.097580865496478694,-0.001950584222963413,-0.003378082039764806
0.099422013902072628,-0.002023321601004721,-0.003452221260188766
0.101263162307666563,-0.002097306667903467,-0.003526920474412463
0.103104310713260497,-0.002172564809998655,-0.003602188370022931
0.104945459118854445,-0.002249050648330047,-0.003678033575812191
0.106786607524448379,-0.002326785890902372,-0.003754464661907890
0.108627755930042313,-0.002405763383442470,-0.003831490139904093
0.110468904335636248,-0.002485971550394573,-0.003909118462992203
0.112310052741230182,-0.002567413599751999,-0.003987358026092028
0.114151201146824130,-0.002650078825792383,-0.004066217165982967
0.115992349552418050,-0.002733950278867121,-0.004145704161435356
