Unit cell volume (Ang**3), Energy (eV)
4.504387,-18.751205
4.712058,-19.096185
4.926016,-19.35248
5.146355,-19.528968
5.373168,-19.633761
5.417,-19.64619
5.463398,-19.656822
5.51006,-19.664995
5.533456,-19.668168
5.556953,-19.670756
5.556988,-19.67076
5.580516,-19.672755
5.604145,-19.674171
5.60418,-19.674172
5.606549,-19.674282
5.627841,-19.675013
5.651604,-19.675287
5.65164,-19.675287
5.675434,-19.674995
5.699331,-19.67415
5.699366,-19.674148
5.723294,-19.672755
5.747325,-19.670817
5.747361,-19.670813
5.771423,-19.668343
5.795624,-19.665331
5.844156,-19.657748
5.846592,-19.657314
5.892959,-19.648112
6.093391,-19.589065
6.347039,-19.475217
6.60763,-19.320981
6.875258,-19.131114
