# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000,0.000000000000000000,0.000000000000000000
0.029458374489503000,0.008771583425363863,-0.148045638974259236
0.058916748979005999,0.034889229957337307,-0.293999203837429723
0.088375123468509009,0.077771120900962304,-0.435856456239524737
0.117833497958011998,0.136478411019636564,-0.571781470273612480
0.147291872447515015,0.209758845338170491,-0.700173410420653175
0.176750246937018018,0.296102841081549328,-0.819715100960632159
0.206208621426520994,0.393807791133938989,-0.929401158290160012
0.235666995916023997,0.501046043912653283,-1.028545777197053424
0.265125370405526972,0.615932181156817027,-1.116772253261070880
0.294583744895030031,0.736585774983863129,-1.193987738812047450
0.324042119384532978,0.861186640656948499,-1.260347471417117893
0.353500493874036037,0.988020576196935174,-1.316212820719669274
0.382958868363538985,1.115514565034431360,-1.362107106189741179
0.412417242853041988,1.242261308485623328,-1.398672423668618325
0.441875617342544991,1.367033680269991613,-1.426629859756378016
0.471333991832047994,1.488790220817464371,-1.446744615246451593
0.500792366321550997,1.606673111488389649,-1.459796801111529874
0.530250740811053944,1.720000208247756346,-1.466558065971786284
0.559709115300557003,1.828252705235367870,-1.467773777634107990
0.589167489790060062,1.931059881296014247,-1.464150202125659384
0.618625864279563009,2.028182196346652866,-1.456345975900989353
0.648084238769065957,2.119493783846584378,-1.444967119296587610
0.677542613258568904,2.204965157710700119,-1.430564861269173482
0.707000987748072074,2.284646736077889706,-1.413635610648276364
0.736459362237575021,2.358653592544877498,-1.394622496894494912
0.765917736727077969,2.427151683979027030,-1.373917998747933300
0.795376111216581028,2.490345674520670460,-1.351867272269020370
0.824834485706083975,2.548468376487597276,-1.328771874716226487
0.854292860195587034,2.601771757345867631,-1.304893654528676450
0.883751234685089981,2.650519413537412827,-1.280458639470269278
0.913209609174593040,2.694980382340757430,-1.255660805110702105
0.942667983664095988,2.735424147875895162,-1.230665645358027360
0.972126358153598935,2.772116693097977702,-1.205613497144234492
1.001584732643101994,2.805317452985297777,-1.180622594110895207
1.031043107132604941,2.835277032545250986,-1.155791840688678240
1.060501481622107889,2.862235564734100457,-1.131203309605365304
1.089959856111611058,2.886421596408070833,-1.106924473701143441
1.119418230601114006,2.908051403909810873,-1.083010187898355348
1.148876605090616954,2.927328653098817401,-1.059504440010477166
1.178334979580120123,2.944444331074246968,-1.036441890371455177
1.207793354069622849,2.959576888229509706,-1.013849220478885149
1.237251728559126018,2.972892539481092999,-0.991746310321579450
1.266710103048629188,2.984545682491766883,-0.970147263064645604
1.296168477538131913,2.994679398491388422,-0.949061294484937035
1.325626852027635083,3.003426007960650068,-0.928493503124690589
1.355085226517137809,3.010907659082028065,-0.908445535658092163
1.384543601006640978,3.017236931587081283,-0.888916160510452746
1.414001975496144148,3.022517442551069689,-0.869901761375674099
1.443460349985646873,3.026844443912283911,-0.851396760971017796
1.472918724475150043,3.030305404124301383,-0.833393984163218859
1.502377098964652991,3.032980568475806660,-0.815884968502612495
1.531835473454155938,3.034943494315244905,-0.798860229212334905
1.561293847943659108,3.036261558767414215,-0.782309484794240118
1.590752222433162055,3.036996437587198727,-0.766221848625980084
1.620210596922665003,3.037204554614501006,-0.750585991227473714
1.649668971412167950,3.036937501918209215,-0.735390277261853242
1.679127345901671120,3.036242431183142187,-0.720622880797923138
1.708585720391174068,3.035162417233299159,-0.706271881890397468
1.738044094880677015,3.033736794823206573,-0.692325347123291190
1.767502469370179963,3.032001469987985587,-0.678771396403961780
1.796960843859682910,3.029989207339014889,-0.665598257984119313
1.826419218349186080,3.027729894740356364,-0.652794313413945337
1.855877592838688805,3.025250786812345272,-0.640348133901176397
1.885335967328191975,3.022576728692483616,-0.628248509344029205
1.914794341817695145,3.019730361447276579,-0.616484471131191980
1.944252716307197870,3.016732310477601153,-0.605045309650127927
1.973711090796701040,3.013601358199457625,-0.593920587313620074
2.003169465286203987,3.010354602214882824,-0.583100147800999946
2.032627839775706935,3.007007600117294732,-0.572574122112506800
2.062086214265209883,3.003574502003745206,-0.562332931950648152
2.091544588754712830,3.000068171694949992,-0.552367290869420602
2.121002963244215778,2.996500297593862605,-0.542668203569290353
2.150461337733719169,2.992881494045722679,-0.533226963661522446
2.179919712223222117,2.989221393997529841,-0.524035150178627118
2.209378086712725064,2.985528733693235903,-0.515084623067335268
2.238836461202228012,2.981811430082690340,-0.506367517865745631
2.268294835691730960,2.978076651567787003,-0.497876239736333215
2.297753210181233907,2.974330882658210218,-0.489603457000719500
2.327211584670737299,2.970579983061735874,-0.481542094299903300
2.356669959160240246,2.966829241689991736,-0.473685325484567987
2.386128333649743194,2.963083426019878175,-0.466026566323642477
2.415586708139245697,2.959346827213312991,-0.458559467105200291
2.445045082628749089,2.955623301363326849,-0.451277905191654505
2.474503457118252037,2.951916307202802958,-0.444175977580815562
2.503961831607754984,2.948228940582943824,-0.437247993515464062
2.533420206097258376,2.944563966001831012,-0.430488467176460443
2.562878580586760879,2.940923845438959017,-0.423892110487891660
2.592336955076263827,2.937310764729225365,-0.417453826057172184
2.621795329565767219,2.933726657689407880,-0.411168700268274290
2.651253704055270166,2.930173228191452317,-0.405031996542215056
2.680712078544773114,2.926651970359852140,-0.399039148775491348
