# omega (a.u.), Re alpha(w), Im alpha(w)
0.000367493221756550,-0.000000193570139894,-0.000041640298878815
0.002207905167988250,-0.000006988750664837,-0.000250217406526157
0.004048317114219949,-0.000023492818034744,-0.000458973232011785
0.005888729060451649,-0.000049697938135118,-0.000668055309610151
0.007729141006683348,-0.000085593046692511,-0.000877609782074049
0.009569552952915049,-0.000131163767503874,-0.001087781403809362
0.011409964899146748,-0.000186392913534148,-0.001298713544081538
0.013250376845378447,-0.000251260880351822,-0.001510548190253555
0.015090788791610148,-0.000325890829238595,-0.001723425951055154
0.016931200737841847,-0.000409964741136742,-0.001937486059883062
0.018771612684073548,-0.000503606616422536,-0.002152866378131997
0.020612024630305245,-0.000606780995069504,-0.002369703398556191
0.022452436576536946,-0.000719459654050231,-0.002588132248661191
0.024292848522768647,-0.000841608557854698,-0.002808286694125700
0.026133260469000344,-0.000973193873904620,-0.003030299142253215
0.027973672415232041,-0.001114174959011972,-0.003254300645453216
0.029814084361463745,-0.001264515376134435,-0.003480420904751652
0.031654496307695443,-0.001424170639150181,-0.003708788273330496
0.033494908253927147,-0.001593113674504775,-0.003939529760096121
0.035335320200158844,-0.001771140148029322,-0.004172771033276245
0.037175732146390542,-0.001958499033902864,-0.004408636424045196
0.039016144092622246,-0.002154995512439538,-0.004647248930177286
0.040856556038853936,-0.002360576880461545,-0.004888730219727994
0.042696967985085640,-0.002575206631309516,-0.005133200634742766
0.044537379931317345,-0.002798826577069744,-0.005380779194993157
0.046377791877549042,-0.003031394256710323,-0.005631583601740056
0.048218203823780746,-0.003272838135286321,-0.005885730241523825
0.050058615770012437,-0.003523109699634143,-0.006143334189980967
0.051899027716244141,-0.003782153594045138,-0.006404509215687258
0.053739439662475845,-0.004049917916558683,-0.006669367784026914
0.055579851608707535,-0.004326335762088819,-0.006938021061087697
0.057420263554939240,-0.004611349472342229,-0.007210578917581606
0.059260675501170937,-0.004904887873046901,-0.007487149932790984
0.061101087447402641,-0.005206911665113895,-0.007767841398539771
0.062941499393634345,-0.005517356408026766,-0.008052759323189603
0.064781911339866036,-0.005836138524954339,-0.008342008435660611
0.066622323286097740,-0.006163205123536724,-0.008635692189476605
0.068462735232329444,-0.006498483337076907,-0.008933912766834393
0.070303147178561134,-0.006841909647712411,-0.009236771082697041
0.072143559124792839,-0.007193418901350846,-0.009544366788910791
0.073983971071024529,-0.007552943500258132,-0.009856798278345380
0.075824383017256219,-0.007920401735623955,-0.010174162689057575
0.077664794963487938,-0.008295753449973480,-0.010496555908477588
0.079505206909719628,-0.008678881864995380,-0.010824072577618181
0.081345618855951318,-0.009069746876827846,-0.011156806095306284
0.083186030802183022,-0.009468087667237571,-0.011494848622436681
0.085026442748414727,-0.009874226014173967,-0.011838291086247758
0.086866854694646431,-0.010287796383773392,-0.012187223184618887
0.088707266640878121,-0.010708874516454190,-0.012541733390389288
0.090547678587109812,-0.011137434504487547,-0.012901908955698118
0.092388090533341530,-0.011573108924440995,-0.013267835916345507
0.094228502479573220,-0.012015996642040373,-0.013639599096174333
0.096068914425804924,-0.012465981559478100,-0.014017282111472471
0.097909326372036629,-0.012923061136570775,-0.014400967375395269
0.099749738318268319,-0.013387080199467201,-0.014790736102408074
0.101590150264500023,-0.013857995504569258,-0.015186668312748421
0.103430562210731727,-0.014335715540534779,-0.015588842836907738
0.105270974156963418,-0.014820125081130359,-0.015997337320132452
0.107111386103195122,-0.015311267024066924,-0.016412228226943913
0.108951798049426812,-0.015808923784761224,-0.016833590845677197
0.110792209995658517,-0.016313073989265407,-0.017261499293038478
0.112632621941890221,-0.016823643547181827,-0.017696026518680619
0.114473033888121911,-0.017340480916673295,-0.018137244309796845
0.116313445834353629,-0.017863599190844789,-0.018585223295732232
0.118153857780585320,-0.018392809601268593,-0.019040032952612727
0.119994269726817010,-0.018928154041235535,-0.019501741607991532
0.121834681673048728,-0.019469414515340563,-0.019970416445512569
0.123675093619280418,-0.020016619228211963,-0.020446123509590762
0.125515505565512137,-0.020569609041245492,-0.020928927710108933
0.127355917511743827,-0.021128310291930519,-0.021418892827131063
0.129196329457975517,-0.021692672150138724,-0.021916081515631684
0.131036741404207235,-0.022262341536914983,-0.022420555310241171
0.132877153350438926,-0.022837834812745084,-0.022932374630006590
0.134717565296670616,-0.023418575199175680,-0.023451598783168118
0.136557977242902306,-0.024004606420751241,-0.023978285971950418
0.138398389189134025,-0.024595872780660201,-0.024512493297369133
0.140238801135365715,-0.025192168258274830,-0.025054276764051975
0.142079213081597405,-0.025793466222268156,-0.025603691285074288
0.143919625027829096,-0.026399833506554587,-0.026160790686808807
0.145760036974060814,-0.027010837437151068,-0.026725627713789519
0.147600448920292504,-0.027626734661202860,-0.027298254033588994
0.149440860866524222,-0.028247430908421294,-0.027878720241709575
0.151281272812755913,-0.028872531509905923,-0.028467075866487595
0.153121684758987603,-0.029502235481890442,-0.029063369374010717
0.154962096705219321,-0.030136093118820886,-0.029667648173048088
0.156802508651450984,-0.030774504966591142,-0.030279958619993018
0.158642920597682702,-0.031417089187101468,-0.030900346023818089
0.160483332543914420,-0.032063749510561214,-0.031528854651042264
0.162323744490146082,-0.032714312799720195,-0.032165527730709902
0.164164156436377801,-0.033369094017855767,-0.032810407459381498
0.166004568382609519,-0.034027609423889667,-0.033463535006135692
0.167844980328841209,-0.034689864332093451,-0.034124950517582534
0.169685392275072899,-0.035355624589989872,-0.034794693122887736
0.171525804221304617,-0.036025292144181535,-0.035472800938807565
0.173366216167536308,-0.036698179906255061,-0.036159311074734232
0.175206628113767998,-0.037374677606879216,-0.036854259637751630
0.177047040059999716,-0.038054178779859636,-0.037557681737700938
0.178887452006231407,-0.038736942050841411,-0.038269611492256196
0.180727863952463097,-0.039423133788444309,-0.038990082032009425
0.182568275898694815,-0.040112135044951334,-0.039719125505564931
