Unit cell volume (Ang**3), Energy (eV)
14.97789,-16.239722
15.90794,-16.752924
16.87571,-17.121107
17.4775,-17.281698
17.88196,-17.364867
17.98749,-17.383596
18.5073,-17.459414
18.92743,-17.502431
19.03703,-17.511201
19.57528,-17.54083
19.57678,-17.540883
19.68443,-17.544286
19.79399,-17.546944
19.90395,-17.548819
20.01288,-17.549913
20.01432,-17.549923
20.1251,-17.55027
20.12663,-17.55027
20.23629,-17.549874
20.34788,-17.548747
20.45989,-17.546903
20.5723,-17.544354
20.68512,-17.541114
20.68668,-17.541065
21.13905,-17.521561
21.25702,-17.51487
21.83775,-17.473192
22.30669,-17.429977
22.42897,-17.417448
23.03076,-17.348973
23.51656,-17.286318
24.76941,-17.10044
26.06598,-16.881029
