# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.650768281540855309e-01,0.000000000000000000e+00
6.111814691316208581e-01,6.111814691316208581e-01,-6.111814691316208581e-01,1.467774144785022050e-01,1.947820794033781145e-16
1.222362938263241716e+00,1.222362938263241716e+00,-1.222362938263241716e+00,3.133730072632630315e-02,2.779836961021721087e-16
1.833544407394862574e+00,1.833544407394862574e+00,-1.833544407394862574e+00,1.327314083156193140e-02,4.994515653575858285e-17
2.444725876526483432e+00,2.444725876526483432e+00,-2.444725876526483432e+00,1.681260026072003673e-03,-1.805523455396793604e-16
3.055907345658104290e+00,3.055907345658104290e+00,-3.055907345658104290e+00,-4.168717556387458302e-04,-1.565673833614902204e-16
3.667088814789725149e+00,3.667088814789725149e+00,-3.667088814789725149e+00,-7.868433204061672976e-05,-2.073590679741260390e-16
4.278270283921345118e+00,4.278270283921345118e+00,-4.278270283921345118e+00,-2.087544006325050769e-05,1.651132858518701938e-16
4.889451753052966865e+00,4.889451753052966865e+00,-4.889451753052966865e+00,-5.975763346468495455e-07,7.400013938193968973e-17
5.500633222184587723e+00,5.500633222184587723e+00,-5.500633222184587723e+00,4.747039368303822366e-06,2.289355223817792302e-16
6.111814691316208581e+00,6.111814691316208581e+00,-6.111814691316208581e+00,8.220480825306245407e-08,-4.886700240788960857e-17
6.722996160447828551e+00,6.722996160447828551e+00,-6.722996160447828551e+00,5.339131030037341192e-07,-1.537034789483334146e-16
7.334177629579450297e+00,7.334177629579450297e+00,-7.334177629579450297e+00,-2.004140584698552571e-06,-1.965832884727543723e-16
7.945359098711071155e+00,7.945359098711071155e+00,-7.945359098711071155e+00,5.330479124727061863e-07,-8.342797247881386356e-18
8.556540567842690237e+00,8.556540567842690237e+00,-8.556540567842690237e+00,3.641296441838177706e-10,1.986195398467330480e-16
-8.556540567842690237e+00,-8.556540567842690237e+00,8.556540567842690237e+00,3.641296420486068394e-10,-1.979919414325723006e-16
-7.945359098711071155e+00,-7.945359098711071155e+00,7.945359098711071155e+00,5.330479124708901477e-07,7.601541677742630618e-18
-7.334177629579450297e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-2.004140584698618216e-06,1.965552891333105147e-16
-6.722996160447828551e+00,-6.722996160447828551e+00,6.722996160447828551e+00,5.339131030011449513e-07,1.543985273418911461e-16
-6.111814691316208581e+00,-6.111814691316208581e+00,6.111814691316208581e+00,8.220480825085550973e-08,5.028223979612565768e-17
-5.500633222184587723e+00,-5.500633222184587723e+00,5.500633222184587723e+00,4.747039368312981333e-06,-2.400888923748904811e-16
-4.889451753052966865e+00,-4.889451753052966865e+00,4.889451753052966865e+00,-5.975763346468495455e-07,-7.400015991483868389e-17
-4.278270283921345118e+00,-4.278270283921345118e+00,4.278270283921345118e+00,-2.087544006324389066e-05,-1.607214704537752832e-16
-3.667088814789725149e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-7.868433204061607924e-05,2.060175152862494914e-16
-3.055907345658104290e+00,-3.055907345658104290e+00,3.055907345658104290e+00,-4.168717556387536364e-04,1.593360276186427001e-16
-2.444725876526483432e+00,-2.444725876526483432e+00,2.444725876526483432e+00,1.681260026072003456e-03,1.806294215844778563e-16
-1.833544407394862574e+00,-1.833544407394862574e+00,1.833544407394862574e+00,1.327314083156192273e-02,-4.818575673378517103e-17
-1.222362938263241716e+00,-1.222362938263241716e+00,1.222362938263241716e+00,3.133730072632630315e-02,-2.775879785454270280e-16
-6.111814691316208581e-01,-6.111814691316208581e-01,6.111814691316208581e-01,1.467774144785022050e-01,-1.887019070929236054e-16
6.111814691316208581e-01,-6.111814691316208581e-01,6.111814691316208581e-01,1.467774144785022883e-01,2.602950664322909742e-16
1.222362938263241716e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.464866034589132921e-14,5.351266771688420339e-17
1.833544407394862574e+00,6.111814691316208581e-01,-6.111814691316208581e-01,3.245026949666002247e-02,-1.332800230244313911e-16
2.444725876526483432e+00,1.222362938263241716e+00,-1.222362938263241716e+00,1.575559747463715216e-02,-2.042349762618409342e-16
3.055907345658104290e+00,1.833544407394862574e+00,-1.833544407394862574e+00,9.227001986123745244e-04,-1.434383599469585647e-16
3.667088814789725149e+00,2.444725876526483432e+00,-2.444725876526483432e+00,-4.912164347415651699e-04,-2.013527497143778651e-17
4.278270283921346007e+00,3.055907345658104290e+00,-3.055907345658104290e+00,7.054356903761794971e-06,2.977237006885071075e-16
4.889451753052965977e+00,3.667088814789724260e+00,-3.667088814789724260e+00,-1.655054904471861408e-05,1.146239326952619168e-16
5.500633222184587723e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-9.345940992785458100e-06,1.311070941918413186e-16
6.111814691316208581e+00,4.889451753052966865e+00,-4.889451753052966865e+00,-7.089587446541917754e-07,-1.923811077215191729e-16
6.722996160447829439e+00,5.500633222184587723e+00,-5.500633222184587723e+00,1.804443491742163851e-06,-2.630185845988268482e-16
7.334177629579449409e+00,6.111814691316207693e+00,-6.111814691316207693e+00,2.686977128269244564e-06,-6.996123865067571232e-17
7.945359098711071155e+00,6.722996160447829439e+00,-6.722996160447829439e+00,-1.513577076222918808e-06,8.006921422981493868e-17
8.556540567842692013e+00,7.334177629579450297e+00,-7.334177629579450297e+00,-3.647741373527366719e-10,2.720249801205250990e-16
9.167722036974311095e+00,7.945359098711069379e+00,-7.945359098711069379e+00,-6.693527254250635066e-07,9.790877822680515782e-17
-7.945359098711069379e+00,-9.167722036974311095e+00,9.167722036974311095e+00,-8.595397824587352393e-08,2.080450045653083157e-16
-7.334177629579450297e+00,-8.556540567842692013e+00,8.556540567842692013e+00,1.132467769524435826e-06,2.655423538917522324e-16
-6.722996160447829439e+00,-7.945359098711071155e+00,7.945359098711071155e+00,-7.508338924893003251e-07,-1.601953060887548977e-17
-6.111814691316207693e+00,-7.334177629579449409e+00,7.334177629579449409e+00,1.037001746242350932e-08,1.371820543078315587e-17
-5.500633222184587723e+00,-6.722996160447829439e+00,6.722996160447829439e+00,-3.070027260744565713e-06,-2.549777150221013887e-16
-4.889451753052966865e+00,-6.111814691316208581e+00,6.111814691316208581e+00,1.644331486283766570e-06,-8.090030156378275003e-17
-4.278270283921346007e+00,-5.500633222184587723e+00,5.500633222184587723e+00,7.259647899989201632e-06,-4.391256889153427539e-17
-3.667088814789724260e+00,-4.889451753052965977e+00,4.889451753052965977e+00,9.272514426928146491e-07,2.395945276952208257e-16
-3.055907345658104290e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-2.822092269664397844e-05,1.437170586079106285e-16
-2.444725876526483432e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-1.826134450973438371e-04,1.035342744685592877e-18
-1.833544407394862574e+00,-3.055907345658104290e+00,3.055907345658104290e+00,7.571783650246729841e-04,-1.483088934759483311e-16
-1.222362938263241716e+00,-2.444725876526483432e+00,2.444725876526483432e+00,2.445340864035740799e-03,-2.416569312894239416e-16
-6.111814691316208581e-01,-1.833544407394862574e+00,1.833544407394862574e+00,-9.171943821451093021e-03,-1.257005558060101867e-17
0.000000000000000000e+00,-1.222362938263241716e+00,1.222362938263241716e+00,-9.735315405729067992e-03,1.568247360632335198e-16
1.222362938263241716e+00,-1.222362938263241716e+00,1.222362938263241716e+00,3.133730072632646274e-02,-4.173293839314239601e-18
1.833544407394862574e+00,-6.111814691316208581e-01,6.111814691316208581e-01,3.245026949665990451e-02,-1.767720825932009880e-16
2.444725876526483432e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.523340490142568004e-02,-1.799689578041594072e-16
3.055907345658104290e+00,6.111814691316208581e-01,-6.111814691316208581e-01,9.480821221676474439e-03,9.998213225445887503e-18
3.667088814789725149e+00,1.222362938263241716e+00,-1.222362938263241716e+00,-6.861178086112228788e-04,1.594686455932216290e-16
4.278270283921346007e+00,1.833544407394862574e+00,-1.833544407394862574e+00,-3.214221693525346813e-04,2.159564787866440491e-16
4.889451753052966865e+00,2.444725876526483432e+00,-2.444725876526483432e+00,1.215494995257312424e-04,2.795446222121811612e-17
5.500633222184586835e+00,3.055907345658103402e+00,-3.055907345658103402e+00,-6.185142070408772396e-08,-4.996419222002698397e-17
6.111814691316208581e+00,3.667088814789725149e+00,-3.667088814789725149e+00,8.855229354758814370e-07,-3.489955965367519302e-16
6.722996160447829439e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-7.794891949819240972e-06,-1.047201886528916236e-16
7.334177629579450297e+00,4.889451753052966865e+00,-4.889451753052966865e+00,2.027555356230609187e-07,1.355599010468932852e-16
7.945359098711070267e+00,5.500633222184586835e+00,-5.500633222184586835e+00,2.695455944383528182e-06,1.997565434521069646e-16
8.556540567842692013e+00,6.111814691316208581e+00,-6.111814691316208581e+00,-7.711555544924616239e-09,2.214714990746014506e-16
