# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,-7.007457216920046395e-06,-5.219855251885992415e-06
3.682296811187874691e-02,-1.834809264477671198e-05,-1.298402891236821492e-05
5.523445216781812384e-02,-3.411653309104088468e-05,-2.394487844305920920e-05
7.364593622375749382e-02,-5.364464990369955852e-05,-3.741681225236934339e-05
9.205742027969686381e-02,-7.541665012021830439e-05,-5.292407668782293844e-05
1.104689043356362477e-01,-1.015760982227513888e-04,-7.091434753912607774e-05
1.288803883915756177e-01,-1.283608325525639965e-04,-9.060955331929427235e-05
1.472918724475149876e-01,-1.574984836649121595e-04,-1.129163127742061805e-04
1.657033565034543576e-01,-1.866023576133756662e-04,-1.330078587179395113e-04
1.841148405593937276e-01,-2.204360441060917867e-04,-1.518210233527455817e-04
2.025263246153330976e-01,-2.595260881353907449e-04,-1.722646851763068483e-04
2.209378086712724953e-01,-2.998935686616466039e-04,-1.936158334096762135e-04
2.393492927272118653e-01,-3.470480730339369456e-04,-2.161724425069508576e-04
2.577607767831512353e-01,-3.960044245039122043e-04,-2.392185417719557743e-04
2.761722608390905775e-01,-4.500271407182803232e-04,-2.641295246207850649e-04
2.945837448950299753e-01,-5.076904073687336753e-04,-2.904462763963674672e-04
3.129952289509693730e-01,-5.675426811080503666e-04,-3.180766239122201551e-04
3.314067130069087153e-01,-6.335500907191672897e-04,-3.478410006195848878e-04
3.498181970628481130e-01,-7.030596153237569186e-04,-3.791397653491309304e-04
3.682296811187874552e-01,-7.757883687038277971e-04,-4.125973562624064101e-04
3.866411651747268530e-01,-8.522640031946109550e-04,-4.476234305174587257e-04
4.050526492306661952e-01,-9.333569668076430442e-04,-4.851993997530390621e-04
4.234641332866055929e-01,-1.019496892053681518e-03,-5.249349556483331580e-04
4.418756173425449907e-01,-1.109071146449692102e-03,-5.667999980677585316e-04
4.602871013984843329e-01,-1.205862321855772756e-03,-6.123414487822425667e-04
4.786985854544237307e-01,-1.308159582693361805e-03,-6.602622415984612907e-04
4.971100695103630174e-01,-1.414958086013809587e-03,-7.110905092925627093e-04
5.155215535663024706e-01,-1.531213155684834834e-03,-7.660544964669131068e-04
5.339330376222417573e-01,-1.655005201592282121e-03,-8.300076878022442060e-04
5.523445216781811551e-01,-1.785343829512280262e-03,-9.058660198657525605e-04
5.707560057341205528e-01,-1.911777560878895766e-03,-9.925459840791712920e-04
