# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,3.136045456963662287e-04,-9.275775920627121404e-03
5.891674897900599922e-02,1.252112456848400576e-03,-1.850860428171357402e-02
8.837512346850900924e-02,2.808643055534395215e-03,-2.765613217840980423e-02
1.178334979580119984e-01,4.971849207874255543e-03,-3.667717943814052806e-02
1.472918724475150154e-01,7.726094847721636134e-03,-4.553228431659918363e-02
1.767502469370180185e-01,1.105169671948278386e-02,-5.418420249892681728e-02
2.062086214265209938e-01,1.492522389111622556e-02,-6.259834719999222974e-02
2.356669959160239969e-01,1.931984721074362504e-02,-7.074316073911170177e-02
2.651253704055269722e-01,2.420572981347943534e-02,-7.859041085294408979e-02
2.945837448950300308e-01,2.955044905974722400e-02,-8.611540802758883839e-02
3.240421193845329784e-01,3.531943991491906520e-02,-9.329714310313452774e-02
3.535004938740360370e-01,4.147644975712780346e-02,-1.001183471744835490e-01
3.829588683635389845e-01,4.798399490369957554e-02,-1.065654782524564914e-01
4.124172428530419876e-01,5.480380974112603748e-02,-1.126286411648103197e-01
4.418756173425449907e-01,6.189728018237992263e-02,-1.183014487112384744e-01
4.713339918320479938e-01,6.922585420509870524e-02,-1.235808331198014892e-01
5.007923663215509968e-01,7.675142338762439009e-02,-1.284668173977147332e-01
5.302507408110539444e-01,8.443667059994405810e-02,-1.329622562672409525e-01
5.597091153005570030e-01,9.224538026907397326e-02,-1.370725560877729121e-01
5.891674897900600616e-01,1.001427088746440208e-01,-1.408053825606597753e-01
6.186258642795630092e-01,1.080954144988927890e-01,-1.441703641718866669e-01
6.480842387690659567e-01,1.160720453228480248e-01,-1.471787983265798461e-01
6.775426132585689043e-01,1.240430879027847599e-01,-1.498433660401250755e-01
7.070009877480720739e-01,1.319810768624732067e-01,-1.521778599361570672e-01
7.364593622375750215e-01,1.398606682896284814e-01,-1.541969292135581537e-01
7.659177367270779691e-01,1.476586796288907877e-01,-1.559158442229367780e-01
7.953761112165810276e-01,1.553540992240745322e-01,-1.573502823663732730e-01
8.248344857060839752e-01,1.629280688894893248e-01,-1.585161362204930702e-01
8.542928601955870338e-01,1.703638429974043689e-01,-1.594293440909747839e-01
8.837512346850899814e-01,1.776467275719396943e-01,-1.601057426377388293e-01
9.132096091745930400e-01,1.847640027956254094e-01,-1.605609407598103666e-01
9.426679836640959875e-01,1.917048321805606415e-01,-1.608102135885691175e-01
9.721263581535989351e-01,1.984601614479169218e-01,-1.608684151964281106e-01
1.001584732643101994e+00,2.050226099127109292e-01,-1.607499084720951099e-01
1.031043107132604941e+00,2.113863568990356767e-01,-1.604685105301439929e-01
1.060501481622107889e+00,2.175470254262389103e-01,-1.600374519985993671e-01
1.089959856111611058e+00,2.235015651189322938e-01,-1.594693485513664910e-01
1.119418230601114006e+00,2.292481360114400346e-01,-1.587761831115048483e-01
1.148876605090616954e+00,2.347859946467531767e-01,-1.579692972367774950e-01
1.178334979580120123e+00,2.401153836160578869e-01,-1.570593903022514948e-01
1.207793354069622849e+00,2.452374254507620754e-01,-1.560565252090093114e-01
1.237251728559126018e+00,2.501540215667398259e-01,-1.549701394676063215e-01
1.266710103048629188e+00,2.548677567712304137e-01,-1.538090606253207371e-01
1.296168477538131913e+00,2.593818096766388748e-01,-1.525815251240932036e-01
1.325626852027635083e+00,2.636998692218378570e-01,-1.512951997888473954e-01
1.355085226517137809e+00,2.678260573794274402e-01,-1.499572052519010656e-01
1.384543601006640978e+00,2.717648580253825275e-01,-1.485741407173043205e-01
1.414001975496144148e+00,2.755210518639394923e-01,-1.471521095585909822e-01
1.443460349985646873e+00,2.790996572336946202e-01,-1.456967453243662169e-01
1.472918724475150043e+00,2.825058765688576723e-01,-1.442132377984795266e-01
1.502377098964652991e+00,2.857450482506324607e-01,-1.427063588255348126e-01
1.531835473454155938e+00,2.888226035560168548e-01,-1.411804876686138521e-01
1.561293847943659108e+00,2.917440283932876133e-01,-1.396396357148877165e-01
1.590752222433162055e+00,2.945148295035294739e-01,-1.380874703868597564e-01
1.620210596922665003e+00,2.971405048043904706e-01,-1.365273381529428509e-01
1.649668971412167950e+00,2.996265175545443915e-01,-1.349622865615528744e-01
1.679127345901671120e+00,3.019782740240159469e-01,-1.333950852484978855e-01
1.708585720391174068e+00,3.042011043655964975e-01,-1.318282458887403974e-01
1.738044094880677015e+00,3.063002463952196330e-01,-1.302640410811333194e-01
1.767502469370179963e+00,3.082808320036550809e-01,-1.287045221689861463e-01
1.796960843859682910e+00,3.101478759376199434e-01,-1.271515360107451920e-01
1.826419218349186080e+00,3.119062667048909665e-01,-1.256067407240804013e-01
1.855877592838688805e+00,3.135607593748255817e-01,-1.240716204336208689e-01
1.885335967328191975e+00,3.151159700625223992e-01,-1.225474990577900408e-01
1.914794341817695145e+00,3.165763719014219046e-01,-1.210355531739451679e-01
1.944252716307197870e+00,3.179462923252484030e-01,-1.195368240035595275e-01
1.973711090796701040e+00,3.192299114956834716e-01,-1.180522285607262661e-01
2.003169465286203987e+00,3.204312617269187702e-01,-1.165825700079794747e-01
2.032627839775706935e+00,3.215542277721951669e-01,-1.151285472634868412e-01
2.062086214265209883e+00,3.226025478505398225e-01,-1.136907639032007505e-01
2.091544588754712830e+00,3.235798153041505865e-01,-1.122697364006723791e-01
2.121002963244215778e+00,3.244894807882389709e-01,-1.108659017460341817e-01
2.150461337733719169e+00,3.253348549056319094e-01,-1.094796244842200922e-01
2.179919712223222117e+00,3.261191112080979448e-01,-1.081112032108825921e-01
2.209378086712725064e+00,3.268452894951952570e-01,-1.067608765627438006e-01
2.238836461202228012e+00,3.275162993495170372e-01,-1.054288287373192912e-01
2.268294835691730960e+00,3.281349238545430702e-01,-1.041151945751248586e-01
2.297753210181233907e+00,3.287038234479625065e-01,-1.028200642356368599e-01
2.327211584670737299e+00,3.292255398693307300e-01,-1.015434874964624284e-01
2.356669959160240246e+00,3.297025001663443367e-01,-1.002854777033875544e-01
2.386128333649743194e+00,3.301370207288673586e-01,-9.904601539724189330e-02
2.415586708139245697e+00,3.305313113241978296e-01,-9.782505164184343571e-02
2.445045082628749089e+00,3.308874791109405189e-01,-9.662251107568028963e-02
2.474503457118252037e+00,3.312075326123144481e-01,-9.543829470845395513e-02
2.503961831607754984e+00,3.314933856327890727e-01,-9.427228248214838957e-02
2.533420206097258376e+00,3.317468611046553995e-01,-9.312433561490966738e-02
2.562878580586760879e+00,3.319696948535433290e-01,-9.199429874471565238e-02
2.592336955076263827e+00,3.321635392739950565e-01,-9.088200188858586159e-02
2.621795329565767219e+00,3.323299669080605478e-01,-8.978726223193138345e-02
2.651253704055270166e+00,3.324704739214894844e-01,-8.870988576156088601e-02
