# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,2.526391597980780611e-05,-7.472545494703999912e-04
5.891674897900599922e-02,1.008699151245989555e-04,-1.491049252613114388e-03
8.837512346850900924e-02,2.262636914739640098e-04,-2.227972168356805865e-03
1.178334979580119984e-01,4.005311223186188070e-04,-2.954705830694513355e-03
1.472918724475150154e-01,6.224125694715423266e-04,-3.668071209837737642e-03
1.767502469370180185e-01,8.903223540184674592e-04,-4.365067911646044498e-03
2.062086214265209938e-01,1.202372885021883199e-03,-5.042909632012688645e-03
2.356669959160239969e-01,1.556402811671743838e-03,-5.699054090845590871e-03
2.651253704055269722e-01,1.950008482433338974e-03,-6.331226902971577412e-03
2.945837448950300308e-01,2.380577936308809171e-03,-6.937439086364320315e-03
3.240421193845329784e-01,2.845326621407356146e-03,-7.515998147537697634e-03
3.535004938740360370e-01,3.341334034166574141e-03,-8.065512907143594992e-03
3.829588683635389845e-01,3.865580497025403878e-03,-8.584892425393271173e-03
4.124172428530419876e-01,4.414983340239838835e-03,-9.073339549300327156e-03
4.418756173425449907e-01,4.986431821112849092e-03,-9.530339727356788165e-03
4.713339918320479938e-01,5.576820196863634463e-03,-9.955645820503020507e-03
5.007923663215509968e-01,6.183078461090478137e-03,-1.034925968219542816e-02
5.302507408110539444e-01,6.802200353679510592e-03,-1.071141128825669683e-02
5.597091153005570030e-01,7.431268355718568738e-03,-1.104253617385787985e-02
5.891674897900600616e-01,8.067475480564252621e-03,-1.134325188628096392e-02
6.186258642795630092e-01,8.708143766341144842e-03,-1.161433409432373332e-02
6.480842387690659567e-01,9.350739461154266088e-03,-1.185669291455757057e-02
6.775426132585689043e-01,9.992884968209303151e-03,-1.207134992690419607e-02
7.070009877480720739e-01,1.063236768259682823e-02,-1.225941626221114383e-02
7.364593622375750215e-01,1.126714590409483470e-02,-1.242207205684701943e-02
7.659177367270779691e-01,1.189535205093884308e-02,-1.256054748703229994e-02
7.953761112165810276e-01,1.251529342854338332e-02,-1.267610552096810721e-02
8.248344857060839752e-01,1.312545082545140199e-02,-1.277002646127147270e-02
8.542928601955870338e-01,1.372447521742896880e-02,-1.284359429448229603e-02
8.837512346850899814e-01,1.431118286088199285e-02,-1.289808481857964741e-02
9.132096091745930400e-01,1.488454905000102108e-02,-1.293475548317299731e-02
9.426679836640959875e-01,1.544370079960905376e-02,-1.295483684962074611e-02
9.721263581535989351e-01,1.598790869891558025e-02,-1.295952555885987456e-02
1.001584732643101994e+00,1.651657816149685459e-02,-1.294997868217177307e-02
1.031043107132604941e+00,1.702924027493095058e-02,-1.292730932338886050e-02
1.060501481622107889e+00,1.752554243058074279e-02,-1.289258333911098842e-02
1.089959856111611058e+00,1.800523889084909568e-02,-1.284681704536401459e-02
1.119418230601114006e+00,1.846818142848969183e-02,-1.279097578389925410e-02
1.148876605090616954e+00,1.891431015076286762e-02,-1.272597322821519307e-02
1.178334979580120123e+00,1.934364460076335931e-02,-1.265267131770793363e-02
1.207793354069622849e+00,1.975627520938436077e-02,-1.257188071756376591e-02
