# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,4.791457477646746245e-17,0.000000000000000000e+00
2.945837448950299961e-02,1.722798831987647824e-04,-5.095683765153396529e-03
5.891674897900599922e-02,6.878528732373347370e-04,-1.016777412057190758e-02
8.837512346850900924e-02,1.542939042799783148e-03,-1.519300433239998208e-02
1.178334979580119984e-01,2.731304799528077795e-03,-2.014875191184167108e-02
1.472918724475150154e-01,4.244360409356348271e-03,-2.501333839538855824e-02
1.767502469370180185e-01,6.071292798873499305e-03,-2.976630347306821398e-02
2.062086214265209938e-01,8.199230093960598043e-03,-3.438864675925356468e-02
2.356669959160239969e-01,1.061343359514605074e-02,-3.886303191868792362e-02
2.651253704055269722e-01,1.329751230405939490e-02,-4.317394944713230653e-02
2.945837448950300308e-01,1.623365471689468958e-02,-4.730783606360308702e-02
3.240421193845329784e-01,1.940287239674892347e-02,-5.125315030396872945e-02
3.535004938740360370e-01,2.278524982407162391e-02,-5.500040542770198021e-02
3.829588683635389845e-01,2.636019519124546684e-02,-5.854216209010541794e-02
4.124172428530419876e-01,3.010668713389221679e-02,-6.187298433962273858e-02
4.418756173425449907e-01,3.400351285234372301e-02,-6.498936334279503679e-02
4.713339918320479938e-01,3.802949364239803509e-02,-6.788961380711408533e-02
5.007923663215509968e-01,4.216369449363442656e-02,-7.057374837168364778e-02
5.302507408110539444e-01,4.638561509479099954e-02,-7.304333528933912301e-02
5.597091153005570030e-01,5.067536027926624470e-02,-7.530134456474878168e-02
5.891674897900600616e-01,5.501378862292595484e-02,-7.735198738091747517e-02
6.186258642795630092e-01,5.938263854829033128e-02,-7.920055318426316715e-02
6.480842387690659567e-01,6.376463187564777868e-02,-8.085324824845854796e-02
6.775426132585689043e-01,6.814355527930671119e-02,-8.231703893888160650e-02
7.070009877480720739e-01,7.250432054746083765e-02,-8.359950228724755128e-02
7.364593622375750215e-01,7.683300490281584627e-02,-8.470868588823275702e-02
7.659177367270779691e-01,8.111687291795373345e-02,-8.565297856864249881e-02
7.953761112165810276e-01,8.534438175740506616e-02,-8.644099277059962005e-02
8.248344857060839752e-01,8.950517160313575804e-02,-8.708145914320448988e-02
8.542928601955870338e-01,9.359004317908573012e-02,-8.758313345699164643e-02
8.837512346850899814e-01,9.759092429215995845e-02,-8.795471564300091916e-02
9.132096091745930400e-01,1.015008272609039391e-01,-8.820478051093399996e-02
9.426679836640959875e-01,1.053137990183245914e-01,-8.834171951393160471e-02
9.721263581535989351e-01,1.090248655609503958e-01,-8.837369279474505124e-02
1.001584732643101994e+00,1.126299722806312353e-01,-8.830859066243691713e-02
1.031043107132604941e+00,1.161259215663020261e-01,-8.815400360291565651e-02
1.060501481622107889e+00,1.195103089065299024e-01,-8.791719991341100104e-02
1.089959856111611058e+00,1.227814585656700069e-01,-8.760511006370318154e-02
1.119418230601114006e+00,1.259383597513850095e-01,-8.722431691942142407e-02
1.148876605090616954e+00,1.289806040426606792e-01,-8.678105100966217178e-02
1.178334979580120123e+00,1.319083247079133603e-01,-8.628119007794712858e-02
1.207793354069622849e+00,1.347221384141605582e-01,-8.573026221832634464e-02
1.237251728559126018e+00,1.374230897116462402e-01,-8.513345196411883919e-02
1.266710103048629188e+00,1.400125985743324031e-01,-8.449560876293273071e-02
1.296168477538131913e+00,1.424924111853703712e-01,-8.382125733634804288e-02
1.325626852027635083e+00,1.448645540777515617e-01,-8.311460948460971943e-02
1.355085226517137809e+00,1.471312916732384068e-01,-8.237957695491912591e-02
1.384543601006640978e+00,1.492950872066272916e-01,-8.161978504582052818e-02
1.414001975496144148e+00,1.513585669764803132e-01,-8.083858666942554672e-02
1.443460349985646873e+00,1.533244878267243649e-01,-8.003907663768440595e-02
1.472918724475150043e+00,1.551957077349310488e-01,-7.922410597864411319e-02
1.502377098964652991e+00,1.569751593616849350e-01,-7.839629612379306334e-02
1.531835473454155938e+00,1.586658264002380192e-01,-7.755805283842569231e-02
1.561293847943659108e+00,1.602707225557490900e-01,-7.671157979376673486e-02
1.590752222433162055e+00,1.617928729779612718e-01,-7.585889170270605775e-02
1.620210596922665003e+00,1.632352979694284556e-01,-7.500182696074914057e-02
1.649668971412167950e+00,1.646009987926612683e-01,-7.414205975053235476e-02
1.679127345901671120e+00,1.658929454032333495e-01,-7.328111158231470634e-02
1.708585720391174068e+00,1.671140659414186436e-01,-7.242036225455605880e-02
1.738044094880677015e+00,1.682672378218772469e-01,-7.156106022832089963e-02
1.767502469370179963e+00,1.693552802688662595e-01,-7.070433241707588246e-02
1.796960843859682910e+00,1.703809481530996484e-01,-6.985119339972872821e-02
1.826419218349186080e+00,1.713469269954359664e-01,-6.900255406970368099e-02
1.855877592838688805e+00,1.722558290118164359e-01,-6.815922973666790896e-02
1.885335967328191975e+00,1.731101900831168716e-01,-6.732194770038307796e-02
1.914794341817695145e+00,1.739124675426802769e-01,-6.649135431822017495e-02
1.944252716307197870e+00,1.746650386831410384e-01,-6.566802158926617061e-02
1.973711090796701040e+00,1.753701998926610051e-01,-6.485245327879811394e-02
2.003169465286203987e+00,1.760301663388055271e-01,-6.404509060729404735e-02
2.032627839775706935e+00,1.766470721259546794e-01,-6.324631752818175856e-02
2.062086214265209883e+00,1.772229708593453523e-01,-6.245646561827036120e-02
2.091544588754712830e+00,1.777598365555620730e-01,-6.167581860432428537e-02
2.121002963244215778e+00,1.782595648455352066e-01,-6.090461654858125157e-02
2.150461337733719169e+00,1.787239744218705462e-01,-6.014305971522580091e-02
2.179919712223222117e+00,1.791548086876389445e-01,-5.939131213894702221e-02
2.209378086712725064e+00,1.795537375686116488e-01,-5.864950491576114561e-02
2.238836461202228012e+00,1.799223594553609196e-01,-5.791773923529345419e-02
2.268294835691730960e+00,1.802622032456768497e-01,-5.719608917270845028e-02
2.297753210181233907e+00,1.805747304614047644e-01,-5.648460425746695129e-02
2.327211584670737299e+00,1.808613374171062216e-01,-5.578331183509202540e-02
2.356669959160240246e+00,1.811233574209217823e-01,-5.509221923714339303e-02
2.386128333649743194e+00,1.813620629906790849e-01,-5.441131577364972244e-02
2.415586708139245697e+00,1.815786680706821532e-01,-5.374057456132815686e-02
2.445045082628749089e+00,1.817743302367484104e-01,-5.307995420003749909e-02
