# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,-3.787898605240560190e-04,-9.784116278394345157e-04
5.891674897900599922e-02,-1.486223984042097214e-03,-2.135343318816184006e-03
8.837512346850900924e-02,-3.253397590047921867e-03,-3.622936125619691076e-03
1.178334979580119984e-01,-5.588449990741207497e-03,-5.565721274786082813e-03
1.472918724475150154e-01,-8.384768563757388771e-03,-8.062051253349196422e-03
1.767502469370180185e-01,-1.152728702408024365e-02,-1.118566892495312382e-02
2.062086214265209938e-01,-1.489654009192499691e-02,-1.498738976932994550e-02
2.356669959160239969e-01,-1.837233293751871013e-02,-1.949687271513164330e-02
2.651253704055269722e-01,-2.183676471690276094e-02,-2.472445566603272485e-02
2.945837448950300308e-01,-2.517619086131947514e-02,-3.066303268158060771e-02
3.240421193845329784e-01,-2.828338843962641472e-02,-3.728995084351712647e-02
3.535004938740360370e-01,-3.105920504348088848e-02,-4.456890608996599834e-02
3.829588683635389845e-01,-3.341312163770677329e-02,-5.245181870782184702e-02
4.124172428530419876e-01,-3.526468902090749979e-02,-6.088067071125030649e-02
4.418756173425449907e-01,-3.654429168643654607e-02,-6.978928897468841819e-02
4.713339918320479938e-01,-3.719215424618842192e-02,-7.910505970567989487e-02
5.007923663215509968e-01,-3.716104875844793154e-02,-8.875056161048121284e-02
5.302507408110539444e-01,-3.641305095474226677e-02,-9.864510689877430127e-02
5.597091153005570030e-01,-3.492288216658583078e-02,-1.087061810693963904e-01
5.891674897900600616e-01,-3.267413148967261011e-02,-1.188507741946094737e-01
6.186258642795630092e-01,-2.966166862694784995e-02,-1.289965981556412677e-01
6.480842387690659567e-01,-2.588913784096915499e-02,-1.390631859584680885e-01
6.775426132585689043e-01,-2.136917928651853663e-02,-1.489728708595157991e-01
7.070009877480720739e-01,-1.612347090847012290e-02,-1.586516445416787935e-01
7.364593622375750215e-01,-1.018043620729180802e-02,-1.680298949895037697e-01
7.659177367270779691e-01,-3.574626235710373114e-03,-1.770430260084656648e-01
7.953761112165810276e-01,3.652180505846827629e-03,-1.856319615090522290e-01
8.248344857060839752e-01,1.145495979195088575e-02,-1.937435387261098596e-01
8.542928601955870338e-01,1.978256544192195238e-02,-2.013307954638699215e-01
8.837512346850899814e-01,2.858291536661673737e-02,-2.083531572455525616e-01
9.132096091745930400e-01,3.779822005506935229e-02,-2.147765309035686576e-01
