# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,-1.490914849261043742e-05,-4.823403235473355637e-05
3.682296811187874691e-02,-5.918083768788144210e-05,-1.008396082271517642e-04
5.523445216781812384e-02,-1.316453232957449156e-04,-1.618244494998868574e-04
7.364593622375749382e-02,-2.306605125448479713e-04,-2.348041465410232093e-04
9.205742027969686381e-02,-3.542462850322701485e-04,-3.230086358863023892e-04
1.104689043356362477e-01,-5.001151431983949600e-04,-4.292899583474126739e-04
1.288803883915756177e-01,-6.657833100642280687e-04,-5.561312151422839441e-04
1.472918724475149876e-01,-8.486104462392226244e-04,-7.056566371643211225e-04
1.657033565034543576e-01,-1.045817702883366411e-03,-8.796426805232471615e-04
1.841148405593937276e-01,-1.254558665010987268e-03,-1.079530059994932402e-03
2.025263246153330976e-01,-1.471933425508415534e-03,-1.306436631002952592e-03
2.209378086712724953e-01,-1.695051364150078083e-03,-1.561171030209927528e-03
2.393492927272118653e-01,-1.920978953246385091e-03,-1.844246984709017574e-03
2.577607767831512353e-01,-2.146871723696013555e-03,-2.155898200160146980e-03
2.761722608390905775e-01,-2.369889265009025598e-03,-2.496093738994633292e-03
2.945837448950299753e-01,-2.587315074975365514e-03,-2.864553800997017563e-03
3.129952289509693730e-01,-2.796507377911548135e-03,-3.260765820143605477e-03
3.314067130069087153e-01,-2.994904158275683414e-03,-3.684000793511621637e-03
3.498181970628481130e-01,-3.180107383396298809e-03,-4.133329760347810578e-03
3.682296811187874552e-01,-3.349791568354855767e-03,-4.607640351976462385e-03
3.866411651747268530e-01,-3.501834559581009677e-03,-5.105653336109092742e-03
4.050526492306661952e-01,-3.634222337103984804e-03,-5.625939082265505112e-03
4.234641332866055929e-01,-3.745085912603247739e-03,-6.166933878402116979e-03
4.418756173425449907e-01,-3.832816549790681471e-03,-6.726956032441603305e-03
4.602871013984843329e-01,-3.895773361838087648e-03,-7.304221696181082898e-03
4.786985854544237307e-01,-3.932734923696358346e-03,-7.896860352996942778e-03
4.971100695103630174e-01,-3.942473929956110540e-03,-8.502929914836572164e-03
5.155215535663024706e-01,-3.923947739337588225e-03,-9.120431378163523090e-03
5.339330376222417573e-01,-3.876327572973977450e-03,-9.747322992777366496e-03
5.523445216781811551e-01,-3.798951874039151883e-03,-1.038153390173663509e-02
5.707560057341205528e-01,-3.691285096882504935e-03,-1.102097721494818029e-02
5.891674897900599506e-01,-3.552991356182951324e-03,-1.166356248332488590e-02
6.075789738459992373e-01,-3.383880447934738047e-03,-1.230720754473272477e-02
6.259904579019387461e-01,-3.183949327812033749e-03,-1.294984971722572611e-02
6.444019419578780328e-01,-2.953263512380764795e-03,-1.358945631928207450e-02
6.628134260138174305e-01,-2.692121788494582571e-03,-1.422403450088789365e-02
6.812249100697567172e-01,-2.400874761148624487e-03,-1.485164037334632710e-02
6.996363941256962260e-01,-2.080047501242911125e-03,-1.547038742960450686e-02
7.180478781816355127e-01,-1.730201599308170152e-03,-1.607845425067071579e-02
7.364593622375749105e-01,-1.352432808592491558e-03,-1.667409149732710164e-02
7.548708462935143082e-01,-9.472592810411097552e-04,-1.725562818981472499e-02
7.732823303494537059e-01,-5.157652046347193861e-04,-1.782147728146737942e-02
7.916938144053929927e-01,-5.900888234477216500e-05,-1.837014053538831709e-02
8.101052984613323904e-01,4.219163463070828269e-04,-1.890021271619030802e-02
8.285167825172717881e-01,9.257021749759406729e-04,-1.941038511154923041e-02
8.469282665732111859e-01,1.451161393895042092e-03,-1.989944840084739014e-02
8.653397506291504726e-01,1.996876323435781055e-03,-2.036629489050134287e-02
8.837512346850899814e-01,2.561440026581795256e-03,-2.080992013767793067e-02
9.021627187410292681e-01,3.143563324934080336e-03,-2.122942398599891520e-02
9.205742027969686658e-01,3.741605089535192906e-03,-2.162401103852050824e-02
9.389856868529079525e-01,4.354173873854438707e-03,-2.199299059474740803e-02
9.573971709088474613e-01,4.979702700013508877e-03,-2.233577607970784612e-02
9.758086549647867480e-01,5.616685447796671005e-03,-2.265188399417562490e-02
9.942201390207260348e-01,6.263595492923176508e-03,-2.294093241598469529e-02
1.012631623076665432e+00,6.918904293990292206e-03,-2.320263908304492223e-02
1.031043107132604941e+00,7.581060478929692488e-03,-2.343681908914083123e-02
1.049454591188544228e+00,8.248582540046076397e-03,-2.364338222388583446e-02
1.067866075244483515e+00,8.919912964046565126e-03,-2.382232998831846152e-02
1.086277559300423023e+00,9.593742843027098371e-03,-2.397375231757543565e-02
1.104689043356362310e+00,1.026848150062385084e-02,-2.409782404186496668e-02
1.123100527412301597e+00,1.094272234479646416e-02,-2.419480111660304508e-02
1.141512011468241106e+00,1.161529391711985104e-02,-2.426501665207601854e-02
1.159923495524180392e+00,1.228466987296213640e-02,-2.430887677236212921e-02
1.178334979580119901e+00,1.294967794581546906e-02,-2.432685633249576790e-02
1.196746463636059188e+00,1.360908057110862476e-02,-2.431949452199832704e-02
1.215157947691998475e+00,1.426163655820242293e-02,-2.428739038194276112e-02
1.233569431747937761e+00,1.490631594425826344e-02,-2.423119826167136406e-02
1.251980915803877492e+00,1.554201683355223296e-02,-2.415162324016246337e-02
1.270392399859816779e+00,1.616776564913672415e-02,-2.404941653584887623e-02
1.288803883915756066e+00,1.678259597753867238e-02,-2.392537092744094832e-02
1.307215367971695352e+00,1.738562871086488451e-02,-2.378031620700888499e-02
1.325626852027634861e+00,1.797609112056534203e-02,-2.361511468524326446e-02
1.344038336083574148e+00,1.855317866899784326e-02,-2.343065676744713818e-02
1.362449820139513434e+00,1.911621606906963727e-02,-2.322785661742914412e-02
1.380861304195453165e+00,1.966458063457299232e-02,-2.300764792507035972e-02
1.399272788251392452e+00,2.019767534944346549e-02,-2.277097979193978480e-02
1.417684272307331739e+00,2.071502667805098091e-02,-2.251881274793882115e-02
1.436095756363271025e+00,2.121617302925564441e-02,-2.225211491057290866e-02
1.454507240419210312e+00,2.170071726232305348e-02,-2.197185829708719548e-02
1.472918724475149821e+00,2.216836993594265351e-02,-2.167901529836373242e-02
1.491330208531089108e+00,2.261882630617057660e-02,-2.137455532217326717e-02
1.509741692587028616e+00,2.305188279714220564e-02,-2.105944161210309556e-02
1.528153176642967903e+00,2.346738578108207435e-02,-2.073462824725535655e-02
1.546564660698907412e+00,2.386521729519695129e-02,-2.040105732662678140e-02
1.564976144754846699e+00,2.424532130745276834e-02,-2.005965634094658903e-02
1.583387628810785985e+00,2.460769631576055147e-02,-1.971133573366914624e-02
1.601799112866725272e+00,2.495237041953443646e-02,-1.935698665179208869e-02
1.620210596922664781e+00,2.527944488055338529e-02,-1.899747888620232847e-02
1.638622080978604290e+00,2.558899121053347450e-02,-1.863365900034415212e-02
1.657033565034543576e+00,2.588122652026120588e-02,-1.826634864515674223e-02
1.675445049090482863e+00,2.615632655306312365e-02,-1.789634305744098805e-02
1.693856533146422372e+00,2.641451333380569200e-02,-1.752440973809380256e-02
1.712268017202361658e+00,2.665605937915681289e-02,-1.715128730598599119e-02
1.730679501258300945e+00,2.688126697127914827e-02,-1.677768452266180030e-02
1.749090985314240232e+00,2.709042996462579511e-02,-1.640427948250021417e-02
1.767502469370179963e+00,2.728392586478035550e-02,-1.603171896250237677e-02
1.785913953426119249e+00,2.746211821931390101e-02,-1.566061792545291737e-02
1.804325437482058536e+00,2.762536928623036264e-02,-1.529155916984315487e-02
1.822736921537997823e+00,2.777411613464591394e-02,-1.492509311964321933e-02
1.841148405593937332e+00,2.790874406994403589e-02,-1.456173774676096377e-02
1.859559889649876618e+00,2.802973594530556306e-02,-1.420197861883111361e-02
1.877971373705815905e+00,2.813753005265903773e-02,-1.384626906483185822e-02
1.896382857761755192e+00,2.823255559841664208e-02,-1.349503045092873346e-02
1.914794341817694923e+00,2.831532799951952048e-02,-1.314865255889287321e-02
1.933205825873634209e+00,2.838624353965685590e-02,-1.280749405943072856e-02
1.951617309929573496e+00,2.844583014947691182e-02,-1.247188307279096728e-02
1.970028793985512783e+00,2.849458382697895795e-02,-1.214211780908276521e-02
1.988440278041452070e+00,2.853295173777959520e-02,-1.181846728083832745e-02
2.006851762097391578e+00,2.856144079152987680e-02,-1.150117208048624662e-02
2.025263246153330865e+00,2.858047077724234358e-02,-1.119044521556269121e-02
2.043674730209270596e+00,2.859058635122805822e-02,-1.088647299467356694e-02
2.062086214265209883e+00,2.859221096517881172e-02,-1.058941595743178796e-02
2.080497698321149169e+00,2.858581252269994794e-02,-1.029940984182263659e-02
2.098909182377088456e+00,2.857186541268319849e-02,-1.001656658269936204e-02
2.117320666433027743e+00,2.855082456854154960e-02,-9.740975335373568134e-03
2.135732150488967029e+00,2.852308764261585888e-02,-9.472703518541625289e-03
2.154143634544906316e+00,2.848912679469836270e-02,-9.211797871074395641e-03
2.172555118600846047e+00,2.844936819737044903e-02,-8.958285517492415098e-03
2.190966602656785334e+00,2.840420033624784305e-02,-8.712175037249404036e-03
2.209378086712724620e+00,2.835402987520599036e-02,-8.473457533251181270e-03
2.227789570768663907e+00,2.829923948342975143e-02,-8.242107695344551288e-03
2.246201054824603194e+00,2.824021734305167536e-02,-8.018084854816890858e-03
2.264612538880542925e+00,2.817732870333055500e-02,-7.801334026253312938e-03
2.283024022936482211e+00,2.811089372063619446e-02,-7.591786933400690614e-03
2.301435506992421498e+00,2.804129635346320343e-02,-7.389363015985996735e-03
2.319846991048360785e+00,2.796884114654946824e-02,-7.193970414729500794e-03
2.338258475104300516e+00,2.789379387840161192e-02,-7.005506932078648524e-03
2.356669959160239802e+00,2.781656870395593159e-02,-6.823860966466904071e-03
2.375081443216179089e+00,2.773733224195151087e-02,-6.648912418170604792e-03
2.393492927272118376e+00,2.765640731555326498e-02,-6.480533565097002305e-03
2.411904411328057662e+00,2.757403350655305077e-02,-6.318589907085654309e-03
2.430315895383996949e+00,2.749046758615808841e-02,-6.162940977543977621e-03
2.448727379439936236e+00,2.740596032222121156e-02,-6.013441121465008636e-03
2.467138863495875523e+00,2.732070845533881784e-02,-5.869940239090922114e-03
2.485550347551814809e+00,2.723490175405884894e-02,-5.732284494689222562e-03
2.503961831607754984e+00,2.714876907405314177e-02,-5.600316990100023817e-03
2.522373315663694271e+00,2.706247503566241996e-02,-5.473878402891887117e-03
2.540784799719633558e+00,2.697618845233492116e-02,-5.352807589130163281e-03
2.559196283775572844e+00,2.689010699382128264e-02,-5.236942150916524576e-03
2.577607767831512131e+00,2.680429121632384518e-02,-5.126118969000524606e-03
2.596019251887451418e+00,2.671900329802797888e-02,-5.020174700894236390e-03
2.614430735943390705e+00,2.663423207372651175e-02,-4.918946245039616631e-03
2.632842219999330435e+00,2.655021918095978178e-02,-4.822271171685113544e-03
2.651253704055269722e+00,2.646703714718508585e-02,-4.729988121223975377e-03
2.669665188111209009e+00,2.638469812532147005e-02,-4.641937170831511757e-03
2.688076672167148296e+00,2.630340083042523314e-02,-4.557960170313176546e-03
2.706488156223087582e+00,2.622314594078486646e-02,-4.477901048139780633e-03
2.724899640279026869e+00,2.614410175151340304e-02,-4.401606088700965591e-03
2.743311124334966156e+00,2.606620275216331092e-02,-4.328924181854034922e-03
2.761722608390906331e+00,2.598965139686714582e-02,-4.259707045882052227e-03
2.780134092446845617e+00,2.591436540473737379e-02,-4.193809425004351756e-03
2.798545576502784904e+00,2.584048977831578456e-02,-4.131089262603588295e-03
2.816957060558724191e+00,2.576798004639373543e-02,-4.071407851347837691e-03
2.835368544614663477e+00,2.569694953207202204e-02,-4.014629961393389838e-03
2.853780028670602764e+00,2.562734743287015463e-02,-3.960623947855350553e-03
2.872191512726542051e+00,2.555931827595198449e-02,-3.909261838728445015e-03
2.890602996782481338e+00,2.549267955498622784e-02,-3.860419404430998156e-03
2.909014480838420624e+00,2.542760578368813765e-02,-3.813976210130421048e-03
2.927425964894359911e+00,2.536404629581503339e-02,-3.769815651989909689e-03
2.945837448950299642e+00,2.530201784009557947e-02,-3.727824978453547593e-03
2.964248933006238929e+00,2.524152771303663986e-02,-3.687895297660932856e-03
2.982660417062178215e+00,2.518254716025385490e-02,-3.649921572053585906e-03
3.001071901118117502e+00,2.512507595022962434e-02,-3.613802601203782230e-03
3.019483385174057233e+00,2.506912026129117649e-02,-3.579440993862682396e-03
3.037894869229996520e+00,2.501465796183362580e-02,-3.546743130188974823e-03
3.056306353285935806e+00,2.496163766889441735e-02,-3.515619115082017042e-03
3.074717837341875537e+00,2.491009862650560291e-02,-3.485982723505178394e-03
3.093129321397814824e+00,2.486004706987428314e-02,-3.457751338645623923e-03
3.111540805453754110e+00,2.481138078403360980e-02,-3.430845883716930438e-03
3.129952289509693397e+00,2.476410380378796239e-02,-3.405190748170589931e-03
3.148363773565632684e+00,2.471822024508270668e-02,-3.380713709041910289e-03
3.166775257621571971e+00,2.467369750473810339e-02,-3.357345848115492627e-03
