# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-1.052486793013772898e-06,-8.128458418060993692e-07
3.682296811187874951e-03,-2.104973586063869533e-06,-1.625691683612198738e-06
5.523445216781813077e-03,-3.157460379066833232e-06,-2.438537525418297578e-06
7.364593622375749903e-03,-4.209947172105396879e-06,-3.251383367224397477e-06
9.205742027969688462e-03,-5.262433965131403685e-06,-4.064229209030496952e-06
1.104689043356362615e-02,-6.314920758167896760e-06,-4.877075050836595156e-06
1.288803883915756211e-02,-7.367407551195209691e-06,-5.689920892642696749e-06
1.472918724475149981e-02,-8.419894344220470262e-06,-6.502766734448794953e-06
1.657033565034543576e-02,-9.472381137248011892e-06,-7.315612576254894005e-06
1.841148405593937692e-02,-1.052486793027325468e-05,-8.128458418060993904e-06
2.025263246153331115e-02,-1.157735472332180950e-05,-8.941304259867092108e-06
2.209378086712725231e-02,-1.262984151633748759e-05,-9.754150101673190313e-06
2.393492927272118653e-02,-1.410732384575545133e-05,-1.083070359672721446e-05
2.577607767831512423e-02,-1.596280968583610639e-05,-1.214180642273825629e-05
2.761722608390906192e-02,-1.781829552589226525e-05,-1.345290924874929304e-05
2.945837448950299961e-02,-1.967378136597242903e-05,-1.476401207476033487e-05
3.129952289509693730e-02,-2.152926720606356019e-05,-1.607511490077136992e-05
3.314067130069087153e-02,-2.338475304613373915e-05,-1.738621772678240667e-05
3.498181970628481269e-02,-2.524023888621252396e-05,-1.869732055279345020e-05
3.682296811187875385e-02,-2.709572472630275726e-05,-2.000842337880449033e-05
3.866411651747268807e-02,-2.895121056637253980e-05,-2.131952620481553047e-05
4.050526492306662230e-02,-3.080669640645276457e-05,-2.263062903082655366e-05
4.234641332866055652e-02,-3.266218224653140369e-05,-2.394173185683760058e-05
4.418756173425450462e-02,-3.451766808661210957e-05,-2.525283468284864071e-05
4.602871013984843884e-02,-3.640145628869733617e-05,-2.659558640097508544e-05
4.786985854544237307e-02,-3.874057247622756072e-05,-2.844750503187096511e-05
4.971100695103631423e-02,-4.107968866373616900e-05,-3.029942366276686173e-05
5.155215535663024845e-02,-4.341880485126630546e-05,-3.215134229366274480e-05
5.339330376222418961e-02,-4.575792103877597084e-05,-3.400326092455863803e-05
5.523445216781812384e-02,-4.809703722630669683e-05,-3.585517955545451771e-05
5.707560057341206500e-02,-5.043615341382577444e-05,-3.770709818635040417e-05
5.891674897900599922e-02,-5.277526960134600400e-05,-3.955901681724629062e-05
6.075789738459993344e-02,-5.511438578886516292e-05,-4.141093544814217030e-05
6.259904579019387461e-02,-5.745350197638504012e-05,-4.326285407903805675e-05
6.444019419578780883e-02,-5.979261816391854439e-05,-4.511477270993392966e-05
6.628134260138174305e-02,-6.213173435143803534e-05,-4.696669134082981611e-05
6.812249100697569115e-02,-6.447085053895629302e-05,-4.881860997172572290e-05
6.996363941256962538e-02,-6.697218183301217040e-05,-5.092813377855982847e-05
7.180478781816355960e-02,-6.958727685225021419e-05,-5.321831970166136864e-05
7.364593622375750770e-02,-7.220237187146773944e-05,-5.550850562476289526e-05
7.548708462935142804e-02,-7.481746689070674545e-05,-5.779869154786439477e-05
7.732823303494537615e-02,-7.743256190997089140e-05,-6.008887747096592816e-05
7.916938144053932425e-02,-8.004765692918788811e-05,-6.237906339406748188e-05
8.101052984613324459e-02,-8.266275194841588947e-05,-6.466924931716897462e-05
8.285167825172719269e-02,-8.527784696763304880e-05,-6.695943524027049446e-05
8.469282665732111304e-02,-8.789294198685976267e-05,-6.924962116337202785e-05
8.653397506291506114e-02,-9.050803700611272779e-05,-7.153980708647356124e-05
8.837512346850900924e-02,-9.312313202535369891e-05,-7.382999300957512174e-05
9.021627187410292958e-02,-9.573822704459490044e-05,-7.612017893267660092e-05
9.205742027969687769e-02,-9.840126763326804092e-05,-7.845344820771812141e-05
9.389856868529081191e-02,-1.014260092467700851e-04,-8.111173797425904339e-05
9.573971709088474613e-02,-1.044507508602631710e-04,-8.377002774079996537e-05
9.758086549647869423e-02,-1.074754924737779274e-04,-8.642831750734090090e-05
9.942201390207262846e-02,-1.105002340872711353e-04,-8.908660727388182288e-05
1.012631623076665627e-01,-1.135249757007864881e-04,-9.174489704042271775e-05
1.031043107132604969e-01,-1.165497173142904025e-04,-9.440318680696365328e-05
1.049454591188544450e-01,-1.195744589277818892e-04,-9.706147657350458881e-05
1.067866075244483792e-01,-1.225992005412977434e-04,-9.971976634004551079e-05
1.086277559300423134e-01,-1.256239421547893521e-04,-1.023780561065864463e-04
1.104689043356362477e-01,-1.286486837682938899e-04,-1.050363458731273547e-04
