# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,6.508707326617910894e-07,-5.954317862849135877e-04
3.682296811187874951e-03,2.603477916560702010e-06,-1.190860681933168536e-03
5.523445216781813077e-03,5.857806508610661151e-06,-1.786283796350204151e-03
7.364593622375749903e-03,1.041383143896985108e-05,-2.381698239025658876e-03
9.205742027969688462e-03,1.627151760879683810e-05,-2.977101119575462605e-03
1.104689043356362615e-02,2.343081989296684400e-05,-3.572489547783932670e-03
1.288803883915756211e-02,3.189168313936312883e-05,-4.167860633645853463e-03
1.472918724475149981e-02,4.165404217159328245e-05,-4.763211487408565599e-03
1.657033565034543576e-02,5.271782178792631338e-05,-5.358539219614033393e-03
1.841148405593937692e-02,6.508293676365460015e-05,-5.953840941140912772e-03
2.025263246153331115e-02,7.874929185262923676e-05,-6.549113763246603576e-03
2.209378086712725231e-02,9.371678178879514105e-05,-7.144354797609294046e-03
2.393492927272118653e-02,1.099852912871361875e-04,-7.739561156369993179e-03
2.577607767831512423e-02,1.275546950470994839e-04,-8.334729952174541392e-03
2.761722608390906192e-02,1.464248577531863829e-04,-8.929858298215633330e-03
2.945837448950299961e-02,1.665956340779048059e-04,-9.524943308274766082e-03
3.129952289509693730e-02,1.880668686842490434e-04,-1.011998209676425765e-02
3.314067130069087153e-02,2.108383962279439315e-04,-1.071497177876915355e-02
3.498181970628481269e-02,2.349100413606334094e-04,-1.130990947008918973e-02
3.682296811187875385e-02,2.602816187320060163e-04,-1.190479228728067579e-02
3.866411651747268807e-02,2.869529329939289543e-04,-1.249961734769840585e-02
4.050526492306662230e-02,3.149237788032814610e-04,-1.309438176953750706e-02
4.234641332866055652e-02,3.441939408245543470e-04,-1.368908267187528456e-02
4.418756173425450462e-02,3.747631937348083774e-04,-1.428371717471304918e-02
4.602871013984843884e-02,4.066313022260379414e-04,-1.487828239901785136e-02
4.786985854544237307e-02,4.397980210104842388e-04,-1.547277546676432275e-02
4.971100695103631423e-02,4.742630948240607086e-04,-1.606719350097633031e-02
5.155215535663024845e-02,5.100262584295413423e-04,-1.666153362576870342e-02
5.339330376222418961e-02,5.470872366224663330e-04,-1.725579296638891924e-02
5.523445216781812384e-02,5.854457442358646435e-04,-1.784996864925867885e-02
5.707560057341206500e-02,6.251014861432075895e-04,-1.844405780201557876e-02
5.891674897900599922e-02,6.660541572652587750e-04,-1.903805755355458124e-02
6.075789738459993344e-02,7.083034425738517778e-04,-1.963196503406966498e-02
6.259904579019387461e-02,7.518490170975597681e-04,-2.022577737509514972e-02
6.444019419578780883e-02,7.966905459273650181e-04,-2.081949170954731573e-02
6.628134260138174305e-02,8.428276842214988893e-04,-2.141310517176567632e-02
6.812249100697569115e-02,8.902600772119388054e-04,-2.200661489755440653e-02
6.996363941256962538e-02,9.389873602097230116e-04,-2.260001802422365036e-02
7.180478781816355960e-02,9.890091586116803255e-04,-2.319331169063080719e-02
7.364593622375750770e-02,1.040325087905391880e-03,-2.378649303722177311e-02
7.548708462935142804e-02,1.092934753676985237e-03,-2.437955920607206076e-02
7.732823303494537615e-02,1.146837751616447409e-03,-2.497250734092805111e-02
7.916938144053932425e-02,1.202033667525776112e-03,-2.556533458724798494e-02
8.101052984613324459e-02,1.258522077324056862e-03,-2.615803809224304458e-02
8.285167825172719269e-02,1.316302547056082172e-03,-2.675061500491834887e-02
8.469282665732111304e-02,1.375374632898141618e-03,-2.734306247611384064e-02
8.653397506291506114e-02,1.435737881167349888e-03,-2.793537765854526081e-02
8.837512346850900924e-02,1.497391828326016545e-03,-2.852755770684486936e-02
9.021627187410292958e-02,1.560336000992864486e-03,-2.911959977760226678e-02
9.205742027969687769e-02,1.624569915948583009e-03,-2.971150102940513238e-02
9.389856868529081191e-02,1.690093080143973856e-03,-3.030325862287983063e-02
9.573971709088474613e-02,1.756904990709518650e-03,-3.089486972073203844e-02
9.758086549647869423e-02,1.825005134961755950e-03,-3.148633148778728907e-02
9.942201390207262846e-02,1.894392990413319234e-03,-3.207764109103136002e-02
1.012631623076665627e-01,1.965068024781204369e-03,-3.266879569965083080e-02
1.031043107132604969e-01,2.037029695994682123e-03,-3.325979248507331815e-02
