# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,3.136755604448033922e-07,-2.869577473640470161e-04
3.682296811187874951e-03,1.254699825375306461e-06,-5.739141016372258921e-04
5.523445216781813077e-03,2.823065544884360070e-06,-8.608676697489568925e-04
7.364593622375749903e-03,5.018760637228494295e-06,-1.147817058669239366e-03
9.205742027969688462e-03,7.841768187020652293e-06,-1.434760875428934624e-03
1.104689043356362615e-02,1.129206644700322868e-05,-1.721697727140057482e-03
1.288803883915756211e-02,1.536962883759665729e-05,-2.008626221016051282e-03
1.472918724475149981e-02,2.007442394830839249e-05,-2.295544964392077971e-03
1.657033565034543576e-02,2.540641553690075347e-05,-2.582452564745284229e-03
1.841148405593937692e-02,3.136556253075045790e-05,-2.869347629715081251e-03
2.025263246153331115e-02,3.795181902797086773e-05,-3.156228767123408271e-03
2.209378086712725231e-02,4.516513429713669671e-05,-3.443094584994997164e-03
2.393492927272118653e-02,5.300545277885939342e-05,-3.729943691577626216e-03
2.577607767831512423e-02,6.147271408668733398e-05,-4.016774695362373450e-03
2.761722608390906192e-02,7.056685300784717920e-05,-4.303586205103853909e-03
2.945837448950299961e-02,8.028779950419730161e-05,-4.590376829840453476e-03
3.129952289509693730e-02,9.063547871401112866e-05,-4.877145178914568321e-03
3.314067130069087153e-02,1.016098109523563153e-04,-5.163889861992805759e-03
3.498181970628481269e-02,1.132107117132430364e-04,-5.450609489086198980e-03
3.682296811187875385e-02,1.254380916706849191e-04,-5.737302670570407909e-03
3.866411651747268807e-02,1.382918566796561091e-04,-6.023968017205899236e-03
4.050526492306662230e-02,1.517719077790627836e-04,-6.310604140158129066e-03
4.234641332866055652e-02,1.658781411916491653e-04,-6.597209651017700398e-03
4.418756173425450462e-02,1.806104483270117391e-04,-6.883783161820524951e-03
4.602871013984843884e-02,1.959687157828453536e-04,-7.170323285067937286e-03
4.786985854544237307e-02,2.119528253467829217e-04,-7.456828633746853154e-03
4.971100695103631423e-02,2.285626539989631101e-04,-7.743297821349852395e-03
5.155215535663024845e-02,2.457980739130974650e-04,-8.029729461895285247e-03
5.339330376222418961e-02,2.636589524592400607e-04,-8.316122169947362183e-03
5.523445216781812384e-02,2.821451522062704042e-04,-8.602474560636183890e-03
5.707560057341206500e-02,3.012565309231252510e-04,-8.888785249677833705e-03
5.891674897900599922e-02,3.209929415824778185e-04,-9.175052853394366839e-03
6.075789738459993344e-02,3.413542323619810949e-04,-9.461275988733863773e-03
6.259904579019387461e-02,3.623402466474588083e-04,-9.747453273290367440e-03
6.444019419578780883e-02,3.839508230354400750e-04,-1.003358332532392275e-02
6.628134260138174305e-02,4.061857953356754532e-04,-1.031966476378049467e-02
6.812249100697569115e-02,4.290449925739271372e-04,-1.060569620831190024e-02
6.996363941256962538e-02,4.525282389948845937e-04,-1.089167627929572835e-02
7.180478781816355960e-02,4.766353540653056045e-04,-1.117760359785525438e-02
7.364593622375750770e-02,5.013661524761456930e-04,-1.146347678587929589e-02
7.548708462935142804e-02,5.267204441466863873e-04,-1.174929446604202482e-02
7.732823303494537615e-02,5.526980342269511475e-04,-1.203505526182286831e-02
7.916938144053932425e-02,5.792987231016008499e-04,-1.232075779752626193e-02
8.101052984613324459e-02,6.065223063923773621e-04,-1.260640069830141867e-02
8.285167825172719269e-02,6.343685749622032365e-04,-1.289198259016212725e-02
8.469282665732111304e-02,6.628373149183682889e-04,-1.317750210000643088e-02
8.653397506291506114e-02,6.919283076161818419e-04,-1.346295785563637187e-02
8.837512346850900924e-02,7.216413296621441249e-04,-1.374834848577763217e-02
9.021627187410292958e-02,7.519761529185645414e-04,-1.403367262009919646e-02
9.205742027969687769e-02,7.829325445063016649e-04,-1.431892888923300307e-02
9.389856868529081191e-02,8.145102668093640507e-04,-1.460411592479346661e-02
9.573971709088474613e-02,8.467090774784917897e-04,-1.488923235939712195e-02
9.758086549647869423e-02,8.795287294350402282e-04,-1.517427682668211382e-02
9.942201390207262846e-02,9.129689708757300756e-04,-1.545924796132767606e-02
1.012631623076665627e-01,9.470295452760411729e-04,-1.574414439907369581e-02
1.031043107132604969e-01,9.817101913948346643e-04,-1.602896477674006087e-02
1.049454591188544450e-01,1.017010643278517959e-03,-1.631370773224612505e-02
1.067866075244483792e-01,1.052930630265136837e-03,-1.659837190463009718e-02
1.086277559300423134e-01,1.089469876990274916e-03,-1.688295593406832426e-02
1.104689043356362477e-01,1.126628103389626032e-03,-1.716745846189469266e-02
1.123100527412301819e-01,1.164405024704828762e-03,-1.745187813061985921e-02
1.141512011468241300e-01,1.202800351488024196e-03,-1.773621358395047892e-02
1.159923495524180503e-01,1.241813789605923646e-03,-1.802046346680848121e-02
1.178334979580119984e-01,1.281445040245896222e-03,-1.830462642535019002e-02
1.196746463636059465e-01,1.321693799920001635e-03,-1.858870110698546824e-02
