# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,5.396412824330660539e-07,-4.936764807483199182e-04
3.682296811187874951e-03,2.158560972310962583e-06,-9.873505648504313052e-04
5.523445216781813077e-03,4.856746597467882326e-06,-1.481019855695030543e-03
7.364593622375749903e-03,8.634177372360757192e-06,-1.974681956740623190e-03
9.205742027969688462e-03,1.349082419609685374e-05,-2.468334471550424555e-03
1.104689043356362615e-02,1.942664965530194594e-05,-2.961975003827259194e-03
1.288803883915756211e-02,2.644160802299223801e-05,-3.455601157448452265e-03
1.472918724475149981e-02,3.453564526089887858e-05,-3.949210536500726530e-03
1.657033565034543576e-02,4.370869901890637955e-05,-4.442800745315078972e-03
1.841148405593937692e-02,5.396069863637992014e-05,-4.936369388501660009e-03
2.025263246153331115e-02,6.529156514438576580e-05,-5.429914070984634064e-03
2.209378086712725231e-02,7.770121126592034657e-05,-5.923432398037050545e-03
2.393492927272118653e-02,9.118954141751483568e-05,-6.416921975315683160e-03
2.577607767831512423e-02,1.057564517115177136e-04,-6.910380408895867507e-03
2.761722608390906192e-02,1.214018299572398548e-04,-7.403805305306338652e-03
2.945837448950299961e-02,1.381255556623166791e-04,-7.897194271564008869e-03
3.129952289509693730e-02,1.559275000360098990e-04,-8.390544915208809559e-03
3.314067130069087153e-02,1.748075259903428020e-04,-8.883854844338437765e-03
3.498181970628481269e-02,1.947654881425176551e-04,-9.377121667643144309e-03
3.682296811187875385e-02,2.158012328177006680e-04,-9.870342994440457762e-03
3.866411651747268807e-02,2.379145980511241526e-04,-1.036351643470993442e-02
4.050526492306662230e-02,2.611054135916610021e-04,-1.085663959912786317e-02
4.234641332866055652e-02,2.853735009032384363e-04,-1.134971009910194437e-02
4.418756173425450462e-02,3.107186731688250741e-04,-1.184272554680598950e-02
4.602871013984843884e-02,3.371407352932850139e-04,-1.233568355521449597e-02
4.786985854544237307e-02,3.646394839066668969e-04,-1.282858173813735889e-02
4.971100695103631423e-02,3.932147073678746358e-04,-1.332141771025441637e-02
5.155215535663024845e-02,4.228661857670466969e-04,-1.381418908715000005e-02
5.339330376222418961e-02,4.535936909301592425e-04,-1.430689348534756010e-02
5.523445216781812384e-02,4.853969864234840455e-04,-1.479952852234407874e-02
5.707560057341206500e-02,5.182758275556067313e-04,-1.529209181664465886e-02
5.891674897900599922e-02,5.522299613832356083e-04,-1.578458098779689581e-02
6.075789738459993344e-02,5.872591267145956537e-04,-1.627699365642539323e-02
6.259904579019387461e-02,6.233630541134649447e-04,-1.676932744426605851e-02
6.444019419578780883e-02,6.605414659047007279e-04,-1.726157997420057003e-02
6.628134260138174305e-02,6.987940761775651016e-04,-1.775374887029063445e-02
6.812249100697569115e-02,7.381205907916744665e-04,-1.824583175781233080e-02
6.996363941256962538e-02,7.785207073807127011e-04,-1.873782626329032613e-02
7.180478781816355960e-02,8.199941153589616373e-04,-1.922973001453212247e-02
7.364593622375750770e-02,8.625404959243650150e-04,-1.972154064066227244e-02
7.548708462935142804e-02,9.061595220659773853e-04,-2.021325577215645278e-02
7.732823303494537615e-02,9.508508585674467842e-04,-2.070487304087564873e-02
7.916938144053932425e-02,9.966141620144578894e-04,-2.119639008010020323e-02
8.101052984613324459e-02,1.043449080798934062e-03,-2.168780452456377586e-02
8.285167825172719269e-02,1.091355255125315204e-03,-2.217911401048743361e-02
8.469282665732111304e-02,1.140332317016706050e-03,-2.267031617561350576e-02
8.653397506291506114e-02,1.190379890321445998e-03,-2.316140865923953587e-02
8.837512346850900924e-02,1.241497590717450476e-03,-2.365238910225208116e-02
9.021627187410292958e-02,1.293685025720964568e-03,-2.414325514716054652e-02
9.205742027969687769e-02,1.346941794691730761e-03,-2.463400443813095614e-02
9.389856868529081191e-02,1.401267488839283166e-03,-2.512463462101960365e-02
9.573971709088474613e-02,1.456661691231333610e-03,-2.561514334340678906e-02
9.758086549647869423e-02,1.513123976798266736e-03,-2.610552825463035437e-02
9.942201390207262846e-02,1.570653912342676864e-03,-2.659578700581925401e-02
1.012631623076665627e-01,1.629251056544792683e-03,-2.708591724992713209e-02
1.031043107132604969e-01,1.688914959970350084e-03,-2.757591664176566384e-02
1.049454591188544450e-01,1.749645165078438308e-03,-2.806578283803802878e-02
1.067866075244483792e-01,1.811441206227393458e-03,-2.855551349737221745e-02
1.086277559300423134e-01,1.874302609685481570e-03,-2.904510628035433112e-02
1.104689043356362477e-01,1.938228893635387650e-03,-2.953455884956180874e-02
1.123100527412301819e-01,2.003219568185016924e-03,-3.002386886959660176e-02
1.141512011468241300e-01,2.069274135373326551e-03,-3.051303400711827263e-02
1.159923495524180503e-01,2.136392089179738225e-03,-3.100205193087703787e-02
1.178334979580119984e-01,2.204572915532618596e-03,-3.149092031174682144e-02
1.196746463636059465e-01,2.273816092316984470e-03,-3.197963682275806185e-02
1.215157947691998669e-01,2.344121089384076321e-03,-3.246819913913072397e-02
1.233569431747938150e-01,2.415487368558998441e-03,-3.295660493830700200e-02
1.251980915803877492e-01,2.487914383650115940e-03,-3.344485189998411268e-02
1.270392399859816834e-01,2.561401580458748384e-03,-3.393293770614687344e-02
1.288803883915756177e-01,2.635948396786521545e-03,-3.442086004110045394e-02
1.307215367971695519e-01,2.711554262446697755e-03,-3.490861659150281543e-02
1.325626852027634861e-01,2.788218599272214177e-03,-3.539620504639721249e-02
1.344038336083574481e-01,2.865940821125444963e-03,-3.588362309724456300e-02
1.362449820139513823e-01,2.944720333908344180e-03,-3.637086843795579033e-02
1.380861304195453165e-01,3.024556535571418670e-03,-3.685793876492418630e-02
1.399272788251392508e-01,3.105448816123906539e-03,-3.734483177705742035e-02
1.417684272307331850e-01,3.187396557644728463e-03,-3.783154517580981230e-02
1.436095756363271192e-01,3.270399134290951412e-03,-3.831807666521427902e-02
1.454507240419210812e-01,3.354455912309962061e-03,-3.880442395191433663e-02
1.472918724475150154e-01,3.439566250047554948e-03,-3.929058474519602634e-02
1.491330208531089496e-01,3.525729497960838812e-03,-3.977655675701965293e-02
1.509741692587028561e-01,3.612944998627696472e-03,-4.026233770205159962e-02
1.528153176642968181e-01,3.701212086757414785e-03,-4.074792529769594163e-02
1.546564660698907523e-01,3.790530089201680185e-03,-4.123331726412606674e-02
1.564976144754846865e-01,3.880898324966436819e-03,-4.171851132431617093e-02
1.583387628810786485e-01,3.972316105222119254e-03,-4.220350520407264300e-02
1.601799112866725550e-01,4.064782733315176234e-03,-4.268829663206537978e-02
1.620210596922664892e-01,4.158297504780051994e-03,-4.317288333985921933e-02
1.638622080978604512e-01,4.252859707349159607e-03,-4.365726306194492312e-02
1.657033565034543854e-01,4.348468620966624773e-03,-4.414143353577029000e-02
1.675445049090483196e-01,4.445123517798769616e-03,-4.462539250177131878e-02
1.693856533146422261e-01,4.542823662246018093e-03,-4.510913770340294060e-02
1.712268017202361881e-01,4.641568310955213397e-03,-4.559266688716996641e-02
1.730679501258301223e-01,4.741356712832246745e-03,-4.607597780265782622e-02
1.749090985314240565e-01,4.842188109052634852e-03,-4.655906820256314887e-02
1.767502469370180185e-01,4.944061733076907800e-03,-4.704193584272439721e-02
1.785913953426119249e-01,5.046976810659572349e-03,-4.752457848215237146e-02
1.804325437482058592e-01,5.150932559864042706e-03,-4.800699388306057386e-02
1.822736921537998211e-01,5.255928191075273648e-03,-4.848917981089544832e-02
1.841148405593937554e-01,5.361962907011449085e-03,-4.897113403436666179e-02
1.859559889649876896e-01,5.469035902738371598e-03,-4.945285432547721904e-02
1.877971373705816238e-01,5.577146365681294113e-03,-4.993433845955341788e-02
1.896382857761755580e-01,5.686293475639135099e-03,-5.041558421527477657e-02
1.914794341817694923e-01,5.796476404797423071e-03,-5.089658937470397521e-02
1.933205825873634542e-01,5.907694317741584572e-03,-5.137735172331651945e-02
1.951617309929573885e-01,6.019946371470652827e-03,-5.185786905003025860e-02
1.970028793985512949e-01,6.133231715411455176e-03,-5.233813914723511873e-02
1.988440278041452569e-01,6.247549491431741465e-03,-5.281815981082244732e-02
2.006851762097391911e-01,6.362898833854335051e-03,-5.329792884021431615e-02
2.025263246153331254e-01,6.479278869471419115e-03,-5.377744403839285897e-02
2.043674730209270873e-01,6.596688717558240114e-03,-5.425670321192935242e-02
2.062086214265209938e-01,6.715127489887942266e-03,-5.473570417101317892e-02
2.080497698321149280e-01,6.834594290745709018e-03,-5.521444472948097704e-02
2.098909182377088900e-01,6.955088216943227167e-03,-5.569292270484527824e-02
2.117320666433028242e-01,7.076608357833167467e-03,-5.617113591832320618e-02
2.135732150488967585e-01,7.199153795324451065e-03,-5.664908219486539803e-02
