# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-2.667294711984043326e-06,-5.848130787396410004e-05
3.682296811187874951e-03,-4.795946846994410753e-06,-1.169746622973207679e-04
5.523445216781813077e-03,-8.343388967082319665e-06,-1.754920496974417114e-04
7.364593622375749903e-03,-1.330916096778392302e-05,-2.340453910238433769e-04
9.205742027969688462e-03,-1.969250543187669756e-05,-2.926465418691772172e-04
1.104689043356362615e-02,-2.749248345067874496e-05,-3.513072925904415968e-04
1.288803883915756211e-02,-3.670793189725797540e-05,-4.100393684304163384e-04
1.472918724475149981e-02,-4.733803323401071056e-05,-4.688544296393172810e-04
1.657033565034543576e-02,-5.938110917013126103e-05,-5.277640715966681667e-04
1.841148405593937692e-02,-7.283673870871540520e-05,-5.867798249333900989e-04
2.025263246153331115e-02,-8.770183535223727235e-05,-6.459131556541060533e-04
2.209378086712725231e-02,-1.039756758459168488e-04,-7.051754652596584332e-04
2.393492927272118653e-02,-1.216563538826667028e-04,-7.645780908698383707e-04
2.577607767831512423e-02,-1.407417073889242109e-04,-8.241323053463272055e-04
2.761722608390906192e-02,-1.611972515462543887e-04,-8.838493174158442876e-04
2.945837448950299961e-02,-1.830873482308919208e-04,-9.437402717935031637e-04
3.129952289509693730e-02,-2.063765316192181878e-04,-1.003816249306373328e-03
3.314067130069087153e-02,-2.310609520328304729e-04,-1.064088267017245914e-03
3.498181970628481269e-02,-2.571367950443956469e-04,-1.124567278348602775e-03
3.682296811187875385e-02,-2.846066716299912249e-04,-1.185264173206781275e-03
3.866411651747268807e-02,-3.134645707385635125e-04,-1.246189778106349946e-03
4.050526492306662230e-02,-3.437092488996989592e-04,-1.307354856294665755e-03
4.234641332866055652e-02,-3.753396695236222314e-04,-1.368770107876642137e-03
4.418756173425450462e-02,-4.083482742286364360e-04,-1.430446169939703083e-03
4.602871013984843884e-02,-4.427341954913359759e-04,-1.492393616678932590e-03
4.786985854544237307e-02,-4.784947587990415478e-04,-1.554622959522414727e-03
4.971100695103631423e-02,-5.156235279752068414e-04,-1.617144647256766894e-03
5.155215535663024845e-02,-5.541242807457338665e-04,-1.679969066152855236e-03
5.339330376222418961e-02,-5.939904000772761820e-04,-1.743106540091702173e-03
5.523445216781812384e-02,-6.352171650932880937e-04,-1.806567330690576076e-03
5.707560057341206500e-02,-6.778017922017689307e-04,-1.870361637429265259e-03
5.891674897900599922e-02,-7.217428094602834588e-04,-1.934499597776535634e-03
6.075789738459993344e-02,-7.670334484754292919e-04,-1.998991287316765741e-03
6.259904579019387461e-02,-8.136717010880411063e-04,-2.063846719876760456e-03
6.444019419578780883e-02,-8.616557709495923766e-04,-2.129075847652747711e-03
6.628134260138174305e-02,-9.109799351861986834e-04,-2.194688561337544783e-03
6.812249100697569115e-02,-9.616427629795083146e-04,-2.260694690247898927e-03
6.996363941256962538e-02,-1.013634769472079823e-03,-2.327104002452004723e-03
7.180478781816355960e-02,-1.066956392893322458e-03,-2.393926204897191875e-03
7.364593622375750770e-02,-1.121602624961290807e-03,-2.461170943537777361e-03
7.548708462935142804e-02,-1.177535261419620062e-03,-2.528847803463088462e-03
7.732823303494537615e-02,-1.234817571577738514e-03,-2.596966309025661862e-03
7.916938144053932425e-02,-1.293415476634212583e-03,-2.665535923969589768e-03
8.101052984613324459e-02,-1.353313760755485385e-03,-2.734566051559035160e-03
8.285167825172719269e-02,-1.414534227118152254e-03,-2.804066034706929628e-03
8.469282665732111304e-02,-1.477026595575420351e-03,-2.874045156103793939e-03
8.653397506291506114e-02,-1.540841675054299828e-03,-2.944512638346750283e-03
8.837512346850900924e-02,-1.605916562336503952e-03,-3.015477644068670273e-03
9.021627187410292958e-02,-1.672311157857381140e-03,-3.086949276067494675e-03
9.205742027969687769e-02,-1.739948864166550009e-03,-3.158936577435695822e-03
9.389856868529081191e-02,-1.808891187472447693e-03,-3.231448531689899619e-03
9.573971709088474613e-02,-1.879097273706580116e-03,-3.304494062900651102e-03
9.758086549647869423e-02,-1.950588317108793062e-03,-3.378082035822338285e-03
9.942201390207262846e-02,-2.023312717342234425e-03,-3.452221256023254789e-03
1.012631623076665627e-01,-2.097307839607738013e-03,-3.526920470015822932e-03
1.031043107132604969e-01,-2.172555296518985206e-03,-3.602188365386944317e-03
1.049454591188544450e-01,-2.249052248326726018e-03,-3.678033570928508286e-03
1.067866075244483792e-01,-2.326790647412270950e-03,-3.754464656768034380e-03
1.086277559300423134e-01,-2.405764472894441394e-03,-3.831490134499454438e-03
1.104689043356362477e-01,-2.485971287494624909e-03,-3.909118457314047362e-03
1.123100527412301819e-01,-2.567404706069488160e-03,-3.987358020131486630e-03
1.141512011468241300e-01,-2.650079586301647919e-03,-4.066217159731050010e-03
1.159923495524180503e-01,-2.733938239006027636e-03,-4.145704154882942465e-03
1.178334979580119984e-01,-2.819047627203991307e-03,-4.225827226479772145e-03
1.196746463636059465e-01,-2.905318426711020301e-03,-4.306594537668131766e-03
1.215157947691998669e-01,-2.992838638719464740e-03,-4.388014193980341315e-03
1.233569431747938150e-01,-3.081473204230159631e-03,-4.470094243466289641e-03
1.251980915803877492e-01,-3.171394795950448903e-03,-4.552842676825424352e-03
1.270392399859816834e-01,-3.262430777964527625e-03,-4.636267427538856220e-03
1.288803883915756177e-01,-3.354716033691616112e-03,-4.720376372001590208e-03
1.307215367971695519e-01,-3.448103217658045339e-03,-4.805177329654880536e-03
1.325626852027634861e-01,-3.542696391007641322e-03,-4.890678063118704573e-03
1.344038336083574481e-01,-3.638489581955630780e-03,-4.976886278324357295e-03
1.362449820139513823e-01,-3.735366680018198816e-03,-5.063809624647160230e-03
1.380861304195453165e-01,-3.833458390744674121e-03,-5.151455695039300516e-03
1.399272788251392508e-01,-3.932633896140259704e-03,-5.239832026162760149e-03
1.417684272307331850e-01,-4.033020149497278280e-03,-5.328946098522385766e-03
1.436095756363271192e-01,-4.134490304846372317e-03,-5.418805336599056416e-03
1.454507240419210812e-01,-4.237064255789400533e-03,-5.509417108982955433e-03
1.472918724475150154e-01,-4.340823427621137882e-03,-5.600788728506970668e-03
1.491330208531089496e-01,-4.445655907497024321e-03,-5.692927452380181462e-03
1.509741692587028561e-01,-4.551649190901406287e-03,-5.785840482321473119e-03
1.528153176642968181e-01,-4.658712281751484739e-03,-5.879534964693241585e-03
1.546564660698907523e-01,-4.766872404984114943e-03,-5.974017990635193537e-03
1.564976144754846865e-01,-4.876138019490113863e-03,-6.069296596198287853e-03
1.583387628810786485e-01,-4.986491938035703814e-03,-6.165377762478710909e-03
1.601799112866725550e-01,-5.097921804968714998e-03,-6.262268415752021873e-03
1.620210596922664892e-01,-5.210419871366491103e-03,-6.359975427607351788e-03
1.638622080978604512e-01,-5.323995121463892533e-03,-6.458505615081715397e-03
1.657033565034543854e-01,-5.438645958496342823e-03,-6.557865740794391503e-03
1.675445049090483196e-01,-5.554323390967031218e-03,-6.658062513081452506e-03
1.693856533146422261e-01,-5.671115835203535682e-03,-6.759102586130312160e-03
1.712268017202361881e-01,-5.788870655319455598e-03,-6.860992560114443327e-03
1.730679501258301223e-01,-5.907649983031133985e-03,-6.963738981328102678e-03
1.749090985314240565e-01,-6.027520364731357716e-03,-7.067348342321218453e-03
1.767502469370180185e-01,-6.148458270823895302e-03,-7.171827082034302504e-03
1.785913953426119249e-01,-6.270309234793869195e-03,-7.277181585933485512e-03
1.804325437482058592e-01,-6.393210787329509613e-03,-7.383418186145633728e-03
1.822736921537998211e-01,-6.517189328150857670e-03,-7.490543161593521231e-03
1.841148405593937554e-01,-6.642130560284389626e-03,-7.598562738131101925e-03
1.859559889649876896e-01,-6.768004770857449261e-03,-7.707483088678863947e-03
1.877971373705816238e-01,-6.894951653935510634e-03,-7.817310333359254321e-03
1.896382857761755580e-01,-7.022790383896719210e-03,-7.928050539632164329e-03
1.914794341817694923e-01,-7.151701527815362489e-03,-8.039709722430543257e-03
1.933205825873634542e-01,-7.281466344458535807e-03,-8.152293844295999126e-03
1.951617309929573885e-01,-7.412276430798217172e-03,-8.265808815514551211e-03
1.970028793985512949e-01,-7.544020558007753958e-03,-8.380260494252418993e-03
1.988440278041452569e-01,-7.676706355691490305e-03,-8.495654686691875290e-03
2.006851762097391911e-01,-7.810398397919654338e-03,-8.611997147167179192e-03
2.025263246153331254e-01,-7.944917272819212659e-03,-8.729293578300559298e-03
2.043674730209270873e-01,-8.080405525259804975e-03,-8.847549631138299300e-03
2.062086214265209938e-01,-8.216862104839389030e-03,-8.966770905286823579e-03
2.080497698321149280e-01,-8.354223152451925247e-03,-9.086962949048925028e-03
2.098909182377088900e-01,-8.492400835146164673e-03,-9.208131259559979021e-03
2.117320666433028242e-01,-8.631543081101663781e-03,-9.330281282924247563e-03
