# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-1.134698201607404205e-06,-2.811902527109137826e-05
3.682296811187874951e-03,4.107484942204140559e-04,-5.624565683780884199e-05
5.523445216781813077e-03,-4.880522398775737595e-06,-8.438746633459323198e-05
7.364593622375749903e-03,-8.157625738686053935e-06,-1.125519876254031719e-04
9.205742027969688462e-03,-1.237030359915987407e-05,-1.407467168498274335e-04
1.104689043356362615e-02,-1.751801045297228629e-05,-1.689791124694351690e-04
1.288803883915756211e-02,-2.360007661861413032e-05,-1.972565953143654406e-04
1.472918724475149981e-02,-3.061599168392316854e-05,-2.255865486301539800e-04
1.657033565034543576e-02,-3.856477432607573056e-05,-2.539763181247953281e-04
1.841148405593937692e-02,-4.744602780121061282e-05,-2.824332120160422122e-04
2.025263246153331115e-02,-5.725812536339636703e-05,-3.109645010789373483e-04
2.209378086712725231e-02,-6.800051032662380007e-05,-3.395774186935793509e-04
2.393492927272118653e-02,-7.967208666357971985e-05,-3.682791608931222324e-04
2.577607767831512423e-02,-9.227168841911565639e-05,-3.970768864120046196e-04
2.761722608390906192e-02,-1.057981569604883544e-04,-4.259777167344103925e-04
2.945837448950299961e-02,-1.202505198231732848e-04,-4.549887361429586310e-04
3.129952289509693730e-02,-1.356274530548556292e-04,-4.841169917676220588e-04
3.314067130069087153e-02,-1.519265570900872858e-04,-5.133694936348731684e-04
3.498181970628481269e-02,-1.691457068531349646e-04,-5.427532147170573791e-04
3.682296811187875385e-02,-1.872864117786978322e-04,-5.722750909819894309e-04
3.866411651747268807e-02,-2.063462492120509177e-04,-6.019420214427788178e-04
4.050526492306662230e-02,-2.263217822629342831e-04,-6.317608682078739574e-04
4.234641332866055652e-02,-2.472110244027090221e-04,-6.617384565313326342e-04
4.418756173425450462e-02,-2.690146769947922398e-04,-6.918815748633122108e-04
4.602871013984843884e-02,-2.917314457166328076e-04,-7.221969749007803654e-04
4.786985854544237307e-02,-3.153566462047996117e-04,-7.526913716384474404e-04
4.971100695103631423e-02,-3.398879253510055987e-04,-7.833714434199168242e-04
5.155215535663024845e-02,-3.653276558386837425e-04,-8.142438319890497878e-04
5.339330376222418961e-02,-3.916697675661347635e-04,-8.453151425415518245e-04
5.523445216781812384e-02,-4.188927442324670222e-04,-8.765919437767731191e-04
5.707560057341206500e-02,-4.470370564525529282e-04,-9.080807679497213038e-04
5.891674897900599922e-02,-4.760798471176677540e-04,-9.397881109232930066e-04
6.075789738459993344e-02,-5.060172939338956595e-04,-9.717204322207121563e-04
6.259904579019387461e-02,-5.368489874701787941e-04,-1.003884155078186430e-03
6.444019419578780883e-02,-5.685716242629900710e-04,-1.036285666497766987e-03
6.628134260138174305e-02,-6.011835900053636101e-04,-1.068931317300429165e-03
6.812249100697569115e-02,-6.346828609736994723e-04,-1.101827422179347355e-03
6.996363941256962538e-02,-6.690654369871954985e-04,-1.134980259753392466e-03
7.180478781816355960e-02,-7.043301820479128507e-04,-1.168396072620824866e-03
7.364593622375750770e-02,-7.404743399963937493e-04,-1.202081067413201566e-03
7.548708462935142804e-02,-7.774943544124157495e-04,-1.236041414849480512e-03
7.732823303494537615e-02,-8.153881370927877582e-04,-1.270283249790338026e-03
7.916938144053932425e-02,-8.541564187629775403e-04,-1.304812671292679242e-03
8.101052984613324459e-02,-8.937903465837544184e-04,-1.339635742664357790e-03
8.285167825172719269e-02,-9.342991067662557558e-04,-1.374758491519095837e-03
8.469282665732111304e-02,-9.756593639067681406e-04,-1.410186909831597337e-03
8.653397506291506114e-02,-1.017894393893769255e-03,-1.445926953992872051e-03
8.837512346850900924e-02,-1.060972288958209444e-03,-1.481984544865741710e-03
9.021627187410292958e-02,-1.104922936906402873e-03,-1.518365567840561283e-03
9.205742027969687769e-02,-1.149707723945673403e-03,-1.555075872891124996e-03
9.389856868529081191e-02,-1.195354546274317699e-03,-1.592121274630762737e-03
9.573971709088474613e-02,-1.241846404176723782e-03,-1.629507552368647440e-03
9.758086549647869423e-02,-1.289191099575577246e-03,-1.667240450166281810e-03
9.942201390207262846e-02,-1.337363056362903544e-03,-1.705325676894175416e-03
1.012631623076665627e-01,-1.386379361619795173e-03,-1.743768906288728883e-03
1.031043107132604969e-01,-1.436231108834400312e-03,-1.782575777009286558e-03
1.049454591188544450e-01,-1.486914721139323157e-03,-1.821751892695398648e-03
1.067866075244483792e-01,-1.538428667856474438e-03,-1.861302822024257266e-03
1.086277559300423134e-01,-1.590766797576697363e-03,-1.901234098768324809e-03
1.104689043356362477e-01,-1.643905688489233482e-03,-1.941551221853151429e-03
1.123100527412301819e-01,-1.697886079475607966e-03,-1.982259655415369217e-03
1.141512011468241300e-01,-1.752694760602645707e-03,-2.023364828860882859e-03
1.159923495524180503e-01,-1.808298835561795168e-03,-2.064872136923227679e-03
1.178334979580119984e-01,-1.864729950780226984e-03,-2.106786939722128920e-03
1.196746463636059465e-01,-1.921948869364447548e-03,-2.149114562822223868e-03
1.215157947691998669e-01,-1.979994314238939235e-03,-2.191860297291973493e-03
1.233569431747938150e-01,-2.038814869545275098e-03,-2.235029399762760143e-03
1.251980915803877492e-01,-2.098466609906892572e-03,-2.278627092488143095e-03
1.270392399859816834e-01,-2.158875332380268911e-03,-2.322658563403313600e-03
1.288803883915756177e-01,-2.220107476644723934e-03,-2.367128966184712992e-03
1.307215367971695519e-01,-2.282095689402169943e-03,-2.412043420309827740e-03
1.325626852027634861e-01,-2.344876813222626470e-03,-2.457407011117165342e-03
1.344038336083574481e-01,-2.408461452292398174e-03,-2.503224789866393719e-03
1.362449820139513823e-01,-2.472785269910831446e-03,-2.549501773798659721e-03
1.380861304195453165e-01,-2.537918219220024196e-03,-2.596242946197082398e-03
1.399272788251392508e-01,-2.603785340761113724e-03,-2.643453256447400243e-03
1.417684272307331850e-01,-2.670454712007046694e-03,-2.691137620098813573e-03
1.436095756363271192e-01,-2.737857407998109480e-03,-2.739300918924967004e-03
1.454507240419210812e-01,-2.806011030358383090e-03,-2.787948000985124037e-03
1.472918724475150154e-01,-2.874945604940239239e-03,-2.837083680685489537e-03
1.491330208531089496e-01,-2.944618752271956942e-03,-2.886712738840705676e-03
1.509741692587028561e-01,-3.015058588798411651e-03,-2.936839922735523089e-03
1.528153176642968181e-01,-3.086219944597528089e-03,-2.987469946186610374e-03
1.546564660698907523e-01,-3.158127554485514518e-03,-3.038607489604545735e-03
1.564976144754846865e-01,-3.230780332603641614e-03,-3.090257200055964749e-03
1.583387628810786485e-01,-3.304159791936284868e-03,-3.142423691325867303e-03
1.601799112866725550e-01,-3.378273132494583660e-03,-3.195111543980088450e-03
