# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,-5.580672167652937183e-06,-2.001227955706853945e-06
1.472918724475149981e-02,-1.938829100597630947e-05,-2.300533563975601671e-06
2.209378086712725231e-02,-4.322067703065728161e-05,-2.842207865776233403e-06
2.945837448950299961e-02,-7.735297701430549197e-05,-3.870949539210739989e-06
3.682296811187875385e-02,-1.207427518242036048e-04,-5.272231530544409171e-06
4.418756173425450462e-02,-1.765550605248444741e-04,-7.546872980684092115e-06
5.155215535663024845e-02,-2.449053425182974846e-04,-1.111589283073690362e-05
5.891674897900599922e-02,-3.262335461403345540e-04,-2.076753248314888552e-05
6.628134260138174305e-02,-4.175727445925697906e-04,-3.382770628522929643e-05
7.364593622375750770e-02,-5.229333835183405145e-04,-4.893319064111030698e-05
8.101052984613324459e-02,-6.536058457398578403e-04,-7.005285158869119233e-05
8.837512346850900924e-02,-8.021310985840559389e-04,-1.290814101024359171e-04
9.573971709088474613e-02,-9.349058273818079039e-04,-2.043119059794284303e-04
1.031043107132604969e-01,-1.065520931057998850e-03,-2.848204294673837753e-04
1.104689043356362477e-01,-1.195072893928643930e-03,-3.702923110514199571e-04
1.178334979580119984e-01,-1.328535480395950496e-03,-4.612958802407407782e-04
1.251980915803877492e-01,-1.463708174165351608e-03,-5.576045294036821977e-04
1.325626852027634861e-01,-1.600969456564146996e-03,-6.589588693584808900e-04
1.399272788251392508e-01,-1.743111748690630205e-03,-7.666842364294206447e-04
1.472918724475150154e-01,-1.888017879205975032e-03,-8.799353428325015205e-04
1.546564660698907523e-01,-2.037381970285708551e-03,-9.992717277088145750e-04
1.620210596922664892e-01,-2.191788378459938805e-03,-1.125422683672969854e-03
1.693856533146422261e-01,-2.348305620853761815e-03,-1.257164095999065319e-03
1.767502469370180185e-01,-2.508016153669047604e-03,-1.395588129920566399e-03
1.841148405593937554e-01,-2.676581989856067264e-03,-1.542262592911125335e-03
1.914794341817694923e-01,-2.847177953838984140e-03,-1.695030221606952771e-03
1.988440278041452569e-01,-3.029272118387247442e-03,-1.857655544492810371e-03
2.062086214265209938e-01,-3.212894774762200568e-03,-2.027451736906419125e-03
2.135732150488967585e-01,-3.401006394960712827e-03,-2.204559879927694109e-03
2.209378086712724953e-01,-3.617438182694102632e-03,-2.400642594442672310e-03
2.283024022936482600e-01,-3.830862057459757854e-03,-2.614927169792460003e-03
2.356669959160239969e-01,-4.071715846503808946e-03,-2.867232336849800164e-03
2.430315895383997338e-01,-4.278404359457708798e-03,-3.144201311362307145e-03
2.503961831607754984e-01,-4.482874478619700703e-03,-3.442058972239178932e-03
2.577607767831512353e-01,-4.669749543387850289e-03,-3.779747256855472189e-03
2.651253704055269722e-01,-4.836465683917499751e-03,-4.110089287619013605e-03
2.724899640279027646e-01,-4.986222649915943335e-03,-4.473137017876408113e-03
2.798545576502785015e-01,-5.119864620957661171e-03,-4.828702403161027820e-03
2.872191512726542384e-01,-5.236991094190396670e-03,-5.195030598223077632e-03
2.945837448950300308e-01,-5.335598110764251494e-03,-5.572847156934129451e-03
3.019483385174057122e-01,-5.418588861221233441e-03,-5.953605650100395226e-03
3.093129321397815046e-01,-5.490693280065906713e-03,-6.333075549687628390e-03
3.166775257621572970e-01,-5.550021998583122042e-03,-6.712733923641410125e-03
3.240421193845329784e-01,-5.591656967892888637e-03,-7.098188404859607711e-03
3.314067130069087708e-01,-5.624636397546061740e-03,-7.482640583566572273e-03
3.387713066292844521e-01,-5.639799912066800584e-03,-7.872558165597242502e-03
3.461359002516602446e-01,-5.651435393800736603e-03,-8.253453583630915302e-03
3.535004938740360370e-01,-5.649259143504380479e-03,-8.638646506049230123e-03
3.608650874964117183e-01,-5.633732377607910020e-03,-9.023044900336689780e-03
3.682296811187875107e-01,-5.614478823871660133e-03,-9.402097355077687624e-03
3.755942747411632476e-01,-5.576021338148435050e-03,-9.789203450149542435e-03
3.829588683635389845e-01,-5.536648444270890826e-03,-1.016362382997428211e-02
3.903234619859147769e-01,-5.489454580205956578e-03,-1.053881615659789037e-02
3.976880556082905138e-01,-5.424509474411032262e-03,-1.091815414681306280e-02
4.050526492306662507e-01,-5.361659679077671221e-03,-1.128716092100814049e-02
4.124172428530419876e-01,-5.278018268732682580e-03,-1.166531552555573337e-02
4.197818364754177800e-01,-5.197132393504185974e-03,-1.203009353890397738e-02
4.271464300977935169e-01,-5.117099984754482772e-03,-1.239120903422674495e-02
4.345110237201692538e-01,-5.004620137567556727e-03,-1.276464436478940041e-02
4.418756173425449907e-01,-4.910813417323496924e-03,-1.311916438500523863e-02
4.492402109649207276e-01,-4.798390280596937646e-03,-1.348347566339978473e-02
4.566048045872965200e-01,-4.691331132995561586e-03,-1.384751308927598470e-02
4.639693982096722014e-01,-4.580313247184748283e-03,-1.421583546258384928e-02
4.713339918320479938e-01,-4.425619341618993070e-03,-1.459533623519549371e-02
4.786985854544237862e-01,-4.284966936823920818e-03,-1.495747818343766584e-02
4.860631790767994675e-01,-4.129793946460104392e-03,-1.531928230758552133e-02
4.934277726991752600e-01,-3.943125893844042634e-03,-1.567739204973340322e-02
5.007923663215509968e-01,-3.776261986363252301e-03,-1.602425833338825406e-02
5.081569599439267337e-01,-3.579639414517382136e-03,-1.637286079886590695e-02
5.155215535663024706e-01,-3.385074446224911691e-03,-1.671771966526406500e-02
