# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,8.469299869304698386e-05,-3.998852074064118342e-03
1.472918724475149981e-02,3.385272836856242874e-04,-7.990424989151357488e-03
2.209378086712725231e-02,7.607702461446769291e-04,-1.196747928752253838e-02
2.945837448950299961e-02,1.350205936246726785e-03,-1.592285447679261598e-02
3.682296811187875385e-02,2.105142602959840428e-03,-1.984950742787865152e-02
4.418756173425450462e-02,3.023423135598917420e-03,-2.374054949365526565e-02
5.155215535663024845e-02,4.102438295294661905e-03,-2.758928195852638696e-02
5.891674897900599922e-02,5.339142595750700354e-03,-3.138922945922419105e-02
6.628134260138174305e-02,6.730072666199992878e-03,-3.513417105320535555e-02
7.364593622375750770e-02,8.271367905688085248e-03,-3.881816865207372846e-02
8.101052984613324459e-02,9.958793217065995892e-03,-4.243559258245145627e-02
8.837512346850900924e-02,1.178776359162022648e-02,-4.598114408451367541e-02
9.573971709088474613e-02,1.375337030131188430e-02,-4.944987460782718919e-02
1.031043107132604969e-01,1.585040844525464898e-02,-5.283720181403470106e-02
1.104689043356362477e-01,1.807340559038092542e-02,-5.613892224518914759e-02
1.178334979580119984e-01,2.041665124320982475e-02,-5.935122066412893554e-02
1.251980915803877492e-01,2.287422689013167421e-02,-6.247067611826633005e-02
1.325626852027634861e-01,2.544003634751461004e-02,-6.549426481972842051e-02
1.399272788251392508e-01,2.810783616999995571e-02,-6.841935997228287825e-02
1.472918724475150154e-01,3.087126587531761196e-02,-7.124372870838809046e-02
1.546564660698907523e-01,3.372387775652171960e-02,-7.396552632767357249e-02
1.620210596922664892e-01,3.665916606737813777e-02,-7.658328805097702752e-02
1.693856533146422261e-01,3.967059538337466135e-02,-7.909591852168459947e-02
1.767502469370180185e-01,4.275162795910265184e-02,-8.150267929861311489e-02
1.841148405593937554e-01,4.589574992219640215e-02,-8.380317459222988430e-02
1.914794341817694923e-01,4.909649616425145607e-02,-8.599733549892357720e-02
1.988440278041452569e-01,5.234747380981005782e-02,-8.808540298668850188e-02
2.062086214265209938e-01,5.564238416527386016e-02,-9.006790988040330737e-02
2.135732150488967585e-01,5.897504307015562913e-02,-9.194566208635421289e-02
2.209378086712724953e-01,6.233939959313631457e-02,-9.371971928426960086e-02
2.283024022936482600e-01,6.572955303469840693e-02,-9.539137530141623966e-02
2.356669959160239969e-01,6.913976821643699755e-02,-9.696213836775552375e-02
2.430315895383997338e-01,7.256448905433582341e-02,-9.843371143426045411e-02
2.503961831607754984e-01,7.599835042917618688e-02,-9.980797271870375797e-02
2.577607767831512353e-01,7.943618838172532282e-02,-1.010869566249650020e-01
2.651253704055269722e-01,8.287304867334098490e-02,-1.022728351635426303e-01
2.724899640279027646e-01,8.630419376409090293e-02,-1.033678999828288592e-01
2.798545576502785015e-01,8.972510827040205972e-02,-1.043745451030877736e-01
2.872191512726542384e-01,9.313150297263694810e-02,-1.052952504282066298e-01
2.945837448950300308e-01,9.651931744987829465e-02,-1.061325660943512744e-01
3.019483385174057122e-01,9.988472142464327463e-02,-1.068890976997926706e-01
3.093129321397815046e-01,1.032241149043145456e-01,-1.075674924464831150e-01
3.166775257621572970e-01,1.065341272088558555e-01,-1.081704262115129322e-01
3.240421193845329784e-01,1.098116149759690852e-01,-1.087005915554008217e-01
3.314067130069087708e-01,1.130536592353491715e-01,-1.091606866642714085e-01
3.387713066292844521e-01,1.162575616432130338e-01,-1.095534052143234960e-01
3.461359002516602446e-01,1.194208399669299675e-01,-1.098814271395590209e-01
3.535004938740360370e-01,1.225412229074675508e-01,-1.101474102774647329e-01
3.608650874964117183e-01,1.256166443446077308e-01,-1.103539828621473845e-01
3.682296811187875107e-01,1.286452370865751038e-01,-1.105037368302460854e-01
3.755942747411632476e-01,1.316253262019627945e-01,-1.105992219016935646e-01
3.829588683635389845e-01,1.345554220077317398e-01,-1.106429403949913959e-01
3.903234619859147769e-01,1.374342127826815307e-01,-1.106373427350122451e-01
3.976880556082905138e-01,1.402605572712280479e-01,-1.105848236103608023e-01
4.050526492306662507e-01,1.430334770376504583e-01,-1.104877187369328884e-01
4.124172428530419876e-01,1.457521487262449511e-01,-1.103483021844245959e-01
4.197818364754177800e-01,1.484158962781108870e-01,-1.101687842230947845e-01
4.271464300977935169e-01,1.510241831506424215e-01,-1.099513096489913161e-01
4.345110237201692538e-01,1.535766045812476666e-01,-1.096979565470662249e-01
4.418756173425449907e-01,1.560728799324055949e-01,-1.094107354530533954e-01
4.492402109649207276e-01,1.585128451509290326e-01,-1.090915888766234437e-01
4.566048045872965200e-01,1.608964453702481090e-01,-1.087423911501102514e-01
4.639693982096722014e-01,1.632237276806904891e-01,-1.083649485689826830e-01
4.713339918320479938e-01,1.654948340891127523e-01,-1.079609997921785608e-01
4.786985854544237862e-01,1.677099946858524870e-01,-1.075322164723920004e-01
4.860631790767994675e-01,1.698695210338220518e-01,-1.070802040883839235e-01
