# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,9.371814455195585393e-05,-1.105209462849817944e-03
5.891674897900599922e-02,3.705912736267686801e-04,-2.178734565492736718e-03
8.837512346850900924e-02,8.181917310293388562e-04,-3.191563147734175279e-03
1.178334979580119984e-01,1.417125063008508982e-03,-4.119583634032939444e-03
1.472918724475150154e-01,2.142782578669060779e-03,-4.945045704711886411e-03
1.767502469370180185e-01,2.967401595078367812e-03,-5.657122128430437831e-03
2.062086214265209938e-01,3.862152329823522866e-03,-6.251637006669281439e-03
2.356669959160239969e-01,4.799009260771791227e-03,-6.730167195736568887e-03
2.651253704055269722e-01,5.752239822481870074e-03,-7.098784039003254963e-03
2.945837448950300308e-01,6.699430880869218854e-03,-7.366688964907161692e-03
3.240421193845329784e-01,7.622052702871191625e-03,-7.544936278824891478e-03
3.535004938740360370e-01,8.505618094036800428e-03,-7.645360341921365703e-03
3.829588683635389845e-01,9.339526772504378946e-03,-7.679755216019835615e-03
4.124172428530419876e-01,1.011669448073660577e-02,-7.659304301335524701e-03
4.418756173425449907e-01,1.083305911304567257e-02,-7.594227551116216300e-03
4.713339918320479938e-01,1.148703939702722804e-02,-7.493601022539636732e-03
5.007923663215509968e-01,1.207900149843626689e-02,-7.365302375650938961e-03
5.302507408110539444e-01,1.261076954650858749e-02,-7.216041332242393615e-03
5.597091153005570030e-01,1.308519984197390081e-02,-7.051442213307008988e-03
5.891674897900600616e-01,1.350582627111719322e-02,-6.876154067044932747e-03
6.186258642795630092e-01,1.387657609910062338e-02,-6.693971312432829557e-03
6.480842387690659567e-01,1.420155024222789428e-02,-6.507953770794075617e-03
6.775426132585689043e-01,1.448485953648833563e-02,-6.320539409357710942e-03
7.070009877480720739e-01,1.473050767020592927e-02,-6.133646267030000952e-03
7.364593622375750215e-01,1.494231169784026106e-02,-5.948762139614284343e-03
7.659177367270779691e-01,1.512385191924792843e-02,-5.767021932666165432e-03
7.953761112165810276e-01,1.527844405783438352e-02,-5.589273370256025129e-03
8.248344857060839752e-01,1.540912788468377405e-02,-5.416132154238547866e-03
8.542928601955870338e-01,1.551866758584055130e-02,-5.248027832634926879e-03
8.837512346850899814e-01,1.560956019059493369e-02,-5.085241650668911005e-03
9.132096091745930400e-01,1.568404924463078290e-02,-4.927937587513100959e-03
9.426679836640959875e-01,1.574414162248206905e-02,-4.776187667762029146e-03
9.721263581535989351e-01,1.579162594153744881e-02,-4.629992505506046185e-03
1.001584732643101994e+00,1.582809148355530590e-02,-4.489297906547559842e-03
1.031043107132604941e+00,1.585494686967425446e-02,-4.354008229698557407e-03
1.060501481622107889e+00,1.587343799072484657e-02,-4.223997095656917451e-03
1.089959856111611058e+00,1.588466488364691231e-02,-4.099115933330771573e-03
1.119418230601114006e+00,1.588959738178536210e-02,-3.979200768678936920e-03
1.148876605090616954e+00,1.588908946395525476e-02,-3.864077589275995237e-03
1.178334979580120123e+00,1.588389229422480786e-02,-3.753566557575541574e-03
1.207793354069622849e+00,1.587466598907541840e-02,-3.647485295768124192e-03
1.237251728559126018e+00,1.586199017694050334e-02,-3.545651423760404729e-03
1.266710103048629188e+00,1.584637343167389148e-02,-3.447884497791458246e-03
1.296168477538131913e+00,1.582826166970389276e-02,-3.354007469347285858e-03
1.325626852027635083e+00,1.580804560306767539e-02,-3.263847761288345573e-03
1.355085226517137809e+00,1.578606733908822363e-02,-3.177238039572761498e-03
1.384543601006640978e+00,1.576262621353737708e-02,-3.094016743886095298e-03
1.414001975496144148e+00,1.573798393871190734e-02,-3.014028428248163687e-03
1.443460349985646873e+00,1.571236914163821538e-02,-2.937123952737373186e-03
1.472918724475150043e+00,1.568598136109870811e-02,-2.863160559424608644e-03
1.502377098964652991e+00,1.565899456566613099e-02,-2.792001859090099958e-03
1.531835473454155938e+00,1.563156024865412080e-02,-2.723517750020399905e-03
1.561293847943659108e+00,1.560381014997273483e-02,-2.657584285914790269e-03
1.590752222433162055e+00,1.557585864938892950e-02,-2.594083506479928376e-03
1.620210596922665003e+00,1.554780487066792331e-02,-2.532903241504182515e-03
1.649668971412167950e+00,1.551973453151465031e-02,-2.473936896952659212e-03
1.679127345901671120e+00,1.549172157013524107e-02,-2.417083229808811729e-03
1.708585720391174068e+00,1.546382957557107876e-02,-2.362246116926056648e-03
1.738044094880677015e+00,1.543611304569332890e-02,-2.309334321975824601e-03
1.767502469370179963e+00,1.540861849385094864e-02,-2.258261263632969310e-03
1.796960843859682910e+00,1.538138542260525377e-02,-2.208944787381142069e-03
1.826419218349186080e+00,1.535444718072723029e-02,-2.161306942714181882e-03
1.855877592838688805e+00,1.532783171764641114e-02,-2.115273767025621816e-03
1.885335967328191975e+00,1.530156224779475466e-02,-2.070775077093890259e-03
1.914794341817695145e+00,1.527565783575554094e-02,-2.027744268766389947e-03
1.944252716307197870e+00,1.525013391178427734e-02,-1.986118125206117867e-03
1.973711090796701040e+00,1.522500272609053629e-02,-1.945836633877275805e-03
2.003169465286203987e+00,1.520027374923774328e-02,-1.906842812301260933e-03
2.032627839775706935e+00,1.517595402511617494e-02,-1.869082542503226361e-03
2.062086214265209883e+00,1.515204848215242345e-02,-1.832504413985433164e-03
2.091544588754712830e+00,1.512856020772750283e-02,-1.797059575001471506e-03
2.121002963244215778e+00,1.510549069016988398e-02,-1.762701591860602393e-03
2.150461337733719169e+00,1.508284003215908456e-02,-1.729386315960534937e-03
2.179919712223222117e+00,1.506060713891146235e-02,-1.697071758226895632e-03
2.209378086712725064e+00,1.503878988411288913e-02,-1.665717970626223862e-03
2.238836461202228012e+00,1.501738525620648947e-02,-1.635286934414620667e-03
2.268294835691730960e+00,1.499638948733141887e-02,-1.605742454784589825e-03
2.297753210181233907e+00,1.497579816693464169e-02,-1.577050061577102555e-03
2.327211584670737299e+00,1.495560634183705322e-02,-1.549176915733231630e-03
2.356669959160240246e+00,1.493580860432488187e-02,-1.522091721169353340e-03
2.386128333649743194e+00,1.491639916965148069e-02,-1.495764641770984350e-03
2.415586708139245697e+00,1.489737194417209767e-02,-1.470167223212558117e-03
2.445045082628749089e+00,1.487872058519119217e-02,-1.445272319323227632e-03
2.474503457118252037e+00,1.486043855347590238e-02,-1.421054022732023449e-03
2.503961831607754984e+00,1.484251915927820888e-02,-1.397487599538925658e-03
2.533420206097258376e+00,1.482495560261146844e-02,-1.374549427771660625e-03
2.562878580586760879e+00,1.480774100844027552e-02,-1.352216939400962452e-03
2.592336955076263827e+00,1.479086845736734580e-02,-1.330468565699726010e-03
2.621795329565767219e+00,1.477433101233401394e-02,-1.309283685743673712e-03
2.651253704055270166e+00,1.475812174179216493e-02,-1.288642577862971882e-03
2.680712078544773114e+00,1.474223373975296764e-02,-1.268526373865467519e-03
2.710170453034275617e+00,1.472666014307224235e-02,-1.248917015863011421e-03
2.739628827523779009e+00,1.471139414629096635e-02,-1.229797215542522337e-03
2.769087202013281956e+00,1.469642901431413538e-02,-1.211150415733196813e-03
2.798545576502784904e+00,1.468175809317869875e-02,-1.192960754130385380e-03
2.828003950992288296e+00,1.466737481913341079e-02,-1.175213029045371615e-03
2.857462325481790799e+00,1.465327272622852540e-02,-1.157892667058431488e-03
2.886920699971293747e+00,1.463944545259069328e-02,-1.140985692460234294e-03
2.916379074460797138e+00,1.462588674553937790e-02,-1.124478698373888169e-03
2.945837448950300086e+00,1.461259046568290018e-02,-1.108358819456703058e-03
2.975295823439803033e+00,1.459955059011783934e-02,-1.092613706087120287e-03
3.004754197929305981e+00,1.458676121484038003e-02,-1.077231499948217265e-03
3.034212572418808929e+00,1.457421655646731068e-02,-1.062200810924805077e-03
3.063670946908311876e+00,1.456191095335280031e-02,-1.047510695236346335e-03
3.093129321397815268e+00,1.454983886617757655e-02,-1.033150634732852690e-03
3.122587695887318215e+00,1.453799487807842794e-02,-1.019110517285484350e-03
3.152046070376820719e+00,1.452637369437899569e-02,-1.005380618207880015e-03
3.181504444866324111e+00,1.451497014197482630e-02,-9.919515826482428345e-04
3.210962819355827058e+00,1.450377916842094869e-02,-9.788144088959834215e-04
3.240421193845330006e+00,1.449279584076381203e-02,-9.659604325501984327e-04
3.269879568334833397e+00,1.448201534415509244e-02,-9.533813115005688272e-04
3.299337942824335901e+00,1.447143298028085411e-02,-9.410690116743176525e-04
