# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,2.820757463819106811e-18,0.000000000000000000e+00
7.364593622375749903e-03,4.541946801951555801e-05,-2.144518870455313937e-03
1.472918724475149981e-02,1.815466375303943748e-04,-4.285134047176066344e-03
2.209378086712725231e-02,4.079886224148551407e-04,-6.417963127551211400e-03
2.945837448950299961e-02,7.240933286984846439e-04,-8.539166056795758145e-03
3.682296811187875385e-02,1.128953498011901063e-03,-1.064496572014135209e-02
4.418756173425450462e-02,1.621412307225829656e-03,-1.273166784896322817e-02
5.155215535663024845e-02,2.200070464271165933e-03,-1.479568003180492183e-02
5.891674897900599922e-02,2.863294724728926779e-03,-1.683352963740533323e-02
6.628134260138174305e-02,3.609227739583051927e-03,-1.884188047617077824e-02
7.364593622375750770e-02,4.435799131774079314e-03,-2.081754804855385707e-02
8.101052984613324459e-02,5.340737688067313110e-03,-2.275751325292997562e-02
8.837512346850900924e-02,6.321584543387242204e-03,-2.465893445119301045e-02
9.573971709088474613e-02,7.375707227286185108e-03,-2.651915781679751657e-02
1.031043107132604969e-01,8.500314436669481957e-03,-2.833572591673625893e-02
1.104689043356362477e-01,9.692471395315489791e-03,-3.010638450536027091e-02
1.178334979580119984e-01,1.094911565910212936e-02,-3.182908753346924691e-02
1.251980915803877492e-01,1.226707322611935748e-02,-3.350200040022188047e-02
1.325626852027634861e-01,1.364307481293428048e-02,-3.512350149770834123e-02
1.399272788251392508e-01,1.507377216206193075e-02,-3.669218211813326386e-02
1.472918724475150154e-01,1.655575425103866793e-02,-3.820684481120605047e-02
1.546564660698907523e-01,1.808556328023586471e-02,-3.966650029433220481e-02
1.620210596922664892e-01,1.965971032450524597e-02,-4.107036303043847675e-02
1.693856533146422261e-01,2.127469054272406943e-02,-4.241784559771361041e-02
1.767502469370180185e-01,2.292699784911088681e-02,-4.370855198224593563e-02
1.841148405593937554e-01,2.461313896060613252e-02,-4.494226992859166187e-02
1.914794341817694923e-01,2.632964674546398390e-02,-4.611896248487264843e-02
