# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,-1.171420166472366466e-04,-4.162460804484662468e-04
1.472918724475149981e-02,-4.650331538111762567e-04,-8.669181878215861340e-04
2.209378086712725231e-02,-1.034768129941024233e-03,-1.383805483057097465e-03
2.945837448950299961e-02,-1.813709025263945170e-03,-1.995805817612579872e-03
3.682296811187875385e-02,-2.786280586125807965e-03,-2.728923140132863065e-03
4.418756173425450462e-02,-3.934596128471815057e-03,-3.606279331732159966e-03
5.155215535663024845e-02,-5.238913500974797660e-03,-4.648139900020975199e-03
5.891674897900599922e-02,-6.678060679865687604e-03,-5.871952904077245954e-03
6.628134260138174305e-02,-8.229750353391761253e-03,-7.292400430140830170e-03
7.364593622375750770e-02,-9.870947824977242477e-03,-8.921461891067418090e-03
8.101052984613324459e-02,-1.157803013575402565e-02,-1.076848838163570708e-02
8.837512346850900924e-02,-1.332722682906144034e-02,-1.284028728674130662e-02
9.573971709088474613e-02,-1.509464593327220806e-02,-1.514121631037016955e-02
1.031043107132604969e-01,-1.685665041636884298e-02,-1.767328607002153704e-02
1.104689043356362477e-01,-1.859000687996835086e-02,-2.043627038390103887e-02
1.178334979580119984e-01,-2.027191955088633243e-02,-2.342782336664895812e-02
1.251980915803877492e-01,-2.188036490975277942e-02,-2.664360244348710008e-02
1.325626852027634861e-01,-2.339421011487424415e-02,-3.007739639230816789e-02
1.399272788251392508e-01,-2.479322633505686921e-02,-3.372125752820828021e-02
1.472918724475150154e-01,-2.605833591573881308e-02,-3.756563715506069934e-02
1.546564660698907523e-01,-2.717152886963328587e-02,-4.159952342370428630e-02
1.620210596922664892e-01,-2.811619604758044261e-02,-4.581058075590445366e-02
1.693856533146422261e-01,-2.887693797583963315e-02,-5.018529001714942817e-02
1.767502469370180185e-01,-2.943987413984775273e-02,-5.470908864925754650e-02
1.841148405593937554e-01,-2.979249376902145391e-02,-5.936651000537220696e-02
1.914794341817694923e-01,-2.992365666064573590e-02,-6.414132116486284674e-02
1.988440278041452569e-01,-2.982401610728392660e-02,-6.901665854359083363e-02
2.062086214265209938e-01,-2.948507869431872888e-02,-7.397516065557678544e-02
2.135732150488967585e-01,-2.890065240868172625e-02,-7.899909742496107057e-02
2.209378086712724953e-01,-2.806556149577434101e-02,-8.407049549191462912e-02
2.283024022936482600e-01,-2.697621677055020428e-02,-8.917125900247695192e-02
2.356669959160239969e-01,-2.563045919871692613e-02,-9.428328541980356137e-02
2.430315895383997338e-01,-2.402740526742324842e-02,-9.938857594265133877e-02
2.503961831607754984e-01,-2.216785575287780891e-02,-1.044693401657656312e-01
2.577607767831512353e-01,-2.005370183225381464e-02,-1.095080946658256310e-01
2.651253704055269722e-01,-1.768814240723294226e-02,-1.144877552454341557e-01
2.724899640279027646e-01,-1.507563765844519704e-02,-1.193917226159879469e-01
2.798545576502785015e-01,-1.222173933444551004e-02,-1.242039613478571197e-01
2.872191512726542384e-01,-9.133097210809662872e-03,-1.289090719628473436e-01
