# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,-9.438043210000099034e-06,-2.908643335345032174e-05
1.472918724475149981e-02,-3.749496329358890207e-05,-6.085330656035120258e-05
2.209378086712725231e-02,-8.351109038814398479e-05,-9.779656919336984268e-05
2.945837448950299961e-02,-1.465394533120841327e-04,-1.422068116045949182e-04
3.682296811187875385e-02,-2.254028610455352001e-04,-1.961658984854433433e-04
4.418756173425450462e-02,-3.187359499568150913e-04,-2.615448320640701525e-04
5.155215535663024845e-02,-4.250184628202381774e-04,-3.400028181517389587e-04
5.891674897900599922e-02,-5.426080748778952046e-04,-4.329875018894565556e-04
6.628134260138174305e-02,-6.697641737057734995e-04,-5.417363340741054205e-04
7.364593622375750770e-02,-8.046706407651863045e-04,-6.672790233895458398e-04
8.101052984613324459e-02,-9.454588371731429157e-04,-8.104410247590375545e-04
8.837512346850900924e-02,-1.090230785715159143e-03,-9.718480093933078373e-04
9.573971709088474613e-02,-1.237068535212969451e-03,-1.151931257952017304e-03
1.031043107132604969e-01,-1.384060353116694630e-03,-1.350933914579664297e-03
1.104689043356362477e-01,-1.529317256813776064e-03,-1.568918036430353401e-03
1.178334979580119984e-01,-1.670971991483524450e-03,-1.805772370665683453e-03
1.251980915803877492e-01,-1.807212047902246937e-03,-2.061220788798562818e-03
1.325626852027634861e-01,-1.936284764977170723e-03,-2.334831306661565384e-03
1.399272788251392508e-01,-2.056500220992655767e-03,-2.626025617196148503e-03
1.472918724475150154e-01,-2.166256275618250095e-03,-2.934089062679974026e-03
1.546564660698907523e-01,-2.264031769296771367e-03,-3.258180972921330149e-03
1.620210596922664892e-01,-2.348409330486572223e-03,-3.597345296336844876e-03
1.693856533146422261e-01,-2.418060303408807715e-03,-3.950521451672988314e-03
1.767502469370180185e-01,-2.471791968649676621e-03,-4.316555329411912376e-03
1.841148405593937554e-01,-2.508497924331079716e-03,-4.694210373594597842e-03
1.914794341817694923e-01,-2.527201991560344436e-03,-5.082178676872928930e-03
1.988440278041452569e-01,-2.527051296319977880e-03,-5.479092024039467976e-03
2.062086214265209938e-01,-2.507304380229711128e-03,-5.883532822050028220e-03
2.135732150488967585e-01,-2.467347139484515027e-03,-6.294044857618539060e-03
2.209378086712724953e-01,-2.406697412309651875e-03,-6.709143826794175536e-03
2.283024022936482600e-01,-2.324985600666734566e-03,-7.127327584495055796e-03
2.356669959160239969e-01,-2.221967464884198450e-03,-7.547086065736750837e-03
2.430315895383997338e-01,-2.097517058118056072e-03,-7.966910834225012644e-03
2.503961831607754984e-01,-1.951625568591897975e-03,-8.385304218046115560e-03
2.577607767831512353e-01,-1.784399322078782362e-03,-8.800787996352239448e-03
2.651253704055269722e-01,-1.596051749739511817e-03,-9.211911605170862785e-03
2.724899640279027646e-01,-1.386901902280321050e-03,-9.617259834733925608e-03
2.798545576502785015e-01,-1.157366800182867399e-03,-1.001545999499394574e-02
2.872191512726542384e-01,-9.079644546657382551e-04,-1.040518853024069261e-02
2.945837448950300308e-01,-6.392908840332574456e-04,-1.078517706792476473e-02
3.019483385174057122e-01,-3.520416368355893484e-04,-1.115421789090734889e-02
3.093129321397815046e-01,-4.697150157695355641e-05,-1.151116882636241991e-02
3.166775257621572970e-01,2.750796104820951195e-04,-1.185495754843703987e-02
3.240421193845329784e-01,6.132174654184519274e-04,-1.218458529550419875e-02
3.314067130069087708e-01,9.664856907934682179e-04,-1.249913000640222489e-02
3.387713066292844521e-01,1.333885642676525428e-03,-1.279774888342882430e-02
3.461359002516602446e-01,1.714360504362443362e-03,-1.307968039302909342e-02
3.535004938740360370e-01,2.106825250322973825e-03,-1.334424571807467375e-02
3.608650874964117183e-01,2.510172136428998058e-03,-1.359084967836293907e-02
3.682296811187875107e-01,2.923250766392443932e-03,-1.381898113846341362e-02
3.755942747411632476e-01,3.344913743109001990e-03,-1.402821292429591582e-02
3.829588683635389845e-01,3.773987238248105187e-03,-1.421820127183754529e-02
3.903234619859147769e-01,4.209302881398049867e-03,-1.438868483312042389e-02
3.976880556082905138e-01,4.649687487376222284e-03,-1.453948326619905647e-02
4.050526492306662507e-01,5.093975804242594115e-03,-1.467049543703661044e-02
4.124172428530419876e-01,5.541016463948934129e-03,-1.478169726228540162e-02
4.197818364754177800e-01,5.989672760822825452e-03,-1.487313922272504550e-02
4.271464300977935169e-01,6.438834582159643459e-03,-1.494494357767631003e-02
4.345110237201692538e-01,6.887413511225430260e-03,-1.499730131103884506e-02
4.418756173425449907e-01,7.334351184933316295e-03,-1.503046883971446979e-02
4.492402109649207276e-01,7.778628443755520282e-03,-1.504476451508591703e-02
4.566048045872965200e-01,8.219257931402513054e-03,-1.504056494793352093e-02
4.639693982096722014e-01,8.655295450595040796e-03,-1.501830118670247939e-02
4.713339918320479938e-01,9.085841593294816804e-03,-1.497845477839298070e-02
4.786985854544237862e-01,9.510040449536474871e-03,-1.492155374054816505e-02
4.860631790767994675e-01,9.927088597819405669e-03,-1.484816847187452396e-02
4.934277726991752600e-01,1.033622202405778262e-02,-1.475890762795975010e-02
5.007923663215509968e-01,1.073673852059776890e-02,-1.465441398736855479e-02
5.081569599439267337e-01,1.112798371856969087e-02,-1.453536033211220990e-02
5.155215535663024706e-01,1.150935145360448310e-02,-1.440244536511628599e-02
5.228861471886782075e-01,1.188030014609449923e-02,-1.425638968586860449e-02
5.302507408110539444e-01,1.224032727934985451e-02,-1.409793184392761287e-02
5.376153344334297923e-01,1.258899553068120944e-02,-1.392782448842691534e-02
5.449799280558055292e-01,1.292591533922923634e-02,-1.374683063013397433e-02
5.523445216781812661e-01,1.325074573779297556e-02,-1.355572003102667802e-02
5.597091153005570030e-01,1.356320575058480617e-02,-1.335526573474862116e-02
5.670737089229327399e-01,1.386305303283211394e-02,-1.314624074970768830e-02
5.744383025453084768e-01,1.415010817100732093e-02,-1.292941489500066231e-02
5.818028961676843247e-01,1.442423005730731136e-02,-1.270555181779077156e-02
5.891674897900600616e-01,1.468533487588649482e-02,-1.247540618924445656e-02
5.965320834124357985e-01,1.493334368815282982e-02,-1.223972108465527439e-02
6.038966770348114244e-01,1.516827653038456403e-02,-1.199922555195646195e-02
6.112612706571872723e-01,1.539016983741212444e-02,-1.175463237145405078e-02
6.186258642795630092e-01,1.559908317886862794e-02,-1.150663600830697034e-02
6.259904579019387461e-01,1.579512419959484826e-02,-1.125591075804321418e-02
6.333550515243145940e-01,1.597845273572327807e-02,-1.100310908423739534e-02
6.407196451466902198e-01,1.614922914381728900e-02,-1.074886014638746015e-02
6.480842387690659567e-01,1.630765628516215107e-02,-1.049376851501975655e-02
6.554488323914418046e-01,1.645397790653004011e-02,-1.023841307012499438e-02
6.628134260138175415e-01,1.658844755312825422e-02,-9.983346078182533945e-03
6.701780196361932784e-01,1.671133836322557381e-02,-9.729092442269321808e-03
6.775426132585689043e-01,1.682295514995540975e-02,-9.476149119070582938e-03
6.849072068809447522e-01,1.692362006832858964e-02,-9.224984696013811131e-03
6.922718005033204891e-01,1.701366818248821119e-02,-8.976039121231493487e-03
6.996363941256962260e-01,1.709344005442816478e-02,-8.729723578622798977e-03
7.070009877480720739e-01,1.716330433176911294e-02,-8.486420499925335231e-03
7.143655813704476998e-01,1.722362676380615257e-02,-8.246483705423728744e-03
7.217301749928234367e-01,1.727479744771781567e-02,-8.010238664709255774e-03
7.290947686151992846e-01,1.731718731739934070e-02,-7.777982868759950388e-03
7.364593622375750215e-01,1.735119101663485167e-02,-7.549986304530993154e-03
7.438239558599507584e-01,1.737721173691718010e-02,-7.326492023225663133e-03
7.511885494823264953e-01,1.739562900658422895e-02,-7.107716793455096799e-03
7.585531431047022322e-01,1.740684613286994087e-02,-6.893851830585487860e-03
7.659177367270779691e-01,1.741124725801238352e-02,-6.685063593710116429e-03
7.732823303494538170e-01,1.740923199291507031e-02,-6.481494641866414157e-03
7.806469239718295539e-01,1.740116747962346805e-02,-6.283264541341695639e-03
7.880115175942051797e-01,1.738745168820005765e-02,-6.090470816168916043e-03
7.953761112165810276e-01,1.736844601919551936e-02,-5.903189934203988132e-03
8.027407048389567645e-01,1.734452454656977560e-02,-5.721478321493312334e-03
8.101052984613325014e-01,1.731602861181801012e-02,-5.545373397979358812e-03
8.174698920837083493e-01,1.728332036885876430e-02,-5.374894627952198772e-03
8.248344857060839752e-01,1.724673420809192878e-02,-5.210044579028725621e-03
8.321990793284597121e-01,1.720660303144551720e-02,-5.050809983827697983e-03
8.395636729508355600e-01,1.716323356192173827e-02,-4.897162798903349767e-03
8.469282665732112969e-01,1.711694060861211619e-02,-4.749061255899479292e-03
8.542928601955870338e-01,1.706801792232101600e-02,-4.606450900287659307e-03
8.616574538179626597e-01,1.701674669104526541e-02,-4.469265613453821638e-03
8.690220474403385076e-01,1.696339541626685349e-02,-4.337428614294371390e-03
8.763866410627142445e-01,1.690822736723979897e-02,-4.210853436874668031e-03
8.837512346850899814e-01,1.685148961237549134e-02,-4.089444881085584071e-03
8.911158283074658293e-01,1.679341159222965535e-02,-3.973099933607459472e-03
8.984804219298414552e-01,1.673422344700635500e-02,-3.861708656852321387e-03
9.058450155522171920e-01,1.667413596954060023e-02,-3.755155043903573523e-03
9.132096091745930400e-01,1.661333806956902248e-02,-3.653317837806479684e-03
9.205742027969687769e-01,1.655201887814955475e-02,-3.556071313881030167e-03
9.279387964193444027e-01,1.649035801908063995e-02,-3.463286024030736918e-03
9.353033900417202506e-01,1.642851682532113500e-02,-3.374829502305717616e-03
9.426679836640959875e-01,1.636665038538883885e-02,-3.290566931245430572e-03
9.500325772864717244e-01,1.630488655510644452e-02,-3.210361768775454438e-03
9.573971709088475723e-01,1.624337185538968220e-02,-3.134076335663514741e-03
9.647617645312233092e-01,1.618222507745342015e-02,-3.061572363752415159e-03
9.721263581535989351e-01,1.612154740697045729e-02,-2.992711505381764111e-03
9.794909517759747830e-01,1.606144796866861013e-02,-2.927355804586649450e-03
9.868555453983505199e-01,1.600201775880005090e-02,-2.865368130819980798e-03
9.942201390207262568e-01,1.594333104934409981e-02,-2.806612576086338351e-03
1.001584732643101994e+00,1.588547513407473008e-02,-2.750954816499830320e-03
1.008949326265477842e+00,1.582850999094254779e-02,-2.698262439386497989e-03
1.016313919887853467e+00,1.577249912887342120e-02,-2.648405237144664959e-03
1.023678513510229315e+00,1.571749587991078806e-02,-2.601255469154332371e-03
1.031043107132604941e+00,1.566353951421880358e-02,-2.556688093090511531e-03
1.038407700754980789e+00,1.561066733881136259e-02,-2.514580967045698060e-03
1.045772294377356415e+00,1.555891995601894721e-02,-2.474815023904566261e-03
1.053136887999732263e+00,1.550832679005598527e-02,-2.437274419440058331e-03
1.060501481622107889e+00,1.545889954328365408e-02,-2.401846655615372771e-03
1.067866075244483737e+00,1.541065888203551823e-02,-2.368422680581528869e-03
1.075230668866859585e+00,1.536362020321004052e-02,-2.336896966856301817e-03
1.082595262489235211e+00,1.531778794899646932e-02,-2.307167569157962238e-03
1.089959856111611058e+00,1.527317014263911144e-02,-2.279136163347449031e-03
1.097324449733986684e+00,1.522976378559797762e-02,-2.252708067905963372e-03
1.104689043356362532e+00,1.518756663419403886e-02,-2.227792249342351160e-03
1.112053636978738158e+00,1.514657456824798458e-02,-2.204301312886902675e-03
1.119418230601114006e+00,1.510677655870682444e-02,-2.182151479785670624e-03
1.126782824223489854e+00,1.506816487169330109e-02,-2.161262552463348238e-03
1.134147417845865480e+00,1.503072268322079054e-02,-2.141557868773182396e-03
1.141512011468241328e+00,1.499444127222700728e-02,-2.122964246500462157e-03
1.148876605090616954e+00,1.495929120488822053e-02,-2.105411919231984976e-03
1.156241198712992801e+00,1.492526271987149912e-02,-2.088834464648379151e-03
1.163605792335368649e+00,1.489233600928186081e-02,-2.073168726239547031e-03
1.170970385957744275e+00,1.486048561653339865e-02,-2.058354729386400322e-03
1.178334979580120123e+00,1.482968814982098781e-02,-2.044335592694717946e-03
1.185699573202495749e+00,1.479992618212497453e-02,-2.031057435409966503e-03
1.193064166824871597e+00,1.477117686170425180e-02,-2.018469281685413008e-03
1.200428760447247445e+00,1.474340645222298359e-02,-2.006522962420266044e-03
1.207793354069622849e+00,1.471659812510331053e-02,-1.995173015330111571e-03
1.215157947691998697e+00,1.469072215234633327e-02,-1.984376583858861801e-03
1.222522541314374545e+00,1.466575681970162803e-02,-1.974093315489863516e-03
1.229887134936750170e+00,1.464167492393971155e-02,-1.964285259964119752e-03
1.237251728559126018e+00,1.461844899884177061e-02,-1.954916767865683917e-03
1.244616322181501866e+00,1.459605625910216989e-02,-1.945954389988419986e-03
1.251980915803877492e+00,1.457447017329746401e-02,-1.937366777854603039e-03
1.259345509426253340e+00,1.455366523181196234e-02,-1.929124585714199740e-03
1.266710103048629188e+00,1.453361875918136002e-02,-1.921200374314340886e-03
1.274074696671004592e+00,1.451430294322133413e-02,-1.913568516691311304e-03
1.281439290293380440e+00,1.449569706513468767e-02,-1.906205106202551319e-03
1.288803883915756288e+00,1.447777579633472735e-02,-1.899087866983455988e-03
1.296168477538131913e+00,1.446048196002430383e-02,-1.892196066983384186e-03
1.303533071160507761e+00,1.444393724230195498e-02,-1.885510433706997363e-03
1.310897664782883609e+00,1.442788358662400183e-02,-1.879013072760977706e-03
1.318262258405259235e+00,1.441246612157865911e-02,-1.872687389282117875e-03
1.325626852027635083e+00,1.439762838747909134e-02,-1.866518012300787729e-03
1.332991445650010709e+00,1.438333995014962757e-02,-1.860490722073678644e-03
1.340356039272386557e+00,1.436958556501788907e-02,-1.854592380401604273e-03
1.347720632894762405e+00,1.435634035398258672e-02,-1.848810863931633474e-03
1.355085226517137809e+00,1.434359871531973307e-02,-1.843135000428203999e-03
1.362449820139513657e+00,1.433132322313384992e-02,-1.837554507984718883e-03
1.369814413761889504e+00,1.431949439447938351e-02,-1.832059937135598103e-03
1.377179007384265130e+00,1.430811345520600908e-02,-1.826642615818613183e-03
1.384543601006640978e+00,1.429717082266848162e-02,-1.821294597128505057e-03
1.391908194629016826e+00,1.428661014448683042e-02,-1.816008609795459168e-03
1.399272788251392452e+00,1.427645550691933329e-02,-1.810778011315520002e-03
1.406637381873768300e+00,1.426668594598483851e-02,-1.805596743654841940e-03
1.414001975496144148e+00,1.425725520731732122e-02,-1.800459291445353225e-03
1.421366569118519552e+00,1.424819435622786019e-02,-1.795360642586034047e-03
1.428731162740895400e+00,1.423944754382224474e-02,-1.790296251161480100e-03
1.436095756363271247e+00,1.423104104438809372e-02,-1.785262002587671096e-03
1.443460349985646873e+00,1.422292268739442679e-02,-1.780254180893744206e-03
1.450824943608022721e+00,1.421511667883380153e-02,-1.775269438048125660e-03
1.458189537230398569e+00,1.420758670741625526e-02,-1.770304765237445130e-03
1.465554130852774195e+00,1.420033492672265196e-02,-1.765357466007258340e-03
1.472918724475150043e+00,1.419335336748084146e-02,-1.760425131174576116e-03
1.480283318097525891e+00,1.418661386566241571e-02,-1.755505615423614716e-03
1.487647911719901517e+00,1.418012197650369254e-02,-1.750597015497873605e-03
1.495012505342277143e+00,1.417386437296750713e-02,-1.745697649903659148e-03
1.502377098964652991e+00,1.416783763763238002e-02,-1.740806040042394221e-03
1.509741692587028616e+00,1.416201934348601532e-02,-1.735920892691465624e-03
1.517106286209404464e+00,1.415641314735456395e-02,-1.731041083755972213e-03
1.524470879831780312e+00,1.415100437904577915e-02,-1.726165643216430847e-03
1.531835473454155938e+00,1.414578440171426407e-02,-1.721293741200281315e-03
1.539200067076531786e+00,1.414075460626267045e-02,-1.716424675107963271e-03
1.546564660698907634e+00,1.413589956005527337e-02,-1.711557857727155196e-03
1.553929254321283260e+00,1.413121239270884698e-02,-1.706692806271806152e-03
1.561293847943659108e+00,1.412669531629360924e-02,-1.701829132285424774e-03
1.568658441566034956e+00,1.412233075796036873e-02,-1.696966532351066063e-03
1.576023035188410359e+00,1.411811968371397795e-02,-1.692104779553319513e-03
1.583387628810786207e+00,1.411405960980516121e-02,-1.687243715640412327e-03
1.590752222433162055e+00,1.411013008152294836e-02,-1.682383243837366283e-03
1.598116816055537681e+00,1.410634977083072457e-02,-1.677523322263804175e-03
1.605481409677913529e+00,1.410269166797484611e-02,-1.672663957912673459e-03
1.612846003300289377e+00,1.409916002808419416e-02,-1.667805201148684366e-03
1.620210596922665003e+00,1.409574939606490600e-02,-1.662947140687740443e-03
1.627575190545040851e+00,1.409245370805571607e-02,-1.658089899020994762e-03
1.634939784167416699e+00,1.408927293502201285e-02,-1.653233628249462265e-03
1.642304377789792103e+00,1.408619898736878512e-02,-1.648378506297290590e-03
1.649668971412167950e+00,1.408322820988438563e-02,-1.643524733473885301e-03
1.657033565034543798e+00,1.408035780309220553e-02,-1.638672529357060662e-03
1.664398158656919424e+00,1.407758392497230476e-02,-1.633822129971300701e-03
1.671762752279295272e+00,1.407490420254164584e-02,-1.628973785236988853e-03
1.679127345901671120e+00,1.407231088553986126e-02,-1.624127756668178151e-03
1.686491939524046746e+00,1.406980672965320832e-02,-1.619284315298065782e-03
1.693856533146422594e+00,1.406738584194269955e-02,-1.614443739812888162e-03
1.701221126768798220e+00,1.406504544450264821e-02,-1.609606314876320518e-03
1.708585720391174068e+00,1.406278219280923496e-02,-1.604772329627875095e-03
1.715950314013549693e+00,1.406059181044362789e-02,-1.599942076340003360e-03
1.723314907635925319e+00,1.405847589157217803e-02,-1.595115849219808438e-03
1.730679501258301167e+00,1.405642356402931475e-02,-1.590293943342375354e-03
1.738044094880677015e+00,1.405444612287531925e-02,-1.585476653703763372e-03
1.745408688503052641e+00,1.405253062770795390e-02,-1.580664274382661411e-03
1.752773282125428489e+00,1.405067803140467447e-02,-1.575857097800600253e-03
1.760137875747804337e+00,1.404888179347186031e-02,-1.571055414071464854e-03
1.767502469370179963e+00,1.404714822568323834e-02,-1.566259510431798141e-03
1.774867062992555811e+00,1.404547706876905361e-02,-1.561469670744141660e-03
1.782231656614931659e+00,1.404384089223429527e-02,-1.556686175066286605e-03
1.789596250237307062e+00,1.404227000332794982e-02,-1.551909299279944114e-03
1.796960843859682910e+00,1.404074594303109970e-02,-1.547139314772912706e-03
1.804325437482058758e+00,1.403927618922495672e-02,-1.542376488169338970e-03
1.811690031104434384e+00,1.403785047799571348e-02,-1.537621081103147935e-03
1.819054624726810232e+00,1.403646428512790589e-02,-1.532873350030170782e-03
1.826419218349186080e+00,1.403513061489324726e-02,-1.528133546074908694e-03
1.833783811971561706e+00,1.403383323449651672e-02,-1.523401914908230521e-03
1.841148405593937554e+00,1.403257816596243518e-02,-1.518678696652676387e-03
1.848512999216313402e+00,1.403136543550567022e-02,-1.513964125812305040e-03
1.855877592838688805e+00,1.403018442248388578e-02,-1.509258431224385494e-03
1.863242186461064653e+00,1.402904907341044789e-02,-1.504561836030408276e-03
1.870606780083440501e+00,1.402793945986575107e-02,-1.499874557664212333e-03
1.877971373705816127e+00,1.402686916800929655e-02,-1.495196807855187328e-03
1.885335967328191975e+00,1.402582904491032553e-02,-1.490528792644745708e-03
1.892700560950567823e+00,1.402482611432920821e-02,-1.485870712414418286e-03
1.900065154572943449e+00,1.402385156654013809e-02,-1.481222761924109229e-03
1.907429748195319297e+00,1.402290275475039441e-02,-1.476585130359181226e-03
1.914794341817695145e+00,1.402198981272476108e-02,-1.471958001385198804e-03
1.922158935440070771e+00,1.402110058964513468e-02,-1.467341553209249722e-03
1.929523529062446618e+00,1.402023815141237653e-02,-1.462735958646916353e-03
1.936888122684822244e+00,1.401940071090773156e-02,-1.458141385194026887e-03
1.944252716307197870e+00,1.401859063264331191e-02,-1.453557995102459270e-03
1.951617309929573718e+00,1.401780538404232522e-02,-1.448985945459279733e-03
1.958981903551949566e+00,1.401703948678006961e-02,-1.444425388268669218e-03
1.966346497174325192e+00,1.401629927486173523e-02,-1.439876470536055738e-03
1.973711090796701040e+00,1.401558262159504492e-02,-1.435339334354013546e-03
1.981075684419076888e+00,1.401488213641091142e-02,-1.430814116989502158e-03
1.988440278041452514e+00,1.401420443120796923e-02,-1.426300950972056664e-03
1.995804871663828362e+00,1.401354796547009916e-02,-1.421799964182642430e-03
2.003169465286203987e+00,1.401290811453510463e-02,-1.417311279942845906e-03
2.010534058908579613e+00,1.401228576187208731e-02,-1.412835017104177972e-03
2.017898652530955683e+00,1.401168304049512509e-02,-1.408371290137263449e-03
2.025263246153331309e+00,1.401109815327263378e-02,-1.403920209220711627e-03
2.032627839775706935e+00,1.401052560847246449e-02,-1.399481880329520164e-03
2.039992433398083005e+00,1.400997367582114753e-02,-1.395056405322857296e-03
2.047357027020458631e+00,1.400943364416395304e-02,-1.390643882031090094e-03
2.054721620642834257e+00,1.400890972977859340e-02,-1.386244404341972032e-03
2.062086214265209883e+00,1.400839955943253452e-02,-1.381858062285875157e-03
2.069450807887585952e+00,1.400790471490264040e-02,-1.377484942120002455e-03
2.076815401509961578e+00,1.400741826610682299e-02,-1.373125126411524257e-03
2.084179995132337204e+00,1.400695209018397273e-02,-1.368778694119548479e-03
2.091544588754712830e+00,1.400649257329796178e-02,-1.364445720675930111e-03
2.098909182377088900e+00,1.400604531353800281e-02,-1.360126278064838429e-03
2.106273775999464526e+00,1.400560889911682538e-02,-1.355820434901085182e-03
2.113638369621840152e+00,1.400518739311110671e-02,-1.351528256507168865e-03
2.121002963244215778e+00,1.400477375669884929e-02,-1.347249804989037684e-03
2.128367556866591848e+00,1.400437105542127157e-02,-1.342985139310548439e-03
2.135732150488967473e+00,1.400397718037137314e-02,-1.338734315366612009e-03
2.143096744111343099e+00,1.400359497596448226e-02,-1.334497386055038658e-03
2.150461337733719169e+00,1.400321952101122279e-02,-1.330274401347065821e-03
2.157825931356094795e+00,1.400285337948193286e-02,-1.326065408356578122e-03
2.165190524978470421e+00,1.400249636210797871e-02,-1.321870451408038065e-03
2.172555118600846491e+00,1.400214766520296687e-02,-1.317689572103106568e-03
2.179919712223222117e+00,1.400180654383273958e-02,-1.313522809386001057e-03
2.187284305845597743e+00,1.400147347133805578e-02,-1.309370199607570295e-03
2.194648899467973369e+00,1.400114471549727437e-02,-1.305231776588114791e-03
2.202013493090348994e+00,1.400082406888849239e-02,-1.301107571678966233e-03
2.209378086712725064e+00,1.400051403294940398e-02,-1.296997613822840250e-03
2.216742680335100690e+00,1.400020752569512694e-02,-1.292901929612975953e-03
2.224107273957476316e+00,1.399990751191123456e-02,-1.288820543351078957e-03
2.231471867579852386e+00,1.399960882215017972e-02,-1.284753477104094753e-03
2.238836461202228012e+00,1.399932229649432022e-02,-1.280700750759808122e-03
2.246201054824603638e+00,1.399904060191995391e-02,-1.276662382081320598e-03
2.253565648446979708e+00,1.399876302585017183e-02,-1.272638386760385418e-03
2.260930242069355334e+00,1.399848625384772158e-02,-1.268628778469651098e-03
2.268294835691730960e+00,1.399822130204299818e-02,-1.264633568913811927e-03
2.275659429314106585e+00,1.399795817273075116e-02,-1.260652767879693334e-03
2.283024022936482655e+00,1.399769552046227147e-02,-1.256686383285285586e-03
2.290388616558858281e+00,1.399744205160937706e-02,-1.252734421227753771e-03
2.297753210181233907e+00,1.399719465792781913e-02,-1.248796886030427130e-03
2.305117803803609977e+00,1.399694721830672083e-02,-1.244873780288795889e-03
2.312482397425985603e+00,1.399670356337658073e-02,-1.240965104915545125e-03
2.319846991048361229e+00,1.399646360379644232e-02,-1.237070859184610881e-03
2.327211584670737299e+00,1.399622875033585713e-02,-1.233191040774314065e-03
2.334576178293112481e+00,1.399599332956311809e-02,-1.229325645809564325e-03
2.341940771915488551e+00,1.399576375950141623e-02,-1.225474668903163812e-03
2.349305365537864176e+00,1.399553912660344603e-02,-1.221638103196216263e-03
2.356669959160240246e+00,1.399531165966082583e-02,-1.217815940397680647e-03
2.364034552782615428e+00,1.399509144340377841e-02,-1.214008170823055498e-03
2.371399146404991498e+00,1.399487408750621151e-02,-1.210214783432237307e-03
2.378763740027367124e+00,1.399465431348482190e-02,-1.206435765866558383e-03
2.386128333649743194e+00,1.399443986566027871e-02,-1.202671104485012864e-03
2.393492927272118820e+00,1.399422866829727781e-02,-1.198920784399704715e-03
2.400857520894494890e+00,1.399402033077751933e-02,-1.195184789510516819e-03
2.408222114516870072e+00,1.399381221610591225e-02,-1.191463102539023090e-03
2.415586708139245697e+00,1.399360452701582311e-02,-1.187755705061660505e-03
2.422951301761621767e+00,1.399339952998618353e-02,-1.184062577542173422e-03
2.430315895383997393e+00,1.399319767819687949e-02,-1.180383699363343622e-03
2.437680489006373463e+00,1.399299669227744777e-02,-1.176719048858022344e-03
2.445045082628749089e+00,1.399279549708294830e-02,-1.173068603339478405e-03
2.452409676251124715e+00,1.399259688068769936e-02,-1.169432339131075633e-03
2.459774269873500341e+00,1.399239827904770472e-02,-1.165810231595291102e-03
2.467138863495876411e+00,1.399220315585832965e-02,-1.162202255162092177e-03
2.474503457118252037e+00,1.399201103172516801e-02,-1.158608383356682543e-03
2.481868050740628107e+00,1.399181368736758697e-02,-1.155028588826627215e-03
2.489232644363003732e+00,1.399162060937728796e-02,-1.151462843368377103e-03
2.496597237985378914e+00,1.399142921139619362e-02,-1.147911117953195979e-03
2.503961831607754984e+00,1.399123720255907553e-02,-1.144373382752506517e-03
2.511326425230130610e+00,1.399104665072878860e-02,-1.140849607162675375e-03
2.518691018852506680e+00,1.399085685940753415e-02,-1.137339759829227546e-03
2.526055612474882306e+00,1.399066853866680338e-02,-1.133843808670527507e-03
