# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-3.029323365624686694e-06,-2.640727286007409061e-06
3.682296811187874951e-03,-6.058646731313258306e-06,-5.281454572014818123e-06
5.523445216781813077e-03,-9.087970096979901930e-06,-7.922181858022228878e-06
7.364593622375749903e-03,-1.211729346264664889e-05,-1.056290914402963625e-05
9.205742027969688462e-03,-1.514661682834113449e-05,-1.320363643003705039e-05
1.104689043356362615e-02,-1.817594019397432539e-05,-1.584436371604445776e-05
1.288803883915756211e-02,-2.246335563192765230e-05,-1.887607010256753978e-05
1.472918724475149981e-02,-2.870665747798869811e-05,-2.251561014880871234e-05
1.657033565034543576e-02,-3.494995932402637258e-05,-2.615515019504986797e-05
1.841148405593937692e-02,-4.119326117001165298e-05,-2.979469024129103715e-05
2.025263246153331115e-02,-4.743656301605648996e-05,-3.343423028753218600e-05
2.209378086712725231e-02,-5.367986486214577246e-05,-3.707377033377334840e-05
2.393492927272118653e-02,-5.992316670816034665e-05,-4.071331038001450403e-05
2.577607767831512423e-02,-6.721595838096623427e-05,-4.547280933268874514e-05
2.761722608390906192e-02,-7.479979713724487053e-05,-5.054289802616885392e-05
2.945837448950299961e-02,-8.238363589347779412e-05,-5.561298671964896948e-05
3.129952289509693730e-02,-8.996747464967374641e-05,-6.068307541312903760e-05
3.314067130069087153e-02,-9.755131340594820849e-05,-6.575316410660913961e-05
3.498181970628481269e-02,-1.051351521621957959e-04,-7.082325280008924839e-05
3.682296811187875385e-02,-1.131087193669810651e-04,-7.608903414719679853e-05
3.866411651747268807e-02,-1.229281174792588101e-04,-8.228165455305302858e-05
4.050526492306662230e-02,-1.327475155915173240e-04,-8.847427495890924508e-05
4.234641332866055652e-02,-1.425669137038157908e-04,-9.466689536476544803e-05
4.418756173425450462e-02,-1.523863118160942540e-04,-1.008595157706217458e-04
4.602871013984843884e-02,-1.622057099283710367e-04,-1.070521361764779623e-04
4.786985854544237307e-02,-1.720251080406323425e-04,-1.132447565823341653e-04
4.971100695103631423e-02,-1.834529032315831325e-04,-1.200732608949367313e-04
5.155215535663024845e-02,-1.961151206194330769e-04,-1.273897971864345637e-04
5.339330376222418961e-02,-2.087773380072796060e-04,-1.347063334779323961e-04
5.523445216781812384e-02,-2.214395553951689340e-04,-1.420228697694302556e-04
5.707560057341206500e-02,-2.341017727830549280e-04,-1.493394060609281964e-04
5.891674897900599922e-02,-2.467639901709198615e-04,-1.566559423524259745e-04
