# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,-8.238363589347779412e-05,-5.561298671964896948e-05
5.891674897900599922e-02,-2.467639901709198615e-04,-1.566559423524259745e-04
8.837512346850900924e-02,-4.809708407293244808e-04,-2.934906872222237183e-04
1.178334979580119984e-01,-7.869610500448775059e-04,-4.821652938622234029e-04
1.472918724475150154e-01,-1.129224134620105714e-03,-7.102027922434869063e-04
1.767502469370180185e-01,-1.523184917697702244e-03,-9.689773629180990994e-04
2.062086214265209938e-01,-1.973146799034528921e-03,-1.261352361204865586e-03
2.356669959160239969e-01,-2.457983819207396753e-03,-1.606313834456762424e-03
2.651253704055269722e-01,-2.988011303033573547e-03,-1.986131507507862912e-03
2.945837448950300308e-01,-3.553644597890751131e-03,-2.398104366413372161e-03
3.240421193845329784e-01,-4.162567530328359182e-03,-2.843676674283417572e-03
3.535004938740360370e-01,-4.822145451737205706e-03,-3.332612156638465641e-03
3.829588683635389845e-01,-5.523782803710415579e-03,-3.864430197963834423e-03
4.124172428530419876e-01,-6.274504907640122107e-03,-4.443945137666835757e-03
4.418756173425449907e-01,-7.105269785535616583e-03,-5.122891150808038009e-03
4.713339918320479938e-01,-7.864974910142633405e-03,-5.894444780820428699e-03
5.007923663215509968e-01,-8.658901823458697161e-03,-6.632721501952454704e-03
5.302507408110539444e-01,-9.507777747968822538e-03,-7.403666893422607316e-03
5.597091153005570030e-01,-1.041632727391463703e-02,-8.210617554332970067e-03
5.891674897900600616e-01,-1.143293752940695816e-02,-9.093242547522363897e-03
6.186258642795630092e-01,-1.255245538214153599e-02,-1.011556666408115757e-02
6.480842387690659567e-01,-1.367992987370117604e-02,-1.122520185450941177e-02
6.775426132585689043e-01,-1.490601968898439163e-02,-1.261500934530835477e-02
7.070009877480720739e-01,-1.602287206076148662e-02,-1.408911819200416721e-02
7.364593622375750215e-01,-1.714828537171026596e-02,-1.575525831144071118e-02
7.659177367270779691e-01,-1.815195544484070334e-02,-1.757829300995196811e-02
7.953761112165810276e-01,-1.906754583898187527e-02,-1.945347378938944161e-02
8.248344857060839752e-01,-1.992396914716142858e-02,-2.145119233930510572e-02
8.542928601955870338e-01,-2.062528414226178289e-02,-2.358818713973824185e-02
8.837512346850899814e-01,-2.126573509903625578e-02,-2.571028709689266584e-02
9.132096091745930400e-01,-2.179138001819413278e-02,-2.799913176078937249e-02
9.426679836640959875e-01,-2.220571262805283788e-02,-3.024813862129124148e-02
9.721263581535989351e-01,-2.255095244911646535e-02,-3.253206377689248779e-02
1.001584732643101994e+00,-2.276602434517046095e-02,-3.491335963760064387e-02
