# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000,0.000000000000000000,0.000000000000000000
0.001841148405593937,0.000004143287071581,-0.002048185224457886
0.003682296811187875,0.000016573038973304,-0.004096336396061374
0.005523445216781813,0.000037288927767862,-0.006144419463654523
0.007364593622375750,0.000066290406917717,-0.008192400379478128
0.009205742027969688,0.000103576711309698,-0.010240245100867669
0.011046890433563626,0.000149146857304874,-0.012287919591950726
0.012888038839157562,0.000202999642789650,-0.014335389825343731
0.014729187244751500,0.000265133647248490,-0.016382621783847865
0.016570335650345436,0.000335547231839951,-0.018429581462143893
0.018411484055939377,0.000414238539494696,-0.020476234868485852
0.020252632461533311,0.000501205495017508,-0.022522548026393308
0.022093780867127252,0.000596445805207972,-0.024568486976342164
0.023934929272721187,0.000699956958988655,-0.026614017777453654
0.025776077678315124,0.000811736227550549,-0.028659106509181555
0.027617226083909062,0.000931780664504965,-0.030703719272997303
0.029458374489503000,0.001060087106054439,-0.032747822194072872
0.031299522895096937,0.001196652171170790,-0.034791381422961308
0.033140671300690872,0.001341472261786075,-0.036834363137274687
0.034981819706284813,0.001494543563000817,-0.038876733543359437
0.036822968111878754,0.001655862043296415,-0.040918458877968557
0.038664116517472688,0.001825423454767608,-0.042959505409931036
0.040505264923066622,0.002003223333360349,-0.044999839441817853
0.042346413328660557,0.002189256999129031,-0.047039427311604758
0.044187561734254505,0.002383519556498606,-0.049078235394331350
0.046028710139848439,0.002586005894544648,-0.051116230103756446
0.047869858545442373,0.002796710687281637,-0.053153377894009778
0.049711006951036314,0.003015628393966394,-0.055189645261239331
0.051552155356630248,0.003242753259410071,-0.057224998745254732
0.053393303762224190,0.003478079314305665,-0.059259404931166104
0.055234452167818124,0.003721600375566507,-0.061292830451018444
0.057075600573412065,0.003973310046675404,-0.063325241985421485
0.058916748979005999,0.004233201718045622,-0.065356606265174186
0.060757897384599933,0.004501268567396890,-0.067386890072884995
0.062599045790193875,0.004777503560139573,-0.069416060244586242
0.064440194195787809,0.005061899449772477,-0.071444083671343472
0.066281342601381743,0.005354448778292479,-0.073470927300859426
0.068122491006975691,0.005655143876615354,-0.075496558139072259
0.069963639412569625,0.005963976865008432,-0.077520943251747826
0.071804787818163560,0.006280939653535310,-0.079544049766066327
0.073645936223757508,0.006606023942511521,-0.081565844872202600
0.075487084629351428,0.006939221222972810,-0.083586295824900292
0.077328233034945376,0.007280522777152409,-0.085605369945039603
0.079169381440539324,0.007629919678974422,-0.087623034621198442
0.081010529846133245,0.007987402794553978,-0.089639257311206991
0.082851678251727193,0.008352962782710980,-0.091654005543695211
0.084692826657321113,0.008726590095494514,-0.093667246919633684
0.086533975062915061,0.009108274978719983,-0.095678949113867068
0.088375123468509009,0.009498007472515640,-0.097689079876640189
0.090216271874102930,0.009895777411881183,-0.099697607035117070
0.092057420279696878,0.010301574427256608,-0.101704498494892159
0.093898568685290812,0.010715387945104347,-0.103709722241493676
0.095739717090884746,0.011137207188498529,-0.105713246341879757
0.097580865496478694,0.011567021177730308,-0.107715038945925587
0.099422013902072628,0.012004818730920146,-0.109715068287903561
0.101263162307666563,0.012450588464641270,-0.111713302687954416
0.103104310713260497,0.012904318794555518,-0.113709710553550253
0.104945459118854445,0.013365997936059616,-0.115704260380948928
0.106786607524448379,0.013835613904940919,-0.117696920756639914
0.108627755930042313,0.014313154518045148,-0.119687660358781464
0.110468904335636248,0.014798607393952163,-0.121676447958628642
0.112310052741230182,0.015291959953666201,-0.123663252421952405
0.114151201146824130,0.015793199421313995,-0.125648042710449631
0.115992349552418050,0.016302312824851038,-0.127630787883143637
0.117833497958011998,0.016819286996783929,-0.129611457097775884
0.119674646363605947,0.017344108574897592,-0.131590019612187054
0.121515794769199867,0.017876764002994532,-0.133566444785689742
0.123356943174793815,0.018417239531645566,-0.135540702080430508
0.125198091580387749,0.018965521218946558,-0.137512761062742461
0.127039239985981683,0.019521594931290777,-0.139482591404487710
0.128880388391575618,0.020085446344145812,-0.141450162884389719
0.130721536797169552,0.020657060942842712,-0.143415445389355467
0.132562685202763486,0.021236424023375226,-0.145378408915787516
0.134403833608357448,0.021823520693207078,-0.147339023570885019
0.136244982013951382,0.022418335872089818,-0.149297259573934860
0.138086130419545317,0.023020854292890216,-0.151253087257591956
0.139927278825139251,0.023631060502426256,-0.153206477069148583
0.141768427230733185,0.024248938862312591,-0.155157399571793114
0.143609575636327119,0.024874473549816638,-0.157105825445857578
0.145450724041921081,0.025507648558721674,-0.159051725490054613
0.147291872447515015,0.026148447700200163,-0.160995070622702491
0.149133020853108950,0.026796854603694985,-0.162935831882939919
0.150974169258702856,0.027452852717813000,-0.164873980431928718
0.152815317664296818,0.028116425311222840,-0.166809487554045455
0.154656466069890752,0.028787555473562629,-0.168742324658061216
0.156497614475484687,0.029466226116358851,-0.170672463278310454
0.158338762881078648,0.030152419973952165,-0.172599875075847481
0.160179911286672555,0.030846119604429793,-0.174524531839591324
0.162021059692266489,0.031547307390569060,-0.176446405487459268
0.163862208097860451,0.032255965540789487,-0.178365468067487709
0.165703356503454385,0.032972076090109444,-0.180281691758941515
0.167544504909048320,0.033695620901114616,-0.182195048873411120
0.169385653314642226,0.034426581664932961,-0.184105511855897436
0.171226801720236188,0.035164939902219056,-0.186013053285884744
0.173067950125830122,0.035910676964141797,-0.187917645878401013
0.174909098531424056,0.036663774033386325,-0.189819262485065837
