# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,1.060087106054439241e-03,-3.274782219407287170e-02
5.891674897900599922e-02,4.233201718045621897e-03,-6.535660626517418581e-02
8.837512346850900924e-02,9.498007472515640481e-03,-9.768907987664018910e-02
1.178334979580119984e-01,1.681928699678392897e-02,-1.296114570977758840e-01
1.472918724475150154e-01,2.614844770020016348e-02,-1.609950706227024908e-01
1.767502469370180185e-01,3.742421212515903428e-02,-1.917178760951264160e-01
2.062086214265209938e-01,5.057347592098622446e-02,-2.216657943580926382e-01
2.356669959160239969e-01,6.551231278561431282e-02,-2.507338640025342236e-01
2.651253704055269722e-01,8.214710275854739119e-02,-2.788271839928537221e-01
2.945837448950300308e-01,1.003757581263196308e-01,-3.058616339778275628e-01
3.240421193845329784e-01,1.200890199593992735e-01,-3.317643677285094239e-01
3.535004938740360370e-01,1.411717979365267328e-01,-3.564740825914076150e-01
3.829588683635389845e-01,1.635045265891965083e-01,-3.799410745720300797e-01
4.124172428530419876e-01,1.869645123416920907e-01,-4.021270944128227387e-01
4.418756173425449907e-01,2.114272476294704051e-01,-4.230050246269039249e-01
4.713339918320479938e-01,2.367676708293692811e-01,-4.425584008072717679e-01
5.007923663215509968e-01,2.628613535956739189e-01,-4.607808026434129789e-01
5.302507408110539444e-01,2.895856003288778679e-01,-4.776751410063650449e-01
5.597091153005570030e-01,3.168204477744365755e-01,-4.932528673274056974e-01
5.891674897900600616e-01,3.444495560315111171e-01,-5.075331304517772812e-01
6.186258642795630092e-01,3.723609854353434612e-01,-5.205419043769861087e-01
6.480842387690659567e-01,4.004478567676697520e-01,-5.323111079727306238e-01
6.775426132585689043e-01,4.286088949732499986e-01,-5.428777351089443259e-01
7.070009877480720739e-01,4.567488589630602780e-01,-5.522830107575299463e-01
7.364593622375750215e-01,4.847788621316329039e-01,-5.605715857283131154e-01
7.659177367270779691e-01,5.126165898912963259e-01,-5.677907798712091836e-01
7.953761112165810276e-01,5.401864218296142939e-01,-5.739898809183622275e-01
8.248344857060839752e-01,5.674194670416697894e-01,-5.792195037195355667e-01
8.542928601955870338e-01,5.942535218001118169e-01,-5.835310124845868307e-01
8.837512346850899814e-01,6.206329590351595815e-01,-5.869760068106191220e-01
9.132096091745930400e-01,6.465085591412574884e-01,-5.896058707430700263e-01
9.426679836640959875e-01,6.718372914467752866e-01,-5.914713828905302506e-01
9.721263581535989351e-01,6.965820553187829223e-01,-5.926223846633301706e-01
