# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000,0.000000000000000000,0.000000000000000000
0.001841148405593937,0.000001167276106317,-0.000577029211949804
0.003682296811187875,0.000004669073628730,-0.001154048830288881
0.005523445216781813,0.000010505300178570,-0.001731049261885009
0.007364593622375750,0.000018675801781361,-0.002308020914562914
0.009205742027969688,0.000029180362884019,-0.002884954197582635
0.011046890433563626,0.000042018706368765,-0.003461839522117729
0.012888038839157562,0.000057190493567758,-0.004038667301733291
0.014729187244751500,0.000074695324283276,-0.004615427952863742
0.016570335650345436,0.000094532736809363,-0.005192111895290289
0.018411484055939377,0.000116702207959265,-0.005768709552618115
0.020252632461533311,0.000141203153094425,-0.006345211352753102
0.022093780867127252,0.000168034926158062,-0.006921607728378199
0.023934929272721187,0.000197196819711916,-0.007497889117429240
0.025776077678315124,0.000228688064976391,-0.008074045963570304
0.027617226083909062,0.000262507831874284,-0.008650068716668412
0.029458374489503000,0.000298655229078026,-0.009225947833267707
0.031299522895096937,0.000337129304060565,-0.009801673777062829
0.033140671300690872,0.000377929043148814,-0.010377237019371705
0.034981819706284813,0.000421053371582277,-0.010952628039607488
0.036822968111878754,0.000466501153573067,-0.011527837325749701
0.038664116517472688,0.000514271192371272,-0.012102855374814534
0.040505264923066622,0.000564362230332168,-0.012677672693324206
0.042346413328660557,0.000616772948988156,-0.013252279797775424
0.044187561734254505,0.000671501969123560,-0.013826667215106784
0.046028710139848439,0.000728547850852441,-0.014400825483165128
0.047869858545442373,0.000787909093700671,-0.014974745151170886
0.049711006951036314,0.000849584136690762,-0.015548416780182157
0.051552155356630248,0.000913571358430380,-0.016121830943557715
0.053393303762224190,0.000979869077204129,-0.016694978227418698
0.055234452167818124,0.001048475551069169,-0.017267849231109095
0.057075600573412065,0.001119388977953444,-0.017840434567654849
0.058916748979005999,0.001192607495757592,-0.018412724864221623
0.060757897384599933,0.001268129182460541,-0.018984710762571175
0.062599045790193875,0.001345952056227925,-0.019556382919516214
0.064440194195787809,0.001426074075524295,-0.020127732007373847
0.066281342601381743,0.001508493139228344,-0.020698748714417327
0.068122491006975691,0.001593207086751537,-0.021269423745326484
0.069963639412569625,0.001680213698159785,-0.021839747821636172
0.071804787818163560,0.001769510694299108,-0.022409711682183354
0.073645936223757508,0.001861095736923858,-0.022979306083552288
0.075487084629351428,0.001954966428828306,-0.023548521800518005
0.077328233034945376,0.002051120313981703,-0.024117349626487986
0.079169381440539324,0.002149554877666940,-0.024685780373942024
0.081010529846133245,0.002250267546621439,-0.025253804874870094
0.082851678251727193,0.002353255689181799,-0.025821413981208432
0.084692826657321113,0.002458516615432063,-0.026388598565273574
0.086533975062915061,0.002566047577354209,-0.026955349520194370
0.088375123468509009,0.002675845768982943,-0.027521657760341964
0.090216271874102930,0.002787908326562520,-0.028087514221757686
0.092057420279696878,0.002902232328707206,-0.028652909862578842
0.093898568685290812,0.003018814796565337,-0.029217835663462290
0.095739717090884746,0.003137652693985216,-0.029782282628005845
0.097580865496478694,0.003258742927685629,-0.030346241783167340
0.099422013902072628,0.003382082347428573,-0.030909704179681537
0.101263162307666563,0.003507667746194590,-0.031472660892474712
0.103104310713260497,0.003635495860362025,-0.032035103021076643
0.104945459118854445,0.003765563369889332,-0.032597021690030578
0.106786607524448379,0.003897866898499288,-0.033158408049300356
0.108627755930042313,0.004032403013867770,-0.033719253274675447
0.110468904335636248,0.004169168227813434,-0.034279548568173189
0.112310052741230182,0.004308158996492837,-0.034839285158438607
0.114151201146824130,0.004449371720596660,-0.035398454301141656
0.115992349552418050,0.004592802745548972,-0.035957047279371789
0.117833497958011998,0.004738448361710311,-0.036515055404030036
0.119674646363605947,0.004886304804583241,-0.037072470014218081
0.121515794769199867,0.005036368255019936,-0.037629282477624995
0.123356943174793815,0.005188634839433981,-0.038185484190910918
0.125198091580387749,0.005343100630013805,-0.038741066580088246
0.127039239985981683,0.005499761644939863,-0.039296021100899657
0.128880388391575618,0.005658613848603501,-0.039850339239193656
0.130721536797169552,0.005819653151829787,-0.040404012511296918
0.132562685202763486,0.005982875412102189,-0.040957032464383966
0.134403833608357448,0.006148276433790059,-0.041509390676843769
0.136244982013951382,0.006315851968379410,-0.042061078758643435
0.138086130419545317,0.006485597714705534,-0.042612088351688907
0.139927278825139251,0.006657509319188722,-0.043162411130182543
0.141768427230733185,0.006831582376072702,-0.043712038800977834
0.143609575636327119,0.007007812427665600,-0.044260963103930760
0.145450724041921081,0.007186194964582606,-0.044809175812248324
0.147291872447515015,0.007366725425992938,-0.045356668732833713
0.149133020853108950,0.007549399199867861,-0.045903433706628478
0.150974169258702856,0.007734211623231679,-0.046449462608951345
0.152815317664296818,0.007921157982415675,-0.046994747349834040
0.154656466069890752,0.008110233513313109,-0.047539279874353531
0.156497614475484687,0.008301433401638501,-0.048083052162961396
0.158338762881078648,0.008494752783188477,-0.048626056231809656
0.160179911286672555,0.008690186744103936,-0.049168284133073281
0.162021059692266489,0.008887730321136522,-0.049709727955269532
0.163862208097860451,0.009087378501916552,-0.050250379823573693
0.165703356503454385,0.009289126225222415,-0.050790231900131780
0.167544504909048320,0.009492968381253557,-0.051329276384369342
0.169385653314642226,0.009698899811905299,-0.051867505513297434
0.171226801720236188,0.009906915311045844,-0.052404911561814614
0.173067950125830122,0.010117009624794645,-0.052941486843005772
0.174909098531424056,0.010329177451805026,-0.053477223708437424
0.176750246937018018,0.010543413443546566,-0.054012114548449439
0.178591395342611925,0.010759712204591640,-0.054546151792443216
0.180432543748205859,0.010978068292902425,-0.055079327909166580
0.182273692153799821,0.011198476220121229,-0.055611635406994750
0.184114840559393755,0.011420930451862382,-0.056143066834207909
0.185955988964987690,0.011645425408005587,-0.056673614779265295
0.187797137370581624,0.011871955462992849,-0.057203271871075483
0.189638285776175558,0.012100514946125459,-0.057732030779263109
0.191479434181769492,0.012331098141863851,-0.058259884214432074
0.193320582587363454,0.012563699290130246,-0.058786824928424894
0.195161730992957388,0.012798312586611236,-0.059312845714578559
0.197002879398551295,0.013034932183064096,-0.059837939407976597
0.198844027804145257,0.013273552187623938,-0.060362098885697588
0.200685176209739191,0.013514166665112334,-0.060885317067059741
0.202526324615333125,0.013756769637349101,-0.061407586913861958
0.204367473020927087,0.014001355083464520,-0.061928901430621144
0.206208621426520994,0.014247916940213752,-0.062449253664805693
0.208049769832114928,0.014496449102293266,-0.062968636707065276
0.209890918237708890,0.014746945422658383,-0.063487043691456857
0.211732066643302824,0.014999399712842889,-0.064004467795667111
0.213573215048896758,0.015253805743279950,-0.064520902241230596
0.215414363454490665,0.015510157243624942,-0.065036340293744777
0.217255511860084627,0.015768447903079682,-0.065550775263080743
0.219096660265678561,0.016028671370717690,-0.066064200503590451
0.220937808671272495,0.016290821255812365,-0.066576609414309901
0.222778957076866457,0.016554891128164786,-0.067087995439158873
0.224620105482460364,0.016820874518434500,-0.067598352067136255
0.226461253888054298,0.017088764918470733,-0.068107672832512275
0.228302402293648260,0.017358555781645739,-0.068615951315016327
0.230143550699242194,0.017630240523188592,-0.069123181140021292
0.231984699104836101,0.017903812520521426,-0.069629355978723911
0.233825847510430063,0.018179265113596341,-0.070134469548321171
0.235666995916023997,0.018456591605233136,-0.070638515612183331
0.237508144321617931,0.018735785261459300,-0.071141487980022483
0.239349292727211893,0.019016839311850633,-0.071643380508057811
0.241190441132805827,0.019299746949873030,-0.072144187099176665
0.243031589538399734,0.019584501333225694,-0.072643901703091915
0.244872737943993696,0.019871095584184827,-0.073142518316495528
0.246713886349587630,0.020159522789950063,-0.073640030983208177
0.248555034755181564,0.020449776002989289,-0.074136433794325135
0.250396183160775498,0.020741848241387244,-0.074631720888358136
0.252237331566369460,0.021035732489193562,-0.075125886451373663
0.254078479971963367,0.021331421696772018,-0.075618924717127306
0.255919628377557329,0.021628908781150920,-0.076110829967193969
0.257760776783151235,0.021928186626374430,-0.076601596531094940
0.259601925188745197,0.022229248083855135,-0.077091218786420390
0.261443073594339104,0.022532085972726549,-0.077579691158948624
0.263284221999933066,0.022836693080197153,-0.078067008122761100
0.265125370405526972,0.023143062161904981,-0.078553164200354034
0.266966518811120934,0.023451185942273769,-0.079038153962745786
0.268807667216714896,0.023761057114868141,-0.079521972029580890
0.270648815622308803,0.024072668342751565,-0.080004613069229749
0.272489964027902765,0.024386012258843313,-0.080486071798885284
0.274331112433496671,0.024701081466277357,-0.080966342984654979
