# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,2.986552290780261263e-04,-9.225947833267706538e-03
5.891674897900599922e-02,1.192607495757591922e-03,-1.841272486422162319e-02
8.837512346850900924e-02,2.675845768982942907e-03,-2.752165776034196445e-02
1.178334979580119984e-01,4.738448361710311148e-03,-3.651505540403003625e-02
1.472918724475150154e-01,7.366725425992938156e-03,-4.535666873283371314e-02
1.767502469370180185e-01,1.054341344354656554e-02,-5.401211454844943860e-02
2.062086214265209938e-01,1.424791694021375170e-02,-6.244925366480569284e-02
2.356669959160239969e-01,1.845659160523313580e-02,-7.063851561218333075e-02
2.651253704055269722e-01,2.314306216190498144e-02,-7.855316420035403369e-02
2.945837448950300308e-01,2.827856773833751364e-02,-8.616950044965726585e-02
3.240421193845329784e-01,3.383232713698405836e-02,-9.346700160581251915e-02
3.535004938740360370e-01,3.977191629942146422e-02,-1.004283970521722691e-01
3.829588683635389845e-01,4.606365039712732173e-02,-1.070396838282474256e-01
4.124172428530419876e-01,5.267296332911526602e-02,-1.132900860829672285e-01
4.418756173425449907e-01,5.956477794465104419e-02,-1.191719640863410784e-01
4.713339918320479938e-01,6.670386099969180527e-02,-1.246806793693068099e-01
5.007923663215509968e-01,7.405515766159126434e-02,-1.298144231566268347e-01
5.302507408110539444e-01,8.158410125920671774e-02,-1.345740155194551646e-01
5.597091153005570030e-01,8.925689489692244238e-02,-1.389626826359162126e-01
5.891674897900600616e-01,9.704076247592782756e-02,-1.429858192539791850e-01
6.186258642795630092e-01,1.049041675630087017e-01,-1.466507429517287797e-01
6.480842387690659567e-01,1.128169993896894346e-01,-1.499664461386447933e-01
6.775426132585689043e-01,1.207507260318955722e-01,-1.529433509891280629e-01
7.070009877480720739e-01,1.286785154971446521e-01,-1.555930716935191582e-01
7.364593622375750215e-01,1.365753260229567723e-01,-1.579281875934220869e-01
7.659177367270779691e-01,1.444179673621370785e-01,-1.599620299712717908e-01
7.953761112165810276e-01,1.521851351978326661e-01,-1.617084845151876560e-01
8.248344857060839752e-01,1.598574210975930443e-01,-1.631818107982412891e-01
8.542928601955870338e-01,1.674173005878768494e-01,-1.643964795085238462e-01
8.837512346850899814e-01,1.748491020175780841e-01,-1.653670276490848134e-01
9.132096091745930400e-01,1.821389588916807467e-01,-1.661079314962351505e-01
9.426679836640959875e-01,1.892747483053598967e-01,-1.666334967583401605e-01
9.721263581535989351e-01,1.962460180061887105e-01,-1.669577651096497140e-01
1.001584732643101994e+00,2.030439044687593897e-01,-1.670944360776263071e-01
1.031043107132604941e+00,2.096610441924882384e-01,-1.670568031291565503e-01
1.060501481622107889e+00,2.160914802392359668e-01,-1.668577027220501663e-01
1.089959856111611058e+00,2.223305658211117419e-01,-1.665094750544149071e-01
1.119418230601114006e+00,2.283748665377345888e-01,-1.660239352473588670e-01
1.148876605090616954e+00,2.342220626523753846e-01,-1.654123537281505518e-01
1.178334979580120123e+00,2.398708525926901702e-01,-1.646854446344489520e-01
1.207793354069622849e+00,2.453208586679784531e-01,-1.638533611293639114e-01
1.237251728559126018e+00,2.505725358138308212e-01,-1.629256965967069981e-01
1.266710103048629188e+00,2.556270840085615448e-01,-1.619114907715041018e-01
1.296168477538131913e+00,2.604863648550938549e-01,-1.608192399491580882e-01
1.325626852027635083e+00,2.651528226874379501e-01,-1.596569105047924153e-01
1.355085226517137809e+00,2.696294104425657756e-01,-1.584319550401681043e-01
1.384543601006640978e+00,2.739195204358807478e-01,-1.571513305575855668e-01
1.414001975496144148e+00,2.780269200908583871e-01,-1.558215181372838709e-01
1.443460349985646873e+00,2.819556925998277785e-01,-1.544485436663398381e-01
1.472918724475150043e+00,2.857101824321464090e-01,-1.530379992325665017e-01
1.502377098964652991e+00,2.892949455570040795e-01,-1.515950648562937042e-01
1.531835473454155938e+00,2.927147042095360474e-01,-1.501245302862290465e-01
1.561293847943659108e+00,2.959743059996169379e-01,-1.486308166330451985e-01
