# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,7.440651661698922167e-04,-2.298538829816291346e-02
5.891674897900599922e-02,2.971244458855573818e-03,-4.587318704591817481e-02
8.837512346850900924e-02,6.666562085283894538e-03,-6.856704608165466175e-02
1.178334979580119984e-01,1.180529930290426244e-02,-9.097306231930958609e-02
1.472918724475150154e-01,1.835334942951056397e-02,-1.130009253874215969e-01
1.767502469370180185e-01,2.626770239412401509e-02,-1.345649735005325087e-01
2.062086214265209938e-01,3.549704694079031109e-02,-1.555851355716614259e-01
2.356669959160239969e-01,4.598247598768841204e-02,-1.759877401752878434e-01
2.651253704055269722e-01,5.765827856534676971e-02,-1.957061771673791195e-01
2.945837448950300308e-01,7.045280026815087249e-02,-2.146814032648372006e-01
3.240421193845329784e-01,8.428935328139833261e-02,-2.328622883849204850e-01
3.535004938740360370e-01,9.908715679139605548e-02,-2.502058047718941358e-01
3.829588683635389845e-01,1.147622889207023933e-01,-2.666770656596520461e-01
4.124172428530419876e-01,1.312286322028543839e-01,-2.822492242541757013e-01
4.418756173425449907e-01,1.483987959496981535e-01,-2.969032470465510221e-01
4.713339918320479938e-01,1.661850005845479095e-01,-3.106275778244051988e-01
5.007923663215509968e-01,1.844999110221997585e-01,-3.234177102321924013e-01
5.302507408110539444e-01,2.032574083757117955e-01,-3.352756873829077500e-01
5.597091153005570030e-01,2.223732915653641173e-01,-3.462095469284269811e-01
5.891674897900600616e-01,2.417659027093131685e-01,-3.562327292630687037e-01
6.186258642795630092e-01,2.613566724100220284e-01,-3.653634652913123615e-01
6.480842387690659567e-01,2.810705831497383178e-01,-3.736241585674986987e-01
6.775426132585689043e-01,3.008365509200111587e-01,-3.810407747408861012e-01
7.070009877480720739e-01,3.205877268965064975e-01,-3.876422492313981172e-01
7.364593622375750215e-01,3.402617224071144975e-01,-3.934599220223652938e-01
7.659177367270779691e-01,3.598007616171850498e-01,-3.985270064712458371e-01
7.953761112165810276e-01,3.791517672706857245e-01,-4.028780971735200778e-01
8.248344857060839752e-01,3.982663854895978073e-01,-4.065487202160394942e-01
8.542928601955870338e-01,4.171009560629225787e-01,-4.095749276544556894e-01
8.837512346850899814e-01,4.356164348737345260e-01,-4.119929367605132398e-01
9.132096091745930400e-01,4.537782751439644047e-01,-4.138388135122704758e-01
9.426679836640959875e-01,4.715562740500390815e-01,-4.151481989373591586e-01
9.721263581535989351e-01,4.889243910067565535e-01,-4.159560762527694799e-01
1.001584732643101994e+00,5.058605435596233990e-01,-4.162965762561078309e-01
1.031043107132604941e+00,5.223463863935338125e-01,-4.162028180917421438e-01
1.060501481622107889e+00,5.383670784819959421e-01,-4.157067823184678601e-01
1.089959856111611058e+00,5.539110428872325853e-01,-4.148392131210896228e-01
1.119418230601114006e+00,5.689697231955554990e-01,-4.136295465154369855e-01
1.148876605090616954e+00,5.835373400496087770e-01,-4.121058614752621807e-01
1.178334979580120123e+00,5.976106507315426253e-01,-4.102948510427135154e-01
1.207793354069622849e+00,6.111887142684010454e-01,-4.082218106563469395e-01
1.237251728559126018e+00,6.242726640799022286e-01,-4.059106411289552518e-01
1.266710103048629188e+00,6.368654897740528842e-01,-4.033838639210365340e-01
1.296168477538131913e+00,6.489718293205024580e-01,-4.006626465757484601e-01
1.325626852027635083e+00,6.605977724964073872e-01,-3.977668364007987400e-01
1.355085226517137809e+00,6.717506762047269486e-01,-3.947150006966319569e-01
1.384543601006640978e+00,6.824389920092664985e-01,-3.915244720346170992e-01
1.414001975496144148e+00,6.926721060124662044e-01,-3.882113972810254388e-01
1.443460349985646873e+00,7.024601910185598319e-01,-3.847907892406983721e-01
1.472918724475150043e+00,7.118140707734579298e-01,-3.812765799574870385e-01
1.502377098964652991e+00,7.207450959505863342e-01,-3.776816748564844062e-01
1.531835473454155938e+00,7.292650314558588587e-01,-3.740180070459072081e-01
1.561293847943659108e+00,7.373859545519372283e-01,-3.702965912146908845e-01
1.590752222433162055e+00,7.451201632490015436e-01,-3.665275766662125512e-01
1.620210596922665003e+00,7.524800943736005276e-01,-3.627202991198946180e-01
1.649668971412167950e+00,7.594782507062175503e-01,-3.588833309918300629e-01
1.679127345901671120e+00,7.661271365695457858e-01,-3.550245299339831462e-01
1.708585720391174068e+00,7.724392012509976313e-01,-3.511510854700622408e-01
1.738044094880677015e+00,7.784267896527308217e-01,-3.472695636158205645e-01
1.767502469370179963e+00,7.841020995787488790e-01,-3.433859494133205681e-01
1.796960843859682910e+00,7.894771450899882304e-01,-3.395056873435131073e-01
1.826419218349186080e+00,7.945637253833757185e-01,-3.356337196101941700e-01
1.855877592838688805e+00,7.993733986786292212e-01,-3.317745223118030440e-01
1.885335967328191975e+00,8.039174606260677258e-01,-3.279321395363219982e-01
1.914794341817695145e+00,8.082069267792058032e-01,-3.241102154293831750e-01
1.944252716307197870e+00,8.122525187067189956e-01,-3.203120242971560505e-01
1.973711090796701040e+00,8.160646533490562016e-01,-3.165404988141876097e-01
2.003169465286203987e+00,8.196534352550487457e-01,-3.127982564125552645e-01
2.032627839775706935e+00,8.230286513630775680e-01,-3.090876239328456676e-01
2.062086214265209883e+00,8.261997680194300697e-01,-3.054106606199725737e-01
2.091544588754712830e+00,8.291759299532452943e-01,-3.017691795479369166e-01
2.121002963244215778e+00,8.319659609528045063e-01,-2.981647675576289402e-01
2.150461337733719169e+00,8.345783660117690461e-01,-2.945988037908482404e-01
2.179919712223222117e+00,8.370213347363197887e-01,-2.910724769020842650e-01
2.209378086712725064e+00,8.393027458249163741e-01,-2.875868010274185704e-01
2.238836461202228012e+00,8.414301724517112557e-01,-2.841426305872926661e-01
2.268294835691730960e+00,8.434108884024322794e-01,-2.807406739969841025e-01
2.297753210181233907e+00,8.452518748279373995e-01,-2.773815063554875837e-01
2.327211584670737299e+00,8.469598274956519068e-01,-2.740655811802454878e-01
2.356669959160240246e+00,8.485411644328132441e-01,-2.707932412518248566e-01
2.386128333649743194e+00,8.500020338679477039e-01,-2.675647286292813232e-01
2.415586708139245697e+00,8.513483223883306916e-01,-2.643801938936091167e-01
2.445045082628749089e+00,8.525856632414644531e-01,-2.612397046733877515e-01
2.474503457118252037e+00,8.537194447178776402e-01,-2.581432535035329545e-01
2.503961831607754984e+00,8.547548185609021854e-01,-2.550907650649392178e-01
2.533420206097258376e+00,8.556967083565817367e-01,-2.520821028498137495e-01
2.562878580586760879e+00,8.565498178635951865e-01,-2.491170752946205991e-01
2.592336955076263827e+00,8.573186392490680374e-01,-2.461954414198108398e-01
2.621795329565767219e+00,8.580074612015137214e-01,-2.433169160128993702e-01
2.651253704055270166e+00,8.586203768968859729e-01,-2.404811743889778974e-01
2.680712078544773114e+00,8.591612917979507547e-01,-2.376878567604044368e-01
2.710170453034275617e+00,8.596339312708991542e-01,-2.349365722452066152e-01
2.739628827523779009e+00,8.600418480064163651e-01,-2.322269025416517085e-01
2.769087202013281956e+00,8.603884292352963481e-01,-2.295584052944879272e-01
2.798545576502784904e+00,8.606769037312140824e-01,-2.269306171765274605e-01
2.828003950992288296e+00,8.609103485954707757e-01,-2.243430567075304083e-01
2.857462325481790799e+00,8.610916958204347660e-01,-2.217952268307445962e-01
2.886920699971293747e+00,8.612237386300479747e-01,-2.192866172659635182e-01
2.916379074460797138e+00,8.613091375972024011e-01,-2.168167066565682699e-01
2.945837448950300086e+00,8.613504265389779757e-01,-2.143849645267231208e-01
2.975295823439803033e+00,8.613500181918003484e-01,-2.119908530636816779e-01
3.004754197929305981e+00,8.613102096694091880e-01,-2.096338287390441812e-01
3.034212572418808929e+00,8.612331877072865183e-01,-2.073133437817541169e-01
3.063670946908311876e+00,8.611210336977704882e-01,-2.050288475146620493e-01
3.093129321397815268e+00,8.609757285205789090e-01,-2.027797875655779625e-01
3.122587695887318215e+00,8.607991571738546899e-01,-2.005656109629062045e-01
3.152046070376820719e+00,8.605931132111528381e-01,-1.983857651251800802e-01
3.181504444866324111e+00,8.603593029900147293e-01,-1.962396987531002113e-01
3.210962819355827058e+00,8.600993497379383346e-01,-1.941268626320189206e-01
3.240421193845330006e+00,8.598147974416748829e-01,-1.920467103521951435e-01
3.269879568334833397e+00,8.595071145658242928e-01,-1.899986989535853155e-01
3.299337942824335901e+00,8.591776976067388993e-01,-1.879822895014017226e-01
3.328796317313838848e+00,8.588278744877111404e-01,-1.859969475981929909e-01
3.358254691803342240e+00,8.584589078013928898e-01,-1.840421438377473906e-01
3.387713066292845188e+00,8.580719979053018642e-01,-1.821173542057079875e-01
3.417171440782348135e+00,8.576682858761923711e-01,-1.802220604314058172e-01
3.446629815271850639e+00,8.572488563289535346e-01,-1.783557502950615659e-01
3.476088189761354030e+00,8.568147401055641321e-01,-1.765179178941833071e-01
3.505546564250856978e+00,8.563669168395097175e-01,-1.747080638726827562e-01
3.535004938740359925e+00,8.559063174009147179e-01,-1.729256956159558045e-01
3.564463313229863317e+00,8.554338262274866489e-01,-1.711703274149165288e-01
3.593921687719365821e+00,8.549502835462265971e-01,-1.694414806017346675e-01
3.623380062208868768e+00,8.544564874906789287e-01,-1.677386836598108721e-01
3.652838436698372160e+00,8.539531961183511877e-01,-1.660614723103181756e-01
3.682296811187875107e+00,8.534411293327556214e-01,-1.644093895774551839e-01
3.711755185677377611e+00,8.529209707143751151e-01,-1.627819858343819981e-01
3.741213560166881003e+00,8.523933692646810112e-01,-1.611788188316525816e-01
3.770671934656383950e+00,8.518589410671829620e-01,-1.595994537098116284e-01
3.800130309145886898e+00,8.513182708693228795e-01,-1.580434629976856797e-01
3.829588683635390289e+00,8.507719135888821560e-01,-1.565104265977791953e-01
3.859047058124893237e+00,8.502203957484057995e-01,-1.549999317600653792e-01
3.888505432614395740e+00,8.496642168410180052e-01,-1.535115730453612271e-01
3.917963807103899132e+00,8.491038506308410394e-01,-1.520449522793745900e-01
3.947422181593402080e+00,8.485397463911100724e-01,-1.505996784984239001e-01
3.976880556082905027e+00,8.479723300829212773e-01,-1.491753678877453804e-01
4.006338930572407975e+00,8.474020054774413779e-01,-1.477716437132298166e-01
4.035797305061911366e+00,8.468291552242622755e-01,-1.463881362473573033e-01
4.065255679551413870e+00,8.462541418684723649e-01,-1.450244826900340400e-01
4.094714054040917262e+00,8.456773088189042387e-01,-1.436803270849774938e-01
4.124172428530419765e+00,8.450989812698920245e-01,-1.423553202322384859e-01
4.153630803019923157e+00,8.445194670787726787e-01,-1.410491195973991863e-01
4.183089177509425660e+00,8.439390576012638645e-01,-1.397613892179397077e-01
4.212547551998929052e+00,8.433580284867459032e-01,-1.384917996072208002e-01
4.242005926488431555e+00,8.427766404353780327e-01,-1.372400276564945676e-01
4.271464300977934947e+00,8.421951399188993825e-01,-1.360057565353125775e-01
4.300922675467438339e+00,8.416137598668601560e-01,-1.347886755906737843e-01
4.330381049956940842e+00,8.410327203199646773e-01,-1.335884802452181885e-01
4.359839424446444234e+00,8.404522290521097005e-01,-1.324048718947464232e-01
4.389297798935946737e+00,8.398724821626372128e-01,-1.312375578053200931e-01
4.418756173425450129e+00,8.392936646402416878e-01,-1.300862510101702119e-01
4.448214547914952632e+00,8.387159508999076918e-01,-1.289506702066227362e-01
4.477672922404456024e+00,8.381395052941817969e-01,-1.278305396532264937e-01
4.507131296893959416e+00,8.375644826000193666e-01,-1.267255890672541740e-01
4.536589671383461919e+00,8.369910284823942614e-01,-1.256355535227240694e-01
4.566048045872965311e+00,8.364192799357914598e-01,-1.245601733490802610e-01
4.595506420362467814e+00,8.358493657046561776e-01,-1.234991940306517794e-01
4.624964794851971206e+00,8.352814066838136764e-01,-1.224523661069965574e-01
4.654423169341474598e+00,8.347155162998316502e-01,-1.214194450742274167e-01
4.683881543830977101e+00,8.341518008742453416e-01,-1.204001912874027858e-01
4.713339918320480493e+00,8.335903599695173583e-01,-1.193943698640566736e-01
4.742798292809982996e+00,8.330312867185718506e-01,-1.184017505889321670e-01
4.772256667299486388e+00,8.324746681386883118e-01,-1.174221078199747109e-01
4.801715041788989780e+00,8.319205854305142811e-01,-1.164552203956324278e-01
4.831173416278491395e+00,8.313691142629077158e-01,-1.155008715435054817e-01
4.860631790767994787e+00,8.308203250442959265e-01,-1.145588487903780039e-01
4.890090165257498178e+00,8.302742831811948943e-01,-1.136289438736617918e-01
4.919548539747000682e+00,8.297310493245074747e-01,-1.127109526542740964e-01
4.949006914236504073e+00,8.291906796041846883e-01,-1.118046750309674986e-01
4.978465288726007465e+00,8.286532258528096495e-01,-1.109099148561268483e-01
5.007923663215509968e+00,8.281187358186314906e-01,-1.100264798530404126e-01
5.037382037705013360e+00,8.275872533685582066e-01,-1.091541815346537686e-01
5.066840412194516752e+00,8.270588186815793774e-01,-1.082928351238062747e-01
5.096298786684018367e+00,8.265334684330856163e-01,-1.074422594749515902e-01
5.125757161173521759e+00,8.260112359705107377e-01,-1.066022769973577755e-01
5.155215535663025150e+00,8.254921514807090910e-01,-1.057727135797819212e-01
5.184673910152527654e+00,8.249762421494695186e-01,-1.049533985166108685e-01
5.214132284642031046e+00,8.244635323135264260e-01,-1.041441644354582363e-01
5.243590659131534437e+00,8.239540436054345607e-01,-1.033448472262066403e-01
5.273049033621036941e+00,8.234477950916392341e-01,-1.025552859714808779e-01
5.302507408110540332e+00,8.229448034040646176e-01,-1.017753228785381880e-01
5.331965782600042836e+00,8.224450828655274215e-01,-1.010048032125598627e-01
5.361424157089546227e+00,8.219486456092682802e-01,-1.002435752313263900e-01
5.390882531579049619e+00,8.214555016928719589e-01,-9.949149012125924063e-02
5.420340906068551234e+00,8.209656592068496073e-01,-9.874840193481035366e-02
5.449799280558054626e+00,8.204791243781250909e-01,-9.801416752917924136e-02
5.479257655047558018e+00,8.199959016686696467e-01,-9.728864650633929634e-02
5.508716029537060521e+00,8.195159938695106838e-01,-9.657170115435100011e-02
5.538174404026563913e+00,8.190394021903314448e-01,-9.586319638994267311e-02
5.567632778516067305e+00,8.185661263448662517e-01,-9.516299970233688121e-02
5.597091153005569808e+00,8.180961646322919556e-01,-9.447098109830101564e-02
5.626549527495073200e+00,8.176295140147947782e-01,-9.378701304840059150e-02
5.656007901984576591e+00,8.171661701914997300e-01,-9.311097043443374022e-02
5.685466276474078207e+00,8.167061276689248084e-01,-9.244273049802446962e-02
5.714924650963581598e+00,8.162493798281232893e-01,-9.178217279035309761e-02
5.744383025453084990e+00,8.157959189886695439e-01,-9.112917912300262657e-02
