# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-5.007774531307306710e-06,-2.086580054391675289e-04
3.682296811187874951e-03,-2.002903850711909795e-05,-4.174690896693518155e-04
5.523445216781813077e-03,-4.505672862718169183e-05,-6.265850315765624694e-04
7.364593622375749903e-03,-8.008008956486250391e-05,-8.361561946952009421e-04
9.205742027969688462e-03,-1.250851495127233953e-04,-1.046331530238462683e-03
1.104689043356362615e-02,-1.800550011079134942e-04,-1.257258580162641266e-03
1.288803883915756211e-02,-2.449696360266057234e-04,-1.469083480265080894e-03
1.472918724475149981e-02,-3.198071321080136792e-04,-1.681950963315534311e-03
1.657033565034543576e-02,-4.045414196421245044e-04,-1.896004362220685482e-03
1.841148405593937692e-02,-4.990025224218492877e-04,-2.111385613221580630e-03
2.025263246153331115e-02,-6.034483017229156677e-04,-2.328235259123725195e-03
2.209378086712725231e-02,-7.177050386403080896e-04,-2.546692452559609285e-03
2.393492927272118653e-02,-8.417373701367585450e-04,-2.766894959283390347e-03
2.577607767831512423e-02,-9.755074657356818148e-04,-2.988979161497512960e-03
2.761722608390906192e-02,-1.118985509996099680e-03,-3.213080061210994275e-03
2.945837448950299961e-02,-1.272125126044112249e-03,-3.439331283629145676e-03
3.129952289509693730e-02,-1.434886160486899178e-03,-3.667865080574469593e-03
3.314067130069087153e-02,-1.607227123863334654e-03,-3.898812333938471691e-03
3.498181970628481269e-02,-1.789101859895147030e-03,-4.132302559164192403e-03
3.682296811187875385e-02,-1.980459092470789224e-03,-4.368463908759117817e-03
3.866411651747268807e-02,-2.181423483675813419e-03,-4.607423175838316377e-03
4.050526492306662230e-02,-2.391620587676782789e-03,-4.849305797697480921e-03
4.234641332866055652e-02,-2.611149310467334676e-03,-5.094235859415663543e-03
4.418756173425450462e-02,-2.839975837208062216e-03,-5.342336097487442211e-03
4.602871013984843884e-02,-3.078049302457507626e-03,-5.593727903484253285e-03
4.786985854544237307e-02,-3.325291289861041603e-03,-5.848531327744677447e-03
4.971100695103631423e-02,-3.581660993554323415e-03,-6.106865083093393660e-03
5.155215535663024845e-02,-3.847099791313580291e-03,-6.368846548588552245e-03
5.339330376222418961e-02,-4.121524693192500470e-03,-6.634591773297338936e-03
5.523445216781812384e-02,-4.404926499841623801e-03,-6.904215480099463662e-03
5.707560057341206500e-02,-4.697207358529920281e-03,-7.177831069518318154e-03
5.891674897900599922e-02,-4.998313106113114711e-03,-7.455550623579566480e-03
6.075789738459993344e-02,-5.308179861340866362e-03,-7.737484909696886598e-03
6.259904579019387461e-02,-5.626732874561704914e-03,-8.023743384584667779e-03
6.444019419578780883e-02,-5.953935567990544832e-03,-8.314434198197339504e-03
6.628134260138174305e-02,-6.289558060818501925e-03,-8.609664197695130611e-03
6.812249100697569115e-02,-6.633791889933972862e-03,-8.909538931436028833e-03
6.996363941256962538e-02,-6.986482691753741550e-03,-9.214162652993577313e-03
7.180478781816355960e-02,-7.347528076042531518e-03,-9.523638325200414409e-03
7.364593622375750770e-02,-7.716901311120689944e-03,-9.838067624217159551e-03
7.548708462935142804e-02,-8.094464054065286102e-03,-1.015755094362649075e-02
7.732823303494537615e-02,-8.480153620617136498e-03,-1.048218739855213619e-02
7.916938144053932425e-02,-8.873958196994985795e-03,-1.081207482980247984e-02
8.101052984613324459e-02,-9.275728178376789479e-03,-1.114730980803860065e-02
8.285167825172719269e-02,-9.685397244142099002e-03,-1.148798763796647117e-02
8.469282665732111304e-02,-1.010302411641590681e-02,-1.183420236255300177e-02
8.653397506291506114e-02,-1.052828922947134961e-02,-1.218604676726580023e-02
8.837512346850900924e-02,-1.096136582915575516e-02,-1.254361238433628761e-02
9.021627187410292958e-02,-1.140202036584483762e-02,-1.290698949704591376e-02
9.205742027969687769e-02,-1.185018786955172564e-02,-1.327626714403540124e-02
9.389856868529081191e-02,-1.230583539772742326e-02,-1.365153312363646607e-02
9.573971709088474613e-02,-1.276889895575515459e-02,-1.403287399822602914e-02
9.758086549647869423e-02,-1.323925658628520921e-02,-1.442037509860256105e-02
9.942201390207262846e-02,-1.371677280561350160e-02,-1.481412052838422706e-02
1.012631623076665627e-01,-1.420147515192078137e-02,-1.521419316842880301e-02
1.031043107132604969e-01,-1.469323467456390767e-02,-1.562067468127485009e-02
1.049454591188544450e-01,-1.519204005298223185e-02,-1.603364551560411758e-02
1.067866075244483792e-01,-1.569767589459406323e-02,-1.645318491072474826e-02
1.086277559300423134e-01,-1.621010553675445581e-02,-1.687937090107517052e-02
1.104689043356362477e-01,-1.672927234306172822e-02,-1.731228032074838552e-02
1.123100527412301819e-01,-1.725506504284554307e-02,-1.775198880803632862e-02
1.141512011468241300e-01,-1.778730512915185219e-02,-1.819857080999411764e-02
1.159923495524180503e-01,-1.832613137226025979e-02,-1.865209958702403192e-02
1.178334979580119984e-01,-1.887134743765185238e-02,-1.911264721747877107e-02
1.196746463636059465e-01,-1.942283306525544387e-02,-1.958028460228383380e-02
1.215157947691998669e-01,-1.998058145866836791e-02,-2.005508146957888857e-02
1.233569431747938150e-01,-2.054439090393080786e-02,-2.053710637937772657e-02
1.251980915803877492e-01,-2.111427077546646977e-02,-2.102642672824654377e-02
1.270392399859816834e-01,-2.169011510465497158e-02,-2.152310875400045842e-02
1.288803883915756177e-01,-2.227178724902236645e-02,-2.202721754041785801e-02
1.307215367971695519e-01,-2.285922527962072973e-02,-2.253881702197241960e-02
1.325626852027634861e-01,-2.345235287476019406e-02,-2.305796998858253288e-02
1.344038336083574481e-01,-2.405122133378561830e-02,-2.358473809037783461e-02
1.362449820139513823e-01,-2.465545567259100693e-02,-2.411918184248264957e-02
1.380861304195453165e-01,-2.526504413385056644e-02,-2.466136062981619248e-02
1.399272788251392508e-01,-2.587997109035525614e-02,-2.521133271190901040e-02
1.417684272307331850e-01,-2.650010792106066715e-02,-2.576915522773572109e-02
1.436095756363271192e-01,-2.712551115415851380e-02,-2.633488420056359983e-02
1.454507240419210812e-01,-2.775570794013691722e-02,-2.690857454281690708e-02
1.472918724475150154e-01,-2.839088179857040400e-02,-2.749028006095656507e-02
1.491330208531089496e-01,-2.903112435882227935e-02,-2.808005346037507552e-02
1.509741692587028561e-01,-2.967615127740383038e-02,-2.867794635030637695e-02
1.528153176642968181e-01,-3.032572818409143625e-02,-2.928400924875035338e-02
1.546564660698907523e-01,-3.097966953866958945e-02,-2.989829158741186960e-02
1.564976144754846865e-01,-3.163855282285066295e-02,-3.052084171665395487e-02
1.583387628810786485e-01,-3.230160515160990925e-02,-3.115170691046494078e-02
1.601799112866725550e-01,-3.296896273570126823e-02,-3.179093337143945597e-02
1.620210596922664892e-01,-3.364032208656526218e-02,-3.243856623577277831e-02
1.638622080978604512e-01,-3.431586446090113818e-02,-3.309464957826840914e-02
1.657033565034543854e-01,-3.499580855277633490e-02,-3.375922641735878277e-02
1.675445049090483196e-01,-3.567921074063433451e-02,-3.443233872013863606e-02
1.693856533146422261e-01,-3.636690898570169028e-02,-3.511402740741094430e-02
1.712268017202361881e-01,-3.705791754851631148e-02,-3.580433235874518061e-02
1.730679501258301223e-01,-3.775296632026715893e-02,-3.650329241754744769e-02
1.749090985314240565e-01,-3.845116258599894782e-02,-3.721094539614266949e-02
1.767502469370180185e-01,-3.915327240950688265e-02,-3.792732808086818341e-02
1.785913953426119249e-01,-3.985825980551523789e-02,-3.865247623717864289e-02
1.804325437482058592e-01,-4.056695634376303317e-02,-3.938642461476221657e-02
1.822736921537998211e-01,-4.127878928384409729e-02,-4.012920695266742471e-02
1.841148405593937554e-01,-4.199344660654892591e-02,-4.088085598444061997e-02
1.859559889649876896e-01,-4.271124648117734929e-02,-4.164140344327407067e-02
1.877971373705816238e-01,-4.343186000637810212e-02,-4.241088006716398767e-02
1.896382857761755580e-01,-4.415528448315800963e-02,-4.318931560407849451e-02
1.914794341817694923e-01,-4.488140465170022131e-02,-4.397673881713536764e-02
1.933205825873634542e-01,-4.560984324975538712e-02,-4.477317748978919265e-02
1.951617309929573885e-01,-4.634145013034173671e-02,-4.557865843102772846e-02
1.970028793985512949e-01,-4.707513743382232135e-02,-4.639320748057718796e-02
1.988440278041452569e-01,-4.781114879637741316e-02,-4.721684951411652537e-02
2.006851762097391911e-01,-4.854911045117058649e-02,-4.804960844849993917e-02
2.025263246153331254e-01,-4.928973111111259464e-02,-4.889150724698781980e-02
2.043674730209270873e-01,-5.003206640244504261e-02,-4.974256792448590592e-02
2.062086214265209938e-01,-5.077663755621474734e-02,-5.060281155279192783e-02
