# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937476e-03,-1.770127651444617796e-06,-5.869016151841666530e-05
3.682296811187874951e-03,-7.079882977209128357e-06,-1.174323213836871561e-04
5.523445216781813077e-03,-1.592701504884143035e-05,-1.762780757032058113e-04
7.364593622375749903e-03,-2.830806952946684048e-05,-2.352785821287907073e-04
9.205742027969688462e-03,-4.421860446478757941e-05,-2.944845602562265246e-04
1.104689043356362615e-02,-6.360135851370466147e-05,-3.539462920393321183e-04
1.288803883915756211e-02,-8.655348864663073663e-05,-4.137136222184837828e-04
1.472918724475149981e-02,-1.130161406784298733e-04,-4.738359587635262863e-04
1.657033565034543576e-02,-1.429809417180962340e-04,-5.343622733309959976e-04
1.841148405593937692e-02,-1.764401199190183576e-04,-5.953411017355948742e-04
2.025263246153331115e-02,-2.133826662112982839e-04,-6.568205444358338890e-04
2.209378086712725231e-02,-2.537993650864876533e-04,-7.188482670337840953e-04
2.393492927272118653e-02,-2.976787805524107430e-04,-7.814715007888571596e-04
2.577607767831512423e-02,-3.450088854153451554e-04,-8.447370431455473831e-04
2.761722608390906192e-02,-3.957797577932090083e-04,-9.086912582750613764e-04
2.945837448950299961e-02,-4.499761280595204424e-04,-9.733800776307619885e-04
3.129952289509693730e-02,-5.075852268288541611e-04,-1.038849000517356666e-03
3.314067130069087153e-02,-5.685936719019851629e-04,-1.105143094673753700e-03
3.498181970628481269e-02,-6.329855447567414237e-04,-1.172306996869517835e-03
3.682296811187875385e-02,-7.007454106876671559e-04,-1.240384913514839919e-03
3.866411651747268807e-02,-7.718631961260373053e-04,-1.309420621283965839e-03
4.050526492306662230e-02,-8.463158013470718603e-04,-1.379457467751988133e-03
4.234641332866055652e-02,-9.240869545429158081e-04,-1.450538372044945330e-03
4.418756173425450462e-02,-1.005164039134851190e-03,-1.522705825503140519e-03
4.602871013984843884e-02,-1.089529849457605273e-03,-1.596001892357606314e-03
4.786985854544237307e-02,-1.177161685415627169e-03,-1.670468210419646373e-03
4.971100695103631423e-02,-1.268042274734618342e-03,-1.746145991783380194e-03
5.155215535663024845e-02,-1.362154782463454025e-03,-1.823076023541191646e-03
5.339330376222418961e-02,-1.459473507808610460e-03,-1.901298668512038529e-03
5.523445216781812384e-02,-1.559990902026311098e-03,-1.980853865982521236e-03
5.707560057341206500e-02,-1.663730808535309868e-03,-2.061781132460647863e-03
5.891674897900599922e-02,-1.770567061992275046e-03,-2.144119562442203374e-03
6.075789738459993344e-02,-1.880533922313380388e-03,-2.227907829189667340e-03
6.259904579019387461e-02,-1.993555860219182498e-03,-2.313184185523580252e-03
6.444019419578780883e-02,-2.109721853013529335e-03,-2.399986464626294256e-03
6.628134260138174305e-02,-2.228947699889985163e-03,-2.488352080858022633e-03
6.812249100697569115e-02,-2.351205052016813474e-03,-2.578318030585121691e-03
6.996363941256962538e-02,-2.476492916000989312e-03,-2.669920893020505306e-03
7.180478781816355960e-02,-2.604775712363514243e-03,-2.763196831076133574e-03
7.364593622375750770e-02,-2.736042072903200565e-03,-2.858181592227483636e-03
7.548708462935142804e-02,-2.870249784941733637e-03,-2.954910509389933708e-03
