# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,-4.499761280595204424e-04,-9.733800776307619885e-04
5.891674897900599922e-02,-1.770567061992275046e-03,-2.144119562442203374e-03
8.837512346850900924e-02,-3.890220493715425103e-03,-3.683730620861492503e-03
1.178334979580119984e-01,-6.712191936255222820e-03,-5.736205806013012706e-03
1.472918724475150154e-01,-1.012255795924043092e-02,-8.418951133033180864e-03
1.767502469370180185e-01,-1.399625474019738046e-02,-1.182390522210478336e-02
2.062086214265209938e-01,-1.820161895950360431e-02,-1.601882236952276162e-02
2.356669959160239969e-01,-2.260373800489795179e-02,-2.104869693033692077e-02
2.651253704055269722e-01,-2.706870326463299906e-02,-2.693730619701920070e-02
2.945837448950300308e-01,-3.146479246578449268e-02,-3.368884902535370512e-02
3.240421193845329784e-01,-3.566550581135630865e-02,-4.128965777672096577e-02
3.535004938740360370e-01,-3.955158403672838496e-02,-4.970996169805419473e-02
3.829588683635389845e-01,-4.301153407083786739e-02,-5.890568062777624264e-02
4.124172428530419876e-01,-4.594376365163218429e-02,-6.882022887703945213e-02
4.418756173425449907e-01,-4.825774253457504326e-02,-7.938631026826752091e-02
4.713339918320479938e-01,-4.987250401503789954e-02,-9.052768659403617746e-02
5.007923663215509968e-01,-5.072144379385704754e-02,-1.021609031648003235e-01
5.302507408110539444e-01,-5.074581746789567915e-02,-1.141969566196955194e-01
5.597091153005570030e-01,-4.990381327860307636e-02,-1.265428917565077915e-01
5.891674897900600616e-01,-4.816158787062368996e-02,-1.391033157712318613e-01
6.186258642795630092e-01,-4.549953403370218113e-02,-1.517818199614419383e-01
6.480842387690659567e-01,-4.190737725393373081e-02,-1.644823006189841397e-01
6.775426132585689043e-01,-3.738676089392964363e-02,-1.771101724955079504e-01
7.070009877480720739e-01,-3.194942851461066158e-02,-1.895734698497456294e-01
7.364593622375750215e-01,-2.561593037550797744e-02,-2.017838316605264359e-01
7.659177367270779691e-01,-1.841685163809177531e-02,-2.136573690983324392e-01
7.953761112165810276e-01,-1.039004491077266147e-02,-2.251154147766690761e-01
8.248344857060839752e-01,-1.579467491679938497e-03,-2.360851546405442203e-01
8.542928601955870338e-01,7.963548457044326845e-03,-2.465001445827652016e-01
8.837512346850899814e-01,1.818202827654724282e-02,-2.563007150014358082e-01
9.132096091745930400e-01,2.901471270992513063e-02,-2.654342675178408828e-01
9.426679836640959875e-01,4.039804111669585002e-02,-2.738554689585956936e-01
9.721263581535989351e-01,5.226439377966316663e-02,-2.815263484671887140e-01
1.001584732643101994e+00,6.454466045996150314e-02,-2.884163042472467908e-01
1.031043107132604941e+00,7.716850344726089439e-02,-2.945020269541184788e-01
1.060501481622107889e+00,9.006548664786920289e-02,-2.997673471452562133e-01
1.089959856111611058e+00,1.031649309994215891e-01,-3.042030144774111045e-01
1.119418230601114006e+00,1.163987283892856245e-01,-3.078064165050118373e-01
1.148876605090616954e+00,1.296990873675060441e-01,-3.105812449955986376e-01
1.178334979580120123e+00,1.429987792909697408e-01,-3.125371176419720620e-01
1.207793354069622849e+00,1.562369456682857483e-01,-3.136891629247655078e-01
1.237251728559126018e+00,1.693535567508233919e-01,-3.140575756719083400e-01
1.266710103048629188e+00,1.822915214769633419e-01,-3.136671505818667272e-01
1.296168477538131913e+00,1.949988816884056508e-01,-3.125468006347749128e-01
1.325626852027635083e+00,2.074272854279576583e-01,-3.107290669188871313e-01
1.355085226517137809e+00,2.195321692690686832e-01,-3.082496259584444065e-01
1.384543601006640978e+00,2.312727768599375233e-01,-3.051468001521611129e-01
1.414001975496144148e+00,2.426136442930376669e-01,-3.014610764279230248e-01
1.443460349985646873e+00,2.535236934958221555e-01,-2.972346376974329130e-01
1.472918724475150043e+00,2.639755512646985158e-01,-2.925109111624171754e-01
1.502377098964652991e+00,2.739463544133316497e-01,-2.873341369891565522e-01
1.531835473454155938e+00,2.834188479962885809e-01,-2.817489603373586893e-01
1.561293847943659108e+00,2.923768824041960701e-01,-2.758000492090318945e-01
1.590752222433162055e+00,3.008116484111575395e-01,-2.695317400786627071e-01
1.620210596922665003e+00,3.087158718300387905e-01,-2.629877127824779004e-01
1.649668971412167950e+00,3.160862729383516756e-01,-2.562106956861328055e-01
1.679127345901671120e+00,3.229240209988861188e-01,-2.492422017203118068e-01
1.708585720391174068e+00,3.292325448095378415e-01,-2.421222954752301759e-01
1.738044094880677015e+00,3.350170560734599956e-01,-2.348893911800726264e-01
1.767502469370179963e+00,3.402877740396056394e-01,-2.275800810635355553e-01
1.796960843859682910e+00,3.450550901471057808e-01,-2.202289932976983500e-01
1.826419218349186080e+00,3.493333738885004425e-01,-2.128686784698805290e-01
1.855877592838688805e+00,3.531375488233000626e-01,-2.055295233057570503e-01
1.885335967328191975e+00,3.564846537682238581e-01,-1.982396901811764311e-01
1.914794341817695145e+00,3.593930527555339594e-01,-1.910250808088861940e-01
1.944252716307197870e+00,3.618821410566436803e-01,-1.839093223682649048e-01
1.973711090796701040e+00,3.639726054846188497e-01,-1.769137742595824625e-01
2.003169465286203987e+00,3.656854016270378316e-01,-1.700575536072480576e-01
2.032627839775706935e+00,3.670412737407254267e-01,-1.633575776068698360e-01
