# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.945837448950299961e-02,-1.272125126044112249e-03,-3.439331283629145676e-03
5.891674897900599922e-02,-4.998313106113114711e-03,-7.455550623579566480e-03
8.837512346850900924e-02,-1.096136582915575516e-02,-1.254361238433628761e-02
1.178334979580119984e-01,-1.887134743765185238e-02,-1.911264721747877107e-02
1.472918724475150154e-01,-2.839088179857040400e-02,-2.749028006095656507e-02
1.767502469370180185e-01,-3.915327240950688265e-02,-3.792732808086818341e-02
2.062086214265209938e-01,-5.077663755621474734e-02,-5.060281155279192783e-02
2.356669959160239969e-01,-6.287397662731357417e-02,-6.562921175010878738e-02
2.651253704055269722e-01,-7.506401588056606233e-02,-8.305791158897062043e-02
2.945837448950300308e-01,-8.697702345130264856e-02,-1.028847570213623080e-01
3.240421193845329784e-01,-9.825860217694176724e-02,-1.250556799131243013e-01
3.535004938740360370e-01,-1.085800295740497468e-01,-1.494723263340491659e-01
3.829588683635389845e-01,-1.176384393311634136e-01,-1.759976377615080356e-01
4.124172428530419876e-01,-1.251559602941880456e-01,-2.044613365956844953e-01
4.418756173425449907e-01,-1.308949939009441121e-01,-2.346652715413151680e-01
4.713339918320479938e-01,-1.346412000271160203e-01,-2.663885827663532435e-01
5.007923663215509968e-01,-1.362165954381350796e-01,-2.993926512418883523e-01
5.302507408110539444e-01,-1.354807150233807433e-01,-3.334258012417385952e-01
5.597091153005570030e-01,-1.323232266409274938e-01,-3.682277295785866822e-01
5.891674897900600616e-01,-1.266670218663075165e-01,-4.035336397238201700e-01
6.186258642795630092e-01,-1.184714049107843253e-01,-4.390780634513036795e-01
6.480842387690659567e-01,-1.077186142479089476e-01,-4.745983570161514953e-01
6.775426132585689043e-01,-9.442697315504718081e-02,-5.098378630874503825e-01
7.070009877480720739e-01,-7.863740979801715769e-02,-5.445487336626551045e-01
7.364593622375750215e-01,-6.041754978577330154e-02,-5.784944129695713810e-01
7.659177367270779691e-01,-3.985985812752678575e-02,-6.114517828828250900e-01
7.953761112165810276e-01,-1.706685858635389325e-02,-6.432129766236713841e-01
8.248344857060839752e-01,7.824315518623932084e-03,-6.735868694579348892e-01
8.542928601955870338e-01,3.467091984093408075e-02,-7.024002577444177220e-01
8.837512346850899814e-01,6.331905408033680627e-02,-7.294987400075326756e-01
9.132096091745930400e-01,9.359861807054374594e-02,-7.547473157096639129e-01
9.426679836640959875e-01,1.253304839539544635e-01,-7.780307190814653717e-01
9.721263581535989351e-01,1.583336496900842882e-01,-7.992535067363325529e-01
1.001584732643101994e+00,1.924220569997871777e-01,-8.183399188564116633e-01
