# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.945241472843492664e-02,0.000000000000000000e+00
6.111814691316208581e-01,6.111814691316208581e-01,-6.111814691316208581e-01,6.499924671840607258e-03,8.625774258558484294e-18
1.222362938263241716e+00,1.222362938263241716e+00,-1.222362938263241716e+00,1.387748209516052574e-03,1.231029372661823312e-17
1.833544407394862574e+00,1.833544407394862574e+00,-1.833544407394862574e+00,5.877908114842871371e-04,2.211782762076564897e-18
2.444725876526483432e+00,2.444725876526483432e+00,-2.444725876526483432e+00,7.445330442746953415e-05,-7.995621461937799076e-18
3.055907345658104290e+00,3.055907345658104290e+00,-3.055907345658104290e+00,-1.846084439555692049e-05,-6.933465898228715427e-18
3.667088814789725149e+00,3.667088814789725149e+00,-3.667088814789725149e+00,-3.484474998658677375e-06,-9.182736503730307096e-18
4.278270283921345118e+00,4.278270283921345118e+00,-4.278270283921345118e+00,-9.244527735057326646e-07,7.311914603281363088e-18
4.889451753052966865e+00,4.889451753052966865e+00,-4.889451753052966865e+00,-2.646320739931031341e-08,3.277039137099410992e-18
5.500633222184587723e+00,5.500633222184587723e+00,-5.500633222184587723e+00,2.102189796561371463e-07,1.013823315717278675e-17
6.111814691316208581e+00,6.111814691316208581e+00,-6.111814691316208581e+00,3.640376574328246149e-09,-2.164037537508593068e-18
6.722996160447828551e+00,6.722996160447828551e+00,-6.722996160447828551e+00,2.364393025427791170e-08,-6.806640098639517505e-18
7.334177629579450297e+00,7.334177629579450297e+00,-7.334177629579450297e+00,-8.875182110683078516e-08,-8.705539413918245774e-18
7.945359098711071155e+00,7.945359098711071155e+00,-7.945359098711071155e+00,2.360561595845486012e-08,-3.694543459314756996e-19
8.556540567842690237e+00,8.556540567842690237e+00,-8.556540567842690237e+00,1.612520064063122673e-11,8.795713236579032583e-18
-8.556540567842690237e+00,-8.556540567842690237e+00,8.556540567842690237e+00,1.612520054607505738e-11,-8.767920524527894368e-18
-7.945359098711071155e+00,-7.945359098711071155e+00,7.945359098711071155e+00,2.360561595837444162e-08,3.366284143288321446e-19
-7.334177629579450297e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-8.875182110683368360e-08,8.704299484751397500e-18
-6.722996160447828551e+00,-6.722996160447828551e+00,6.722996160447828551e+00,2.364393025416324793e-08,6.837419781041342570e-18
-6.111814691316208581e+00,-6.111814691316208581e+00,6.111814691316208581e+00,3.640376574230513519e-09,2.226710234455806965e-18
-5.500633222184587723e+00,-5.500633222184587723e+00,5.500633222184587723e+00,2.102189796565427428e-07,-1.063215155088457225e-17
-4.889451753052966865e+00,-4.889451753052966865e+00,4.889451753052966865e+00,-2.646320739931031341e-08,-3.277040046383017965e-18
-4.278270283921345118e+00,-4.278270283921345118e+00,4.278270283921345118e+00,-9.244527735054394853e-07,-7.117426443357907811e-18
-3.667088814789725149e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-3.484474998658649000e-06,9.123326876946205744e-18
-3.055907345658104290e+00,-3.055907345658104290e+00,3.055907345658104290e+00,-1.846084439555726608e-05,7.056073175230799009e-18
-2.444725876526483432e+00,-2.444725876526483432e+00,2.444725876526483432e+00,7.445330442746950705e-05,7.999034715175525743e-18
-1.833544407394862574e+00,-1.833544407394862574e+00,1.833544407394862574e+00,5.877908114842865950e-04,-2.133869097899345849e-18
-1.222362938263241716e+00,-1.222362938263241716e+00,1.222362938263241716e+00,1.387748209516052574e-03,-1.229276967961613553e-17
-6.111814691316208581e-01,-6.111814691316208581e-01,6.111814691316208581e-01,6.499924671840607258e-03,-8.356518514068218366e-18
6.111814691316208581e-01,-6.111814691316208581e-01,6.111814691316208581e-01,6.499924671840611595e-03,1.152696639515640342e-17
1.222362938263241716e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091546925522006339e-15,2.369767245082033983e-18
1.833544407394862574e+00,6.111814691316208581e-01,-6.111814691316208581e-01,1.437035173692273156e-03,-5.902203094379142433e-18
2.444725876526483432e+00,1.222362938263241716e+00,-1.222362938263241716e+00,6.977244905753746378e-04,-9.044388510137946959e-18
3.055907345658104290e+00,1.833544407394862574e+00,-1.833544407394862574e+00,4.086106712658590663e-05,-6.352057215479461383e-18
3.667088814789725149e+00,2.444725876526483432e+00,-2.444725876526483432e+00,-2.175314120864232342e-05,-8.916751328952737824e-19
4.278270283921346007e+00,3.055907345658104290e+00,-3.055907345658104290e+00,3.123967583544418470e-07,1.318446461516293221e-17
4.889451753052965977e+00,3.667088814789724260e+00,-3.667088814789724260e+00,-7.329283081494179775e-07,5.076032513288710267e-18
5.500633222184587723e+00,4.278270283921346007e+00,-4.278270283921346007e+00,-4.138777935039192089e-07,5.805976615807573939e-18
6.111814691316208581e+00,4.889451753052966865e+00,-4.889451753052966865e+00,-3.139569157876033086e-08,-8.519449078170519975e-18
6.722996160447829439e+00,5.500633222184587723e+00,-5.500633222184587723e+00,7.990838926131212411e-08,-1.164757529801635909e-17
7.334177629579449409e+00,6.111814691316207693e+00,-6.111814691316207693e+00,1.189907111442320891e-07,-3.098179531188429209e-18
7.945359098711071155e+00,6.722996160447829439e+00,-6.722996160447829439e+00,-6.702759423463387630e-08,3.545803439012697212e-18
8.556540567842692013e+00,7.334177629579450297e+00,-7.334177629579450297e+00,-1.615374152387523900e-11,1.204641658203703645e-17
9.167722036974311095e+00,7.945359098711069379e+00,-7.945359098711069379e+00,-2.964176954344263504e-08,4.335814780818283187e-18
-7.945359098711069379e+00,-9.167722036974311095e+00,9.167722036974311095e+00,-3.806405677796112997e-09,9.213112676986832789e-18
-7.334177629579450297e+00,-8.556540567842692013e+00,8.556540567842692013e+00,5.015046232657482744e-08,1.175933847596443356e-17
-6.722996160447829439e+00,-7.945359098711071155e+00,7.945359098711071155e+00,-3.325010022546843988e-08,-7.094125659992898965e-19
-6.111814691316207693e+00,-7.334177629579449409e+00,7.334177629579449409e+00,4.592282306573596569e-10,6.075001542283275655e-19
