rs, PW92, RPA, ALDA, DLDA, Re QV, Im QV,Re QV_MCP07, Im QV_MCP07,MCP07 static, MCP07_k0, MCP07 
1.0, -0.059773864184404085, -0.07871304758843661, -0.049813317166070285, -0.059197339783177594, -0.0602467787658593, -1.1524662323516454e-14, -0.07003357461437917, -2.5202528403641076e-15, -0.062076668202582626, -0.06650657530125037, -0.06339375925889745 
1.9, -0.045801498089978764, -0.06295223005463053, -0.03499341992232962, -0.04474027458120102, -0.04516781437695588, 5.134340900189017e-15, -0.0552424656181516, 1.0428814110889973e-15, -0.0467591336743054, -0.05134616517989587, -0.047998509626317555 
2.8, -0.038217915162721064, -0.05421917210739921, -0.026756892596490393, -0.03667399819123428, -0.03670042449800911, 1.1566971113952836e-14, -0.04711581994179003, 2.1942570361259724e-15, -0.038360931821652795, -0.04297488356216809, -0.03952296367381205 
3.7, -0.033201374421314156, -0.048367884399750226, -0.021201698857357953, -0.0312120382768481, -0.031029315460607138, 1.7688068048110518e-14, -0.041715149707760815, 3.1461989022373207e-15, -0.03278363196316756, -0.03737473478942654, -0.033876713258089115 
4.6, -0.029550161337212985, -0.0440478668908063, -0.017069337337759814, -0.02712820935557858, -0.02681566063898098, -1.8449313162877045e-14, -0.03774465063487443, -3.0818992198934588e-15, -0.02870431444559827, -0.033244774862788005, -0.029733630911410066 
5.5, -0.02673619466753997, -0.04068670652489438, -0.013823808246058316, -0.02390658154648732, -0.02389761462895913, -2.3620158146446083e-14, -0.034749909309502065, -3.725293006055794e-15, -0.02555795545119939, -0.030034959733127413, -0.026530994258204245 
6.4, -0.02448245334766456, -0.037964492754168626, -0.01116802752740636, -0.021258899191489412, -0.021646836652089326, -3.088382079475221e-14, -0.03235305249638082, -4.612480936019609e-15, -0.023032441181251292, -0.02743872166595325, -0.023954885139547313 
7.3, -0.02262647163656749, -0.03569987540466279, -0.008933498868988508, -0.019022633383731422, -0.019343966697865644, 4.377204461432063e-15, -0.030263835103619307, 0.0, -0.020950424690887363, -0.025282502865120286, -0.021827219655148968 
8.2, -0.021065332031122617, -0.03377346211784227, -0.007008166153695418, -0.01708994953971454, -0.017528648072490764, 5.143475754497504e-15, -0.02852622360391642, 0.0, -0.019194812465228847, -0.023451608365992558, -0.02003028343494919 
9.1, -0.019730041841870067, -0.03211261999883173, -0.005324989148556159, -0.015396346516788673, -0.015817582865669404, 5.988513096225496e-15, -0.027007870221627428, 0.0, -0.017694906361775117, -0.02187673282003975, -0.018492828338680187 
10.0, -0.01857229774384831, -0.03065543533613003, -0.0038248720644883305, -0.013884882099154474, -0.014723130604134105, 8.369924801603943e-15, -0.025755175592104416, 1.0106838452708887e-15, -0.01638979757195073, -0.02049792897107426, -0.0171534881538361 
