rs, PW92, RPA, ALDA, DLDA, QV, MCP07 static, MCP07_k0, MCP07 
1.0, -0.059773864184404085, -0.07871304758843661, -0.049813317166070285, -0.0532781215801471, -0.03425477624896519, -0.062076668202582626, -0.06310197762822566, -0.06206742336763083 
1.09, -0.05780135845534191, -0.0765129635213394, -0.04774434960676434, -0.05142606299137165, -0.031555638037675755, -0.05992787941400966, -0.061070515513537524, -0.059953668571225305 
1.18, -0.05601101328748604, -0.07450904915021764, -0.04586029151542365, -0.049736723036703484, -0.02905588302308076, -0.057973575777795494, -0.059220928457566165, -0.05802999333501604 
1.27, -0.054374599489063376, -0.07267156102817748, -0.04413289215873504, -0.04818569568181682, -0.02672510286744095, -0.05618399346628013, -0.057525658398315034, -0.056267435132529714 
1.3599999999999999, -0.052869851985036895, -0.07097694817879534, -0.042540012412021246, -0.0467535737550028, -0.02453910416811662, -0.05453570955737286, -0.0559628521767374, -0.05464314576821712 
1.45, -0.05147891418335884, -0.06940624952675115, -0.041065078455413954, -0.04542530673294379, -0.02247891823419591, -0.0530103978264561, -0.05451516006252263, -0.0531391742539579 
1.54, -0.05018725637240441, -0.06794398483632423, -0.039688687061713114, -0.0441856288718723, -0.020528381996519292, -0.05159071160023791, -0.0531671761398774, -0.05173880682265138 
1.63, -0.04898290515576387, -0.0665773529205606, -0.038404913295709525, -0.04302684418187314, -0.018674616522196052, -0.050266481995876154, -0.05190823484609827, -0.050431788217180806 
1.72, -0.04785588269181434, -0.06529564841510337, -0.03719926604232989, -0.041937831551213584, -0.016970812728181676, -0.04902528858037447, -0.05072745164851153, -0.0492061892734886 
1.81, -0.04679779091341928, -0.06408984068898789, -0.03606516827190388, -0.040912042342635055, -0.01515671314601779, -0.047858971797986656, -0.04961684091101055, -0.048053939087317275 
1.9, -0.045801498089978764, -0.06295223005463053, -0.03499341992232962, -0.03994194615036185, -0.013534087293139848, -0.0467591336743054, -0.04856878009340897, -0.046966895691636146 
1.99, -0.044860899015009746, -0.0618762125745501, -0.03398138494760917, -0.03902384864636106, -0.011977974070900448, -0.04572071337403712, -0.04757791087006994, -0.04593993677449046 
2.08, -0.043970729065823354, -0.060856072128615726, -0.033020074136759406, -0.03815119838052985, -0.010118098875318768, -0.044736563352656494, -0.04663815799834315, -0.044966250246866186 
2.17, -0.04312641828794679, -0.05988684484051352, -0.03210814111099836, -0.037321588767278896, -0.008878103230310538, -0.04380313929427712, -0.04574565966157192, -0.044042216401033916 
2.26, -0.04232397563005811, -0.058964177092546144, -0.03123819641777328, -0.03652944871401946, -0.007598290002154669, -0.042914841644128524, -0.04489556338378303, -0.04316246895378119 
2.3499999999999996, -0.04155989617853092, -0.05808424180687422, -0.030408266520646904, -0.03577261651060548, -0.005383933319671374, -0.04206851861347594, -0.04408475090721194, -0.042323879754049776 
2.44, -0.04083108613938749, -0.0572436545131496, -0.029615140883529154, -0.035048234589220094, -0.004672643606257037, -0.0412608248570403, -0.043310075245684476, -0.041523172450730964 
2.5300000000000002, -0.040134801659937, -0.05643939346749981, -0.02885595806897556, -0.034353768562806426, -0.003729572762309217, -0.040488773361761515, -0.04256873420400497, -0.040757423607979085 
2.62, -0.03946859854803672, -0.05566878583851082, -0.028128192980935336, -0.03368699494572443, -0.0013398839257333008, -0.03974972250353066, -0.04185825734762973, -0.04002404991416621 
2.71, -0.03883029064962287, -0.05492941961629075, -0.027428330518179313, -0.033045207402533104, -0.0007692036926548717, -0.03904078945364704, -0.041176113546829936, -0.039320279520054964 
2.8, -0.038217915162721064, -0.05421917210739921, -0.026756892596490393, -0.03242792952723288, 0.00012942964416249388, -0.038360931821652795, -0.04052091623108887, -0.038644972950277995 
2.8899999999999997, -0.037629703551629624, -0.053536094694415406, -0.0261107637141163, -0.031832977788061274, 0.0026402898302865787, -0.03770767456373125, -0.03989060781770614, -0.03799578408776595 
2.98, -0.03706405701506823, -0.05287811052931083, -0.025487974359004947, -0.031258599025242806, 0.003462471450909593, -0.037078962541239775, -0.03928325733018817, -0.03737069867374656 
3.07, -0.03651952568252241, -0.05224398144714256, -0.024886314497693032, -0.030703148938943093, 0.003686275077393646, -0.03647316544678572, -0.038697465187197966, -0.03676815915503564 
3.16, -0.035994790882032744, -0.05163220697058423, -0.024306545569989915, -0.03016655406260132, 0.005757317164950369, -0.03588970186176914, -0.03813236924213166, -0.0361875018529447 
3.25, -0.035488649953369325, -0.051041390008068704, -0.02374625490524801, -0.029647207752520912, 0.0072303867495948785, -0.03532670726501842, -0.03758646519953045, -0.03562697251419181 
3.34, -0.035000003182389224, -0.05046808615581495, -0.023200882821936657, -0.02914104329349194, 0.007240764610656501, -0.03478018995740732, -0.03705602869882746, -0.03508276884447056 
3.4299999999999997, -0.03452784251235163, -0.04991783068347198, -0.0226786702664708, -0.02865529387833255, 0.008978211255877637, -0.03425713486031806, -0.03654744661742452, -0.034561377714734824 
3.52, -0.0340712417512015, -0.04938260634306946, -0.02216909249764487, -0.028180738491399522, 0.011098144409280529, -0.033748113894446936, -0.036052066877003575, -0.03405392758208507 
3.61, -0.03362934804416562, -0.04886450237020533, -0.021676372132725347, -0.027720791694886417, 0.010797041505741388, -0.03325621222043199, -0.03557260844107983, -0.03356327979698807 
3.6999999999999997, -0.033201374421314156, -0.048367884347280544, -0.021201698826888868, -0.027278330178048888, 0.012021992938665309, -0.03278363193269846, -0.03511244206259185, -0.03309257960649863 
3.79, -0.0327865932622177, -0.04787415299086808, -0.020732581344133978, -0.026837745021490292, 0.01472901719814843, -0.03231681999193459, -0.0346553151709367, -0.032625710425251725 
3.88, -0.03238433054613903, -0.04740078564908995, -0.02028054036658678, -0.026413796520165726, 0.014449695884639268, -0.03186826267126687, -0.03421649305485883, -0.032177748076743146 
3.9699999999999998, -0.03199396077762757, -0.04694066308632537, -0.01984158525091832, -0.0260011643300152, 0.01550876576337443, -0.03143294829177863, -0.03378998443854262, -0.031742793159185496 
4.0600000000000005, -0.03161490249492496, -0.04649339714676427, -0.019413778383864457, -0.0255984667354914, 0.017953367366406906, -0.031009887397235977, -0.03337499006039378, -0.03131992406412851 
4.15, -0.03124661428301787, -0.04605846111358625, -0.01899744085598316, -0.025205968009778014, 0.019049328164669917, -0.030598844874750692, -0.03297130591727873, -0.030908910577273272 
