rs=5.2, 
Re fxc, Im fxc 
-9.692695268370054e+00, 0.000000000000000e+00 
-9.694163569351431e+00, -1.548617045059291e-03 
-9.696366020823497e+00, -2.917660880096062e-03 
-9.699889943178805e+00, -4.014041222890953e-03 
-9.704294846122938e+00, -4.131211641204911e-03 
-9.712223671422381e+00, -1.083018803864353e-03 
-9.724116909371540e+00, -1.400817868273789e-03 
-9.736744297811391e+00, -1.740670813423522e-03 
-9.751720967821445e+00, -2.310224764100017e-03 
-9.768459599009155e+00, -2.916486239310959e-03 
-9.787107021472654e+00, -3.776176463907730e-03 
-9.807810065310081e+00, -4.769628907908031e-03 
-9.830421900423303e+00, -5.986703591372187e-03 
-9.855529847204865e+00, -7.494795529345447e-03 
-9.882106094967805e+00, -9.153828808204357e-03 
-9.911618944693501e+00, -1.132118788681630e-02 
-9.943040585694987e+00, -1.361026911678448e-02 
-9.976371017972268e+00, -1.650663963265056e-02 
-1.001234439201603e+01, -1.965908183966895e-02 
-1.005007972723744e+01, -2.334011239998339e-02 
-1.009089849451975e+01, -2.754532641064975e-02 
-1.013303873268529e+01, -3.214110848236264e-02 
-1.017884972330428e+01, -3.761787114290227e-02 
-1.022656950519906e+01, -4.336333288303407e-02 
-1.027634490846778e+01, -5.025700599060340e-02 
-1.032935057389552e+01, -5.758089128571645e-02 
-1.038397137040278e+01, -6.587679183050170e-02 
-1.044226291936348e+01, -7.502871184743025e-02 
-1.050187593920742e+01, -8.490156764621537e-02 
-1.056574703189736e+01, -9.613260185277508e-02 
-1.063182057605937e+01, -1.078525802861336e-01 
-1.069994974159530e+01, -1.213389248000898e-01 
-1.077204331978096e+01, -1.354889413576288e-01 
-1.084560519894799e+01, -1.511322200132292e-01 
-1.092386564125544e+01, -1.680029982892614e-01 
-1.100300706415171e+01, -1.860043683209547e-01 
-1.108772803077721e+01, -2.059438956480668e-01 
-1.117509193916920e+01, -2.266616224953093e-01 
-1.126436463883698e+01, -2.498754610108941e-01 
-1.135877639193958e+01, -2.740730611840023e-01 
-1.145436278582728e+01, -3.003850147702946e-01 
-1.155640970403305e+01, -3.285029785636817e-01 
-1.165860345233695e+01, -3.581920244071432e-01 
-1.176931334633284e+01, -3.906561591054090e-01 
-1.188295984229149e+01, -4.242508855593358e-01 
-1.199880878972221e+01, -4.613108023293144e-01 
-1.212258656245237e+01, -4.999124351297399e-01 
-1.224753897596763e+01, -5.414213038732936e-01 
-1.238423779733392e+01, -5.858080425403481e-01 
-1.251946831771882e+01, -6.325000137481659e-01 
-1.267848531400205e+01, -6.907475136794280e-01 
-1.284190721322941e+01, -7.509331709061089e-01 
-1.299549149588154e+01, -8.298543486551719e-01 
