omega (eV),"DLDA, re alpha","DLDA, im alpha","MCP07 k0, re","MCP07 k0, im",MCP07 re,MCP07 im
0.000,-0.000005,0,0,0,0,0
0.100,0.003665,-0.0319,0.001355,-0.014885,0.00029,-0.002515
0.200,0.01436,-0.06215,0.00536,-0.029,0.001135,-0.0049
0.300,0.03123,-0.089335,0.011725,-0.041685,0.002465,-0.007045
0.400,0.053,-0.112475,0.01996,-0.05248,0.00418,-0.00887
0.500,0.078185,-0.131085,0.029465,-0.061165,0.006165,-0.01034
0.600,0.105265,-0.145125,0.039635,-0.067715,0.0083,-0.011445
0.700,0.13288,-0.1549,0.04993,-0.072275,0.01048,-0.012215
0.800,0.1599,-0.160925,0.05993,-0.075085,0.01261,-0.01269
0.900,0.18548,-0.163815,0.069355,-0.076435,0.01463,-0.01292
1.000,0.209055,-0.1642,0.078025,-0.076615,0.016485,-0.01295
1.100,0.23031,-0.162655,0.08586,-0.075895,0.018165,-0.01283
1.200,0.249125,-0.159675,0.092845,-0.074505,0.01965,-0.012595
1.300,0.26552,-0.15568,0.09902,-0.07264,0.02094,-0.01228
1.400,0.27962,-0.150995,0.104435,-0.070455,0.022055,-0.01191
1.500,0.2916,-0.145885,0.109165,-0.06807,0.023,-0.011505
1.600,0.30168,-0.140545,0.113275,-0.065575,0.02379,-0.011085
1.700,0.310065,-0.135115,0.11685,-0.063045,0.024455,-0.010655
1.800,0.31698,-0.12971,0.11995,-0.06052,0.025,-0.01023
1.900,0.32262,-0.1244,0.12264,-0.058045,0.025445,-0.00981
2.000,0.327165,-0.11924,0.124975,-0.055635,0.0258,-0.009405
2.100,0.33078,-0.11426,0.127,-0.053315,0.02609,-0.00901
2.200,0.333615,-0.109485,0.12876,-0.051085,0.02631,-0.008635
2.300,0.335785,-0.10492,0.13029,-0.048955,0.02648,-0.008275
2.400,0.3374,-0.100575,0.131625,-0.04693,0.02661,-0.00793
2.500,0.338555,-0.09645,0.132785,-0.045005,0.0267,-0.007605
2.600,0.339325,-0.092535,0.133795,-0.043175,0.02676,-0.0073
2.700,0.339775,-0.088825,0.13468,-0.041445,0.026795,-0.007005
2.800,0.33996,-0.085315,0.13545,-0.03981,0.02681,-0.00673
2.900,0.33993,-0.081995,0.136125,-0.03826,0.02681,-0.006465
3.000,0.339725,-0.07885,0.136715,-0.03679,0.026795,-0.00622
3.100,0.339375,-0.075875,0.137235,-0.035405,0.026765,-0.005985
3.200,0.33891,-0.07306,0.137685,-0.03409,0.02673,-0.00576
3.300,0.33835,-0.0704,0.13808,-0.03285,0.026685,-0.00555
3.400,0.33772,-0.067875,0.13843,-0.03167,0.026635,-0.005355
3.500,0.337035,-0.065485,0.13873,-0.030555,0.02658,-0.005165
3.600,0.3363,-0.06322,0.138995,-0.0295,0.026525,-0.004985
3.700,0.33554,-0.06107,0.139225,-0.028495,0.026465,-0.004815
3.800,0.33475,-0.059035,0.139425,-0.027545,0.0264,-0.004655
