omega (eV),"DLDA, re alpha","DLDA, im alpha","MCP07 k0, re","MCP07 k0, im",MCP07 re,MCP07 im
0.000,-0.000005,0,0,0,0,0
0.100,0.01562,-0.05373,0.008375,-0.02881,0.00109,-0.00374
0.200,0.055235,-0.09238,0.029615,-0.04953,0.003845,-0.006435
0.300,0.103445,-0.111495,0.055465,-0.05978,0.007205,-0.007765
0.400,0.14748,-0.11553,0.07908,-0.061945,0.01027,-0.008045
0.500,0.18162,-0.11094,0.09738,-0.059485,0.01265,-0.007725
0.600,0.205465,-0.10252,0.11017,-0.05497,0.01431,-0.00714
0.700,0.220935,-0.09301,0.118465,-0.04987,0.015385,-0.00648
0.800,0.23035,-0.08373,0.12351,-0.044895,0.016045,-0.00583
0.900,0.23565,-0.07524,0.12635,-0.040345,0.01641,-0.00524
1.000,0.238265,-0.0677,0.127755,-0.0363,0.016595,-0.004715
1.100,0.23918,-0.06109,0.128245,-0.032755,0.01666,-0.004255
1.200,0.239035,-0.05533,0.128165,-0.029665,0.01665,-0.003855
1.300,0.238255,-0.050315,0.12775,-0.02698,0.016595,-0.003505
1.400,0.237115,-0.045945,0.127135,-0.024635,0.016515,-0.0032
1.500,0.23578,-0.04212,0.12642,-0.022585,0.01642,-0.002935
1.600,0.23436,-0.03876,0.12566,-0.020785,0.01632,-0.0027
1.700,0.23293,-0.0358,0.124895,-0.019195,0.016225,-0.002495
1.800,0.231525,-0.03318,0.12414,-0.01779,0.016125,-0.00231
1.900,0.23017,-0.03085,0.123415,-0.01654,0.01603,-0.00215
2.000,0.22888,-0.02877,0.12272,-0.015425,0.01594,-0.002005
2.100,0.22766,-0.026905,0.12207,-0.014425,0.015855,-0.001875
2.200,0.22651,-0.025225,0.12145,-0.013525,0.015775,-0.001755
2.300,0.225435,-0.02371,0.120875,-0.012715,0.0157,-0.00165
2.400,0.22443,-0.022335,0.120335,-0.011975,0.01563,-0.001555
2.500,0.22349,-0.021085,0.11983,-0.011305,0.015565,-0.00147
2.600,0.22261,-0.019945,0.11936,-0.010695,0.015505,-0.00139
2.700,0.22179,-0.018905,0.11892,-0.010135,0.015445,-0.001315
2.800,0.22102,-0.017945,0.11851,-0.009625,0.015395,-0.00125
2.900,0.220305,-0.017065,0.118125,-0.00915,0.015345,-0.00119
3.000,0.219635,-0.016255,0.117765,-0.008715,0.015295,-0.00113
3.100,0.219005,-0.015505,0.117425,-0.008315,0.015255,-0.00108
3.200,0.218415,-0.01481,0.11711,-0.00794,0.01521,-0.00103
3.300,0.217865,-0.014165,0.116815,-0.007595,0.015175,-0.000985
3.400,0.217345,-0.013565,0.116535,-0.00727,0.015135,-0.000945
3.500,0.216855,-0.013005,0.116275,-0.00697,0.015105,-0.000905
3.600,0.216395,-0.01248,0.11603,-0.00669,0.01507,-0.00087
